time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
3686,85,0,14.577585500000001,21.25,4,,,,,,
509,129,0,12.18054775,16.125,8,0.03024118287222726,0.001,-0.7569753328959147,37,,
369,157,0,10.095588166666667,13.083333333333334,12,0.02985805193228381,0.001,-0.7702506383260092,65,,
315,185,0,9.050376125,11.5625,16,0.019603249483874867,0.001,-0.765718400478363,93,,
286,213,0,8.433431449999997,10.65,20,0.008150999168200153,0.001,-0.8047011892000834,121,,
266,241,0,8.011841291666666,10.041666666666666,24,0.003106496097253902,0.001,-0.8846798340479533,149,,
253,269,1,7.713457678571429,9.607142857142858,28,0.0017736555808889015,0.001,-0.8865848580996195,177,,
244,297,1,7.49109415625,9.28125,32,0.0019121413019352726,0.001,-0.9084779818852743,205,,
237,325,1,7.315978444444446,9.027777777777779,36,0.0020901095122098923,0.001,-0.9231699903806051,233,,
233,353,1,7.17740895,8.825,40,0.003408212647108095,0.001,-1.0110559463500977,261,,
229,381,1,7.064677181818182,8.659090909090908,44,0.0025082489009946585,0.001,-0.9964993000030518,289,,
225,409,1,6.968919729166667,8.520833333333334,48,0.0034556140724037376,0.001,-1.040174086888631,317,,
223,437,1,6.889305730769231,8.403846153846153,52,0.00715236591973475,0.001,-1.0799400011698406,345,,
221,513,2,8.669798089285715,9.160714285714286,56,0.03215048589151014,0.001,-1.5268710093064741,406,,
213,600,2,10.656411533333333,10.0,60,0.07642821561206471,0.001,-2.0081806724721734,493,,
210,687,3,12.388328015625,10.734375,64,0.11391305195336993,0.001,-2.3841277252544057,581,,
208,776,3,13.963556838235293,11.411764705882353,68,0.12054868618195708,0.001,-2.6191497282548384,669,,
207,862,4,15.294523000000002,11.972222222222221,72,0.14834043044935574,0.001,-3.0321629264137964,755,,
206,951,4,16.542883315789474,12.513157894736842,76,0.16937625882300464,0.001,-3.425006801431829,844,,
