rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
26.0,0,4,17.67479525,104,2381,,,,,,
17.5,0,8,9.146378499999999,140,435,0.001,0.023812573817041185,55,-0.4334065243601799,,
15.0,0,12,7.862146333333333,180,329,0.001,0.01686560660600662,94,-0.5970073223114014,,
13.75,0,16,7.2508871875,220,283,0.001,0.015804228326305746,134,-0.6522996068000794,,
13.0,1,20,6.884070799999999,260,258,0.001,0.013707310333848,174,-0.7611273407936097,,
12.5,1,24,6.641378458333333,300,243,0.001,0.013917671283707023,214,-0.8684047102928162,,
12.142857142857142,1,28,6.4663061428571424,340,232,0.001,0.017813706956803798,254,-0.8390899538993836,,
11.875,1,32,6.3336635,380,224,0.001,0.012552274391055107,294,-0.8937521815299988,,
11.666666666666666,1,36,6.229750694444444,420,217,0.001,0.011030659871175885,334,-0.9620200634002686,,
11.5,2,40,6.147712725,460,212,0.001,0.015227458160370588,374,-0.9596800804138184,,
11.363636363636363,2,44,6.079630863636364,500,210,0.001,0.014994034357368947,414,-0.9654156923294067,,
11.25,2,48,6.024135333333334,540,208,0.001,0.014180790074169636,454,-1.05355064868927,,
11.153846153846153,2,52,5.976576307692308,580,206,0.001,0.009512430196627975,494,-1.0393214225769043,,
11.071428571428571,3,56,5.935351196428571,620,203,0.001,0.0073705201502889395,534,-1.0950379252433777,,
11.0,3,60,5.899248683333332,660,201,0.001,0.013968841591849922,574,-1.1191016912460328,,
10.9375,3,64,5.869013921875,700,198,0.001,0.00690273279324174,614,-1.2173965215682983,,
10.882352941176471,3,68,5.8436900147058815,740,196,0.001,0.010721915145404637,654,-1.185250997543335,,
10.833333333333334,4,72,5.820574958333334,780,194,0.001,0.01070534884929657,694,-1.1333324670791627,,
10.789473684210526,4,76,5.7997132763157895,820,193,0.001,0.012060506828129291,734,-1.2422497987747192,,
10.75,4,80,5.784261262500001,860,192,0.001,0.011257572704926134,774,-1.2425561428070069,,
11.285714285714286,4,84,7.358725202380954,948,192,0.001,0.079382437704639,850,-2.1705850037661465,,
,,,,1000,,0.001,0.16266088881953197,917,-2.3330291618000376,46.62414175271988,27.7
12.045454545454545,5,88,8.567729295454546,1060,186,0.001,0.17796182233308042,945,-2.570152163505554,,
14.717391304347826,7,92,12.463536358695654,1354,185,0.001,0.23816355470229278,1250,-3.5759290998632256,,
14.395833333333334,7,96,12.189483052083332,1382,182,0.001,0.2645233614104135,1299,-3.918654282887777,,
15.05,7,100,13.833300229999997,1505,189,0.001,0.3496411392092705,1345,-4.108905613422394,,
16.85,9,104,18.59066006,1789,183,0.001,0.42346715095431303,1664,-5.370243582614632,,
,,,,2000,,0.001,0.4315979407643372,1875,-6.183540802735549,95.32521881461143,51.5
18.62,11,108,22.543253930000002,2002,174,,,,,,
20.43,12,112,26.435013350000006,2223,175,0.001,0.4002863366018843,2087,-7.061209449061641,,
22.68,14,116,31.13967621,2488,176,0.001,0.5735509683904441,2340,-8.082585280282157,,
25.44,15,120,37.14653171,2804,176,0.001,0.8526840368058624,2648,-9.3359672965073,,
,,,,3000,,0.001,1.1630826020022718,2897,-10.426832036274236,155.81745792031288,79.2
28.32,18,124,43.40310033000001,3132,169,0.001,1.1729853757440227,2970,-10.749554711419183,,
31.22,20,128,49.74158208,3462,171,0.001,1.6722902548174525,3310,-12.07440329706946,,
33.73,21,132,55.04594396,3753,171,0.001,1.8300807218660007,3591,-13.140853274952281,,
