time/fps,time/total_timesteps,train/learning_rate,train/critic_loss,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/actor_loss,time/episodes,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
139,117,0.001,0.032059259180511744,29.25,83,33.50756975,-1.3595588207244873,4,0,,
146,145,0.001,0.016112818914864744,18.125,111,18.629337,-1.3219594955444336,8,0,,
150,173,0.001,0.01603009644895792,14.416666666666666,139,13.636022833333334,-1.2938403685887654,12,1,,
155,201,0.001,0.01734536207680191,12.5625,167,11.1166780625,-1.281222979227702,16,1,,
159,229,0.001,0.014447308810693877,11.45,195,9.609382299999998,-1.2902758518854778,20,1,,
162,257,0.001,0.013576758825885398,10.708333333333334,223,8.603064458333334,-1.2349964380264282,24,1,,
164,285,0.001,0.013392488871301924,10.178571428571429,251,7.8958390000000005,-1.3437794049580891,28,1,,
167,313,0.001,0.012929985166660376,9.78125,279,7.37248959375,-1.2504743337631226,32,1,,
170,341,0.001,0.015696908147739514,9.472222222222221,307,6.949650972222222,-1.2952587604522705,36,2,,
172,369,0.001,0.019380779205156223,9.225,335,6.617612675000001,-1.226301113764445,40,2,,
180,419,0.001,0.02748489214314355,9.522727272727273,374,6.1262180909090915,-1.3955930471420288,44,2,,
185,491,0.001,0.025903649809252884,10.229166666666666,446,5.473205041666667,-1.2914394007788763,48,2,,
239,732,0.001,0.008132495089537568,14.076923076923077,518,7.9884488653846155,-1.3585236469904582,52,3,,
201,819,0.001,0.17102920388182005,14.625,770,10.168656482142856,-2.0429562113501807,56,4,,
202,906,0.001,0.3267489292404868,15.1,857,12.044490266666664,-2.5891502553766426,60,4,,
201,994,0.001,0.3777082474394278,15.53125,945,13.710370843749999,-2.8815521110187876,64,4,,
,1000,0.001,0.41396017880602315,,967,,-3.149456089193171,,,38.89442706108093,22.1
191,1093,0.001,0.5248366578462276,16.073529411764707,1057,15.435375852941176,-3.6385423929794976,68,5,,
190,1130,0.001,0.6964164475599924,15.694444444444445,1093,15.102595513888888,-4.034319639205933,72,5,,
196,1292,0.001,0.6848938361584366,17.0,1213,18.26426535526316,-4.289676961145903,76,6,,
197,1525,0.001,0.8185498511249368,19.0625,1439,22.727619250000004,-5.348792704668912,80,7,,
195,1641,0.001,0.9449915513396263,19.535714285714285,1585,24.133764130952382,-5.982354164123535,84,8,,
201,1873,0.001,0.9503521611293156,21.28409090909091,1760,27.89602409090909,-6.799156411488851,88,9,,
,2000,0.001,1.381093987198763,,1932,,-7.450779615446579,,,145.74739092588425,75.7
194,2193,0.001,1.6745845020553212,23.83695652173913,2090,33.37636315217391,-8.242575680337302,92,11,,
