rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,time/total_timesteps,time/time_elapsed,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
17.0,13.752862,4123,4,68,0,,,,,,
14.125,10.710274875,1542,8,113,0,0.001,0.3187069905300935,12,-0.7661793927351633,,
11.75,9.12672025,769,12,141,0,0.001,0.019505046840224947,40,-0.9118012636899948,,
10.5625,8.333583375,577,16,169,0,0.001,0.006464516278356314,68,-0.9397261440753937,,
9.85,7.852440899999998,489,20,197,0,0.001,0.004680264741182327,96,-0.9749816954135895,,
9.375,7.526660958333333,439,24,225,0,0.001,0.0029714608431926797,124,-1.0367715060710907,,
9.035714285714286,7.290759357142856,399,28,253,0,0.001,0.004187785188800522,152,-1.0670220851898193,,
8.78125,7.116817875000001,370,32,281,0,0.001,0.007415466010570526,180,-1.0979392528533936,,
8.583333333333334,6.981457416666668,348,36,309,0,0.001,0.005418966590826001,208,-1.15140500664711,,
8.425,6.873481125,333,40,337,1,0.001,0.004660150967538357,236,-1.170944094657898,,
8.295454545454545,6.786929727272727,321,44,365,1,0.001,0.0030407176985006246,264,-1.2339232861995697,,
8.1875,6.7125484166666665,307,48,393,1,0.001,0.006721796534423318,292,-1.2619974315166473,,
8.096153846153847,6.64829425,296,52,421,1,0.001,0.004451029002666473,320,-1.2547312378883362,,
8.017857142857142,6.594697035714286,288,56,449,1,0.001,0.004857371827321393,348,-1.2944137752056122,,
7.95,6.5470005,283,60,477,1,0.001,0.014536254307521241,376,-1.331751435995102,,
7.890625,6.5095954375,280,64,505,1,0.001,0.005400603038391897,404,-1.3322061598300934,,
7.838235294117647,6.473709588235294,276,68,533,1,0.001,0.005953872277002249,432,-1.3651431798934937,,
7.791666666666667,6.445386750000001,272,72,561,2,0.001,0.003718339738302997,460,-1.4266722798347473,,
7.75,6.415152960526316,269,76,589,2,0.001,0.004731632569538695,488,-1.4787630140781403,,
7.7125,6.391156975000001,266,80,617,2,0.001,0.00897850442145552,516,-1.4928610622882843,,
7.678571428571429,6.366269452380953,259,84,645,2,0.001,0.0181023338144379,544,-1.5178068280220032,,
7.6477272727272725,6.344770988636364,256,88,673,2,0.001,0.007829927739554219,572,-1.527914583683014,,
7.619565217391305,6.325515532608696,254,92,701,2,0.001,0.006309944737170424,600,-1.5368817448616028,,
7.59375,6.308902833333335,250,96,729,2,0.001,0.005960181488522461,628,-1.561564415693283,,
8.03,7.298244440000002,254,100,803,3,0.001,0.06341046340424907,686,-1.998001131144437,,
8.22,8.28291064,254,104,890,3,0.001,0.12574498550119725,774,-2.3591984402049673,,
8.68,9.578190560000001,247,108,981,3,0.001,0.14259450154548342,864,-2.9272303147749468,,
,,,,1000,,0.001,0.16364211524310318,887,-2.9409893426028164,38.89345185756683,22.1
9.3,10.92246054,239,112,1071,4,0.001,0.21062940488690915,955,-3.2462554194710473,,
10.1,12.453558609999998,239,116,1179,4,0.001,0.2390952369441157,1045,-3.7024984142997046,,
12.29,14.84432514,236,120,1426,6,0.001,0.2802617861384369,1256,-4.167594075202942,,
12.99,16.262559510000003,227,124,1524,6,0.001,0.6182478315507373,1408,-4.708410620689392,,
13.59,17.57431975,226,128,1612,7,0.001,0.5252372275875963,1496,-5.277690211931865,,
14.2,18.89491072,225,132,1701,7,0.001,0.5301622572270307,1583,-5.625356544147838,,
14.81,20.2165541,226,136,1790,7,0.001,0.8869848018107207,1674,-5.810324986775716,,
15.41,21.516840709999997,226,140,1878,8,0.001,0.7371273636817932,1761,-6.186351776123047,,
16.02,22.83520121,224,144,1967,8,0.001,0.7412562098192133,1851,-6.444996487010609,,
,,,,2000,,0.001,1.0600734596902675,1895,-6.737218163230202,38.91461993455887,22.2
16.62,24.139150799999996,217,148,2055,9,0.001,0.8566891659389843,1939,-6.932434688914906,,
17.22,25.45102224,215,152,2143,9,0.001,0.7599848615271705,2026,-7.329176339236173,,
17.82,26.76071674,215,156,2231,10,0.001,0.808955076743256,2115,-7.594898657365278,,
18.41,28.05790904,214,160,2318,10,0.001,0.7344060824675993,2203,-7.862736745314165,,
19.01,29.36088611999999,213,164,2406,11,0.001,0.7185596241837456,2290,-8.379470391706986,,
19.62,30.678761370000004,213,168,2495,11,0.001,0.5722414358802463,2379,-8.74034630168568,,
20.24,32.014624680000004,213,172,2585,12,0.001,0.557643401351842,2468,-8.94080586866899,,
20.86,33.347837129999995,214,176,2675,12,0.001,0.5574774457649752,2558,-9.188631317832254,,
21.46,34.65511082,215,180,2763,12,0.001,0.6055362116206776,2647,-9.74930390444669,,
22.06,35.96333326999999,214,184,2851,13,0.001,0.5384140427816998,2736,-9.892120881514115,,
22.66,37.269898069999996,214,188,2939,13,0.001,0.4210796430706978,2823,-10.092449795116078,,
,,,,3000,,0.001,0.3662128340114247,2889,-10.454240798950195,38.91498279571533,22.2
23.27,38.59242603999999,213,192,3028,14,0.001,0.3543659970164299,2911,-10.459685672413219,,
23.87,39.90314465,214,196,3116,14,0.001,0.4672397886929305,3000,-10.75165025393168,,
24.0,40.18332204,214,200,3203,14,0.001,0.358330474013374,3086,-11.079976081848145,,
24.02,40.20597828,213,204,3292,15,0.001,0.39000852547940756,3175,-11.447330856323243,,
24.0,40.15684647,213,208,3381,15,0.001,0.3866800309523292,3265,-11.641183679754084,,
23.97,40.10159904,212,212,3468,16,0.001,0.43111098964105954,3352,-11.743792620572178,,
23.77,39.87787698000001,212,216,3556,16,0.001,0.29904742538928986,3440,-12.148693431507457,,
22.18,38.79001069,212,220,3644,17,0.001,0.3968207673593001,3527,-12.260413256558506,,
22.1,38.70611048,211,224,3734,17,0.001,0.4031750624594481,3618,-12.721656243006388,,
22.1,38.70684184999999,211,228,3822,18,0.001,0.29578407144262675,3705,-12.730141735076904,,
22.09,38.68970066,210,232,3910,18,0.001,0.3644091561436653,3794,-13.210932124744762,,
22.07,38.64854714,209,236,3997,19,0.001,0.48792456496845593,3881,-13.495722163807262,,
,,,,4000,,0.001,0.4429297284646468,3903,-13.510425654324619,38.74331153035164,22.1
22.08,38.668719190000004,207,240,4086,19,0.001,0.29832569509744644,3970,-13.702370730313389,,
22.07,38.65680698,207,244,4174,20,0.001,0.35635236447507684,4058,-13.984627030112527,,
22.05,38.64215633,206,248,4260,20,0.001,0.4010596051812172,4144,-14.06614910472523,,
22.06,38.66228893,206,252,4349,21,0.001,0.42851850254969165,4232,-14.344117251309482,,
22.07,38.67142579,205,256,4438,21,0.001,0.47477645630186255,4321,-14.690672094171697,,
22.09,38.695911040000006,204,260,4527,22,0.001,0.43271682546897366,4411,-14.563057639382102,,
22.09,38.696562990000004,204,264,4615,22,0.001,0.49902047087316925,4499,-14.771230350841176,,
22.08,38.689907309999995,204,268,4703,22,0.001,0.5791298130696471,4587,-14.943577593023127,,
22.05,38.63528987,205,272,4790,23,0.001,0.6281502046014952,4674,-14.814193884531656,,
22.02,38.59136526,205,276,4877,23,0.001,0.494601885703477,4760,-15.359917120500045,,
22.02,38.58212158,205,280,4965,24,0.001,0.698132268407128,4849,-15.454486326737838,,
,,,,5000,,0.001,0.6234704826189124,4894,-16.09663001696269,38.564621043205264,22.0
22.03,38.59503047,204,284,5054,24,0.001,0.5410508025776256,4937,-15.620095339688389,,
22.02,38.56978914,204,288,5141,25,0.001,0.8575855073603716,5025,-15.737154873934658,,
22.02,38.57108941,204,292,5230,25,0.001,0.4713702765495881,5115,-16.091479128057305,,
22.02,38.564410710000004,204,296,5318,26,0.001,0.8027822883291678,5202,-16.386572317643598,,
22.03,38.58339641,203,300,5406,26,0.001,0.6765167523514141,5290,-16.28710313276811,,
22.01,38.54406014,203,304,5493,26,0.001,0.8290102332830429,5377,-16.455988216400147,,
22.02,38.56371862,204,308,5583,27,0.001,0.5260905609889464,5466,-16.710270101373847,,
22.05,38.60621288,204,312,5673,27,0.001,0.7945477120254351,5556,-16.816793123881023,,
22.06,38.60582127,205,316,5762,28,0.001,0.9181384051387961,5646,-16.724713412198152,,
22.05,38.59172694000001,205,320,5849,28,0.001,1.1645949591289868,5733,-16.978949026627973,,
22.02,38.548134299999994,205,324,5936,28,0.001,0.9642771604386243,5820,-17.56926103071733,,
,,,,6000,,0.001,0.6456042230129242,5886,-17.46365807273171,38.86833285093307,22.2
22.02,38.543588109999995,203,328,6024,29,0.001,0.438850535587831,5908,-17.47262850674716,,
22.02,38.55272932999999,204,332,6112,29,0.001,0.8129179816354405,5996,-17.33060039173473,,
22.04,38.58558606000001,204,336,6201,30,0.001,1.8857578215273945,6085,-17.305753014304422,,
22.02,38.55872166,205,340,6288,30,0.001,0.8984187556938692,6173,-17.3725866837935,,
22.02,38.55030678,205,344,6376,31,0.001,1.241402501409704,6260,-17.785687880082563,,
22.03,38.55152066,206,348,6463,31,0.001,0.9905441186644814,6348,-17.81777624650435,,
22.03,38.54002169,206,352,6552,31,0.001,0.8516160379285398,6437,-17.89725771817294,,
22.21,38.61813249,206,356,6659,32,0.001,1.103749375451695,6535,-20.916443347930908,,
22.8,39.14211389,207,360,6807,32,0.001,5.345030834800319,6664,-21.744606018066406,,
