train/learning_rate,time/episodes,time/total_timesteps,time/fps,time/time_elapsed,train/actor_loss,train/n_updates,rollout/ep_rew_mean,train/critic_loss,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
0.001,4,117,99,1,-1.3595588207244873,83,33.50756975,0.032059259180511744,29.25,,
0.001,8,145,108,1,-1.3219594955444336,111,18.629337,0.016112818914864744,18.125,,
0.001,12,173,118,1,-1.2938403685887654,139,13.636022833333334,0.01603009644895792,14.416666666666666,,
0.001,16,201,125,1,-1.281222979227702,167,11.1166780625,0.01734536207680191,12.5625,,
0.001,20,229,131,1,-1.2902758518854778,195,9.609382299999998,0.014447308810693877,11.45,,
0.001,24,257,136,1,-1.2349964380264282,223,8.603064458333334,0.013576758825885398,10.708333333333334,,
0.001,28,285,139,2,-1.3437794049580891,251,7.8958390000000005,0.013392488871301924,10.178571428571429,,
0.001,32,313,143,2,-1.2504743337631226,279,7.37248959375,0.012929985166660376,9.78125,,
0.001,36,341,147,2,-1.2952587604522705,307,6.949650972222222,0.015696908147739514,9.472222222222221,,
0.001,40,369,150,2,-1.226301113764445,335,6.617612675000001,0.019380779205156223,9.225,,
0.001,44,419,157,2,-1.395593033896552,374,6.1262180909090915,0.027484889866577253,9.522727272727273,,
0.001,48,491,163,3,-1.291439453760783,446,5.473205041666667,0.02590364993860324,10.229166666666666,,
0.001,52,732,209,3,-1.3585231701533,518,7.988381384615385,0.00813249139011734,14.076923076923077,,
0.001,56,819,177,4,-2.0416738986968994,770,10.168593892857144,0.17029021893228805,14.625,,
0.001,60,906,179,5,-2.591565804048018,857,12.044431883333333,0.32629096355627885,15.1,,
0.001,64,994,180,5,-2.890860232439908,945,13.710316109375,0.37822801213372836,15.53125,,
0.001,,1000,,,-3.16222281889482,967,,0.4152864573354071,,38.89435044527054,22.1
0.001,68,1093,172,6,-3.7241008381048837,1058,15.436658117647061,0.4978311083589991,16.073529411764707,,
0.001,72,1122,173,6,-3.9175445437431335,1088,14.927798805555556,0.6751806735992432,15.583333333333334,,
0.001,76,1150,174,6,-3.7448464035987854,1116,14.452988131578946,0.4191214974437441,15.131578947368421,,
0.001,80,1182,174,6,-3.9282034635543823,1148,14.10529765,0.5220251902937889,14.775,,
0.001,84,1218,175,6,-3.8226481914520263,1182,13.860678952380951,0.3287748085955779,14.5,,
0.001,88,1258,177,7,-3.8014122009277345,1221,13.720583840909088,0.43325217962265017,14.295454545454545,,
0.001,92,1296,177,7,-3.886977958679199,1260,13.559037739130432,0.5112180054187775,14.08695652173913,,
0.001,96,1336,178,7,-4.376736354827881,1298,13.442380604166667,0.4233230285346508,13.916666666666666,,
0.001,100,1387,180,7,-4.307900428771973,1340,13.560609029999998,0.4035615054043857,13.87,,
0.001,104,1550,185,8,-4.761605545326516,1460,15.040695399999997,0.5668010846884163,14.33,,
0.001,108,1720,184,9,-5.649231243133545,1666,18.08918152,0.6729629079500834,15.75,,
0.001,112,1813,185,9,-6.146463504204383,1765,19.58978723,0.6308472007513046,16.4,,
0.001,116,1977,190,10,-6.437686189015706,1865,22.463537509999995,0.972918693096407,17.76,,
0.001,,2000,,,-6.638230523397756,1950,,0.9126510332612431,,152.61791231632233,79.1
0.001,120,2316,183,12,-7.88093623449636,2206,28.822235100000004,1.3623893558979034,20.87,,
0.001,124,2652,185,14,-9.448084694998604,2540,35.13144886,1.5220071802656334,23.95,,
0.001,128,2982,182,16,-10.735056189603585,2869,41.23670442,1.4375798178966654,26.97,,
0.001,,3000,,,-11.103665329689203,2955,,1.8945237567951514,,162.32119183540345,84.5
0.001,132,3309,175,18,-12.251691954476494,3202,47.2560887,1.9833902170260747,29.96,,
0.001,136,3612,176,20,-13.42629806995392,3515,52.674195950000005,1.9883693102747202,32.71,,
0.001,140,3921,177,22,-14.540782323697718,3812,58.253985549999996,2.550023767683241,35.52,,
0.001,,4000,,,-15.143372694651285,3967,,2.7394558354599834,,127.11272801160813,71.1
0.001,144,4220,175,24,-15.64724884963617,4119,63.65767378,2.1672261440899314,38.01,,
0.001,148,4509,175,25,-16.755661897881087,4446,69.08853387,2.786717485549838,40.18,,
0.001,152,4772,176,26,-17.875852006854434,4701,72.33190152,2.3087088971426994,40.4,,
0.001,,5000,,,-18.64636812210083,4952,,3.190372393280268,,153.75194862484932,81.8
,156,5061,175,28,,,76.12238701999999,,42.42,,
0.001,160,5397,178,30,-19.692171939583712,5284,80.92255834000001,3.2094872727113612,44.91,,
0.001,164,5736,179,31,-20.58673806623979,5626,85.80955549000001,2.990250039374691,47.42,,
0.001,,6000,,,-21.616047859191895,5963,,3.642334379869349,,162.93452222347258,84.8
,168,6076,178,34,,,90.56825533,,49.83,,
0.001,172,6419,179,35,-22.69063457222872,6306,96.94069774999998,3.3529401227485303,52.97,,
0.001,176,6699,179,37,-24.09927949451265,6647,102.03531638999999,3.1103816249791314,55.49,,
0.001,180,6880,180,38,-24.853094024658205,6799,105.08672404999999,4.3264826419306734,56.98,,
0.001,,7000,,,-25.052495527267457,6932,,5.093445483642288,,148.9450635075569,78.4
0.001,184,7212,180,40,-25.425069631532182,7096,111.40906842999999,4.683433152908503,59.94,,
0.001,,8000,,,-29.244116056533088,7971,,6.53030927882475,,163.3924896121025,83.6
0.001,188,8174,181,45,-29.440786272980446,8057,124.18730812000001,6.237716181333675,69.16,,
0.001,192,8495,181,46,-31.383555257043174,8412,130.13221214,6.460977273828843,71.99,,
0.001,196,8745,182,47,-32.63571829795838,8671,134.48417796,8.036681923270226,74.09,,
0.001,200,8988,183,48,-34.17694074457342,8883,138.44507385,7.077112971411811,76.01,,
0.001,,9000,,,-34.7695255279541,8961,,8.109319145862873,,144.2880421578884,75.2
0.001,204,9303,183,50,-35.76989323384053,9187,141.71973746,9.79479437192281,77.53,,
0.001,208,9657,184,52,-38.41543397036466,9541,145.58904685,13.992298879406668,79.37,,
0.001,,10000,,,-39.59933649698893,9897,,15.639013662443055,,196.92050053477288,106.3
,212,10009,182,54,,,151.00849301,,81.96,,
0.001,216,10351,183,56,-40.95674272862876,10242,154.72626574,18.047976720623854,83.74,,
0.001,220,10752,185,57,-41.678783507574174,10574,155.8922221,19.178479993199726,84.36,,
0.001,,11000,,,-43.487083168916925,10890,,16.861592141319722,,161.58620696663857,82.7
0.001,224,11086,183,60,-43.85123234703427,10974,155.98193578000001,17.59911801133837,84.34,,
0.001,228,11431,184,61,-44.216391216624864,11315,156.53673652,17.900883864272725,84.49,,
0.001,232,11788,185,63,-45.47374369303385,11671,157.46767696999999,16.693981726964314,84.79,,
0.001,,12000,,,-45.82287495930989,11940,,16.411334164937337,,179.25921643972396,89.6
0.001,236,12146,184,65,-46.40132319132487,12031,159.05202462999998,20.047864599542304,85.34,,
0.001,240,12483,185,67,-47.01602451975753,12379,159.90352051,16.970809982483644,85.62,,
0.001,244,12808,186,68,-48.465878582000734,12696,160.64634938,18.15581020116806,85.88,,
0.001,,13000,,,-49.010043299475385,12955,,17.78814596908037,,177.58385482430458,89.2
0.001,248,13162,185,71,-48.37583757483441,13047,162.29155867999998,18.29595871593641,86.53,,
0.001,252,13531,186,72,-49.28568392214568,13411,164.84733068000003,18.04016093284853,87.59,,
0.001,256,13894,186,74,-49.13966539171007,13777,166.69443849000004,18.796604580349392,88.33,,
0.001,,14000,,,-50.0970472547743,13957,,18.003411716885036,,181.9636242210865,91.1
0.001,260,14258,186,76,-50.71438026428223,14140,167.61266593,18.39813076413196,88.61,,
0.001,264,14623,186,78,-51.4714804304407,14505,168.44946196,16.39811376772429,88.87,,
0.001,268,14959,187,79,-51.740185601370676,14846,168.48233352,15.511191924413046,88.83,,
0.001,,15000,,,-52.07912595881972,14932,,14.05163456118384,,158.99639582037926,82.4
0.001,272,15283,186,81,-52.061954400478264,15175,168.04830470999997,14.357378501158495,88.64,,
0.001,276,15636,186,83,-53.85681177775065,15520,169.75716756999998,14.152813397096784,89.37,,
0.001,280,15993,186,85,-53.3295022715693,15876,173.48919332000006,19.064504398094428,91.13,,
0.001,,16000,,,-54.12677137586805,15966,,17.28490071826511,,175.43124511241913,88.1
0.001,284,16353,185,88,-54.44503858815069,16236,173.94594970999998,15.01068204837841,91.41,,
0.001,288,16712,185,90,-55.046492936876085,16593,167.87571649999998,15.825997161865235,85.38,,
0.001,,17000,,,-55.47363064505837,16951,,15.617125752266872,,179.606218791008,89.7
,292,17068,184,92,,,168.77288585000002,,85.73,,
0.001,296,17410,184,94,-56.264301465905234,17304,170.71527383,16.35366125728773,86.65,,
0.001,300,17725,185,95,-57.24541708139273,17619,172.17359313999998,18.33557152748108,87.37,,
0.001,,18000,,,-57.52465394485829,17944,,19.999595081104953,,151.6217021226883,78.9
,304,18049,183,98,,,172.42895585,,87.46,,
0.001,308,18368,184,99,-58.47002066635504,18263,171.55900868,17.17451138031192,87.11,,
0.001,312,18686,184,101,-58.83340520858765,18578,170.74325047,17.074980407953262,86.77,,
0.001,,19000,,,-58.787918621980694,18896,,16.193366711652732,,156.97488827109336,79.8
0.001,316,19113,183,103,-59.659773445129396,18976,171.57576298,15.488289779424667,87.62,,
0.001,,20000,,,-59.53329318502675,19342,,15.006716313569441,,989.9110459983349,1000.0
,320,20369,180,112,,,179.09562095000004,,96.17,,
0.001,,21000,,,-64.26590948104858,20423,,19.704694936304918,,990.1645643293857,1000.0
0.001,,22000,,,-65.83580384063721,21423,,18.974861010551454,,994.4725590705872,1000.0
0.001,,23000,,,-68.42015661621093,22423,,21.749372675895692,,946.4868719607591,915.4
,324,23450,157,148,,,204.21253860999997,,123.64,,
0.001,,24000,,,-74.28436767578125,23423,,24.095437516212463,,1014.2137955665588,1000.0
0.001,328,24567,149,164,-79.75974408318015,24496,208.9650965,17.481023239366937,131.36,,
0.001,332,24726,149,165,-79.56332863701715,24662,203.87942226999994,46.632347928153145,129.38,,
0.001,336,24872,149,166,-79.40133993966239,24820,198.66867383000002,120.67768868945893,127.26,,
0.001,340,24997,149,166,-81.10875936654898,24933,193.70526206000002,27.666653951009113,125.14,,
0.001,,25000,,,-82.945262708162,24970,,36.78976615699562,,49.21622008085251,35.5
0.001,344,25125,149,167,-82.46460469563802,25067,189.20767106,90.81115142822266,123.17,,
0.001,348,25229,150,168,-82.26565987723214,25178,183.44023319999997,47.48395674569266,120.67,,
0.001,352,25327,150,168,-82.37604713439941,25276,177.24468302000002,59.61515498161316,117.96,,
0.001,356,25415,150,169,-82.8718428178267,25365,171.04721531999996,30.183255195617676,115.21,,
0.001,360,25509,150,169,-83.74047724405925,25461,164.88399147999996,174.900115814209,112.51,,
0.001,364,25614,150,170,-84.44844465989333,25560,158.86116540999998,112.6009324147151,109.91,,
0.001,368,25727,150,170,-84.81212674654446,25664,153.74075599999998,48.73556071061354,107.68,,
0.001,372,25935,151,171,-84.42262377057757,25780,151.04906322000002,138.99284492220198,106.52,,
0.001,,26000,,,-85.08941977364677,25965,,117.0815886135759,,28.284763205051423,24.8
0.001,376,26047,151,172,-86.7239749615009,25990,145.28058335000003,90.8874552154541,104.11,,
0.001,380,26152,151,172,-87.99774333408901,26098,139.40672941999998,119.75092308861869,101.59,,
0.001,384,26257,151,173,-90.11644040621243,26205,133.42815622,67.40653242888274,99.04,,
0.001,388,26362,151,173,-87.01813289097377,26309,127.48488320999999,174.6988193648202,96.5,,
0.001,392,26468,151,174,-88.62195880596454,26415,121.44851159,112.71755857820864,94.0,,
0.001,396,26584,151,175,-90.49204799107143,26529,116.07575841000002,135.195570255148,91.74,,
0.001,,27000,,,-89.5881357828776,26586,,70.89909001054436,,450.46635791659355,415.0
0.001,,28000,,,-96.36539331240851,27504,,114.82078890914751,,1024.9087495982646,1000.0
0.001,,29000,,,-104.37272947692871,28504,,101.86604360580445,,559.007616007328,470.0
,400,29041,146,198,,,137.03516555000002,,113.16,,
0.001,,30000,,,-118.50532650497725,29777,,133.4077539039108,,775.4950404405594,646.3
0.001,404,30780,144,212,-123.44575245415986,30447,152.45161879,140.19482218614266,127.31,,
0.001,,31000,,,-128.40101533777573,30753,,162.84484247132843,,511.6726919353008,322.1
0.001,,32000,,,-137.18262326515327,31751,,184.4405165121589,,643.8207827448845,471.2
,408,32249,143,224,,,167.90271292,,138.81,,
0.001,,33000,,,-142.98440974553426,32702,,138.69183625777563,,504.6086092054844,338.1
0.001,412,33789,144,234,-147.7979761024431,33386,183.88807675000004,176.28898053929424,151.03,,
0.001,,34000,,,-150.21812138658888,33762,,156.5741925239563,,499.9407452225685,330.8
0.001,,35000,,,-155.9214263584303,34849,,162.40946681603143,,480.92140622138976,315.1
,416,35199,143,245,,,197.13333458,,160.86,,
0.001,,36000,,,-163.55123309235074,35950,,162.22315539505118,,926.0765074610711,852.6
0.001,420,36423,141,258,-166.02485838390533,36203,200.53460224000003,145.29379907992518,160.54,,
0.001,,37000,,,-166.61225120308472,36396,,178.39082787073954,,616.2853957533837,507.5
0.001,,38000,,,-170.52276299589423,37583,,172.61390153609494,,1076.5558267891406,1000.0
0.001,,39000,,,-171.8660273742676,38583,,141.73158513259887,,552.6133979856968,408.1
,424,39012,137,282,,,199.01394497,,155.62,,
0.001,,40000,,,-172.14100780952268,39779,,146.47875132409905,,585.3141393065453,435.4
0.001,,41000,,,-173.23529928701896,40211,,134.59500092047233,,1063.494912713766,1000.0
,428,41238,136,301,,,214.79329245999998,,166.71,,
0.001,,42000,,,-173.92717166137695,41211,,140.80338415145874,,1042.5638453662395,1000.0
0.001,,43000,,,-172.92594821166992,42211,,130.04776434326172,,1040.1021433651447,1000.0
0.001,,44000,,,-175.59135336303711,43211,,130.20041662597657,,1050.26057356596,1000.0
0.001,,45000,,,-176.6305115661621,44211,,116.49383910179138,,998.9637595891952,1000.0
,432,45238,130,347,,,254.13417287999997,,205.12,,
0.001,,46000,,,-180.72150314331054,45211,,119.4825948009491,,1025.8302048623561,1000.0
0.001,,47000,,,-182.81614041137695,46211,,120.79790753746033,,997.9321365833282,1000.0
0.001,436,47721,126,376,-176.91732501983643,47242,277.08618428,81.9792863169024,228.49,,
0.001,,48000,,,-180.5114336515728,47922,,117.59353130323845,,297.1444358289242,150.2
0.001,,49000,,,-179.99907011144302,48268,,94.81235968008549,,555.2420290201902,380.6
,440,49295,127,385,,,295.57004197000003,,242.98,,
0.001,444,49791,127,391,-181.43032001999188,49619,306.1696539,99.7787450214602,246.66,,
0.001,,50000,,,-181.29324744729433,49901,,95.79166924692419,,280.3386587023735,132.4
0.001,448,50369,127,395,-180.81619638939426,50196,318.04633661,106.73168904814001,251.4,,
0.001,452,50984,128,398,-180.26591270848326,50823,330.30331774999996,89.83790193196215,256.57,,
0.001,,51000,,,-181.5916096701551,50957,,94.63685195125751,,316.0463165462017,135.0
