rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,eval/mean_ep_length,eval/mean_reward
18.75,4,16.243347999999997,2105,0,75,,,,,,
15.75,8,13.820448375,585,0,126,0.10671075501225212,-0.9480819801489512,0.001,22,,
20.166666666666668,12,26.487968750000004,254,0,242,0.02239220030605793,-1.7459727417338977,0.001,123,,
20.5625,16,29.471682124999997,206,1,329,0.04883256410671906,-2.281641873446378,0.001,212,,
20.85,20,31.328804849999994,188,2,417,0.09634845987671897,-2.641957426071167,0.001,299,,
20.375,24,25.89944433333333,176,2,489,0.11078047504027684,-2.8064476119147406,0.001,375,,
20.035714285714285,28,21.98517928571428,170,3,561,0.1159050330105755,-2.670141246583727,0.001,447,,
19.71875,32,19.095599125,165,3,631,0.13992020356304505,-2.792287677526474,0.001,517,,
19.52777777777778,36,16.833617222222223,163,4,703,0.19055719321800602,-2.76855821079678,0.001,589,,
19.35,40,15.01852835,160,4,774,0.1558448974700535,-2.625302341249254,0.001,660,,
19.204545454545453,44,13.529699909090908,158,5,845,0.15333724125391907,-2.6589536666870117,0.001,731,,
19.083333333333332,48,12.28654570833333,156,5,916,0.23932955289880434,-2.5466544363233776,0.001,802,,
19.0,52,11.228391826923074,155,6,988,0.24406425768716467,-2.48336042298211,0.001,874,,
,,,,,1000,0.13374660909175873,-2.411478863822089,0.001,892,17.9,-1.3157225608825684
18.910714285714285,56,10.33069542857143,149,7,1059,0.2576778000768493,-2.463791072368622,0.001,945,,
18.85,60,9.54018855,148,7,1131,0.29260092394219506,-2.2863096396128335,0.001,1017,,
18.78125,64,8.8552576875,147,8,1202,0.25618329337414575,-2.3284577793545194,0.001,1088,,
18.705882352941178,68,8.264531249999997,146,8,1272,0.2944917924263898,-2.1759570240974426,0.001,1159,,
18.666666666666668,72,7.722193652777779,145,9,1344,0.2805044878688123,-2.018183297581143,0.001,1230,,
18.61842105263158,76,7.239411618421054,144,9,1415,0.32717514741751885,-2.02651309967041,0.001,1302,,
18.575,80,6.81042855,144,10,1486,0.24386634015374714,-1.6203664143880208,0.001,1372,,
18.547619047619047,84,6.416961107142858,143,10,1558,0.41058057981232804,-1.8663831816779242,0.001,1444,,
18.511363636363637,88,6.070477079545455,143,11,1629,0.23137435068686804,-1.7351761791441176,0.001,1515,,
18.47826086956522,92,5.750339293478263,143,11,1700,0.32607660617898493,-1.8355284267001681,0.001,1586,,
18.447916666666668,96,5.450939062500001,143,12,1771,0.38148095327265125,-1.7553054839372635,0.001,1657,,
18.43,100,5.1811684200000006,142,12,1843,0.2996298273404439,-1.2582759592268202,0.001,1729,,
19.2,104,7.27767952,142,13,1995,0.4511240344980489,-2.4708696603775024,0.001,1874,,
,,,,,2000,0.59265465259552,-2.3690933883190155,0.001,1899,22.5,39.6349112033844
19.67,108,8.547212359999998,139,15,2093,0.7961034536361694,-3.259717812904945,0.001,1972,,
19.43,112,8.09352548,139,15,2185,1.0085361216749464,-3.9074295217340644,0.001,2066,,
19.46,116,8.145150840000001,139,16,2275,0.7902639934962447,-4.408166191794655,0.001,2157,,
19.52,120,8.252253009999999,139,17,2369,1.223827812982642,-4.841282884279887,0.001,2248,,
19.68,124,9.85186838,139,17,2457,1.470381723208861,-5.27234038439664,0.001,2339,,
19.86,128,11.50215577,139,18,2547,1.334808610379696,-5.379583716392517,0.001,2429,,
20.37,132,13.687049620000003,139,19,2668,1.5301494361073882,-6.103294460861771,0.001,2551,,
21.15,136,16.50184139,139,20,2818,1.637861879098983,-7.107500982284546,0.001,2699,,
21.32,140,18.103618880000003,138,20,2906,1.5068971446969293,-7.299962693994695,0.001,2788,,
21.51,144,19.75469612,139,21,2996,1.2254883036726998,-8.09217357635498,0.001,2874,,
,,,,,3000,1.3289316697762563,-7.845476774068979,0.001,2900,28.1,50.39410926103592
21.72,148,21.44112493,136,22,3088,1.550893444390524,-8.51026725769043,0.001,2971,,
23.65,152,26.32252216,138,24,3353,1.8361776851945453,-9.032692149281502,0.001,3170,,
25.44,156,30.90380659,138,25,3603,1.6519660262957863,-10.138544414354408,0.001,3422,,
27.67,160,36.42754578,139,27,3898,2.767624973319471,-11.566038578748703,0.001,3716,,
,,,,,4000,2.517554466237967,-12.136133903680845,0.001,3889,62.7,110.71122202277184
30.1,164,42.37613015000001,137,30,4212,2.8446628087904395,-12.801104778196754,0.001,4033,,
32.56,168,48.41320305,138,32,4528,2.4845566359059563,-14.166964331338573,0.001,4345,,
35.23,172,54.99579238000001,139,34,4867,2.938574976949807,-15.235658554803758,0.001,4684,,
,,,,,5000,3.3948791362773414,-15.782937331633134,0.001,4858,84.5,160.73660740852355
37.8,176,61.25899338999999,136,37,5195,3.6234906603550088,-16.225227269259367,0.001,5030,,
40.47,180,67.81268163,136,40,5533,3.9433432300406768,-17.02688752151117,0.001,5351,,
43.16,184,74.45771878000001,136,42,5874,3.6879261461801307,-17.95836874496105,0.001,5693,,
,,,,,6000,4.429221016604726,-18.661078755448504,0.001,5860,84.9,162.7838038921356
45.87,188,81.08326107,133,46,6216,4.711602667282367,-18.90159914710305,0.001,6034,,
