train/learning_rate,time/fps,time/total_timesteps,rollout/ep_len_mean,train/actor_loss,train/n_updates,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/critic_loss,eval/mean_ep_length,eval/mean_reward
0.001,188,117,29.25,-1.3595588207244873,83,33.50756975,0,4,0.03205926104315689,,
0.001,187,145,18.125,-1.3219594955444336,111,18.629337,0,8,0.016112827828952243,,
0.001,182,173,14.416666666666666,-1.2938403685887654,139,13.636022833333334,0,12,0.016030094719358852,,
0.001,180,201,12.5625,-1.281222899754842,167,11.1166780625,1,16,0.01734535356185266,,
0.001,176,229,11.45,-1.2902759313583374,195,9.609382299999998,1,20,0.014447304553219251,,
0.001,174,257,10.708333333333334,-1.2349965174992878,223,8.603064458333334,1,24,0.013576757561947619,,
0.001,173,285,10.178571428571429,-1.3437795639038086,251,7.8958390000000005,1,28,0.01339250330680183,,
0.001,172,313,9.78125,-1.250474174817403,279,7.37248959375,1,32,0.012929979379155807,,
0.001,172,341,9.472222222222221,-1.2952587207158406,307,6.9496509444444445,1,36,0.015696945999349867,,
0.001,171,369,9.225,-1.2263013124465942,335,6.617612650000001,2,40,0.019380799228591577,,
0.001,174,419,9.522727272727273,-1.3955927557415433,374,6.126215840909091,2,44,0.0274882305206524,,
0.001,173,491,10.229166666666666,-1.2905507882436116,446,5.473203104166667,2,48,0.025811693113711145,,
0.001,238,815,15.673076923076923,-1.3605713579389784,518,10.68777923076923,3,52,0.008114833876283633,,
0.001,173,902,16.107142857142858,-2.47307950258255,853,12.675177125000001,5,56,0.26487536550987334,,
0.001,173,989,16.483333333333334,-2.9113657908006148,940,14.3839091,5,60,0.33847864412448625,,
0.001,,1000,,-2.972969965501265,962,,,,0.39741069688038394,22.1,38.893418955802915
0.001,166,1077,16.828125,-3.260760870846835,1028,15.903572890625002,6,64,0.47921041636304423,,
0.001,166,1165,17.13235294117647,-3.7194777618754995,1115,17.25054225,6,68,0.5167099806395444,,
0.001,166,1253,17.40277777777778,-3.9213836193084717,1203,18.445761625000003,7,72,0.5261559408335459,,
0.001,166,1341,17.644736842105264,-4.305448098616167,1292,19.508642223684213,8,76,0.4816087745130062,,
0.001,167,1428,17.85,-4.785401391983032,1379,20.454308987500003,8,80,0.5455289000556582,,
0.001,168,1516,18.047619047619047,-4.946173624558882,1467,21.320388500000004,8,84,0.44358945841139014,,
0.001,169,1606,18.25,-5.3732171058654785,1556,22.14787555681818,9,88,0.46513884446837683,,
0.001,170,1695,18.42391304347826,-5.817241582003507,1646,22.891581858695655,9,92,0.4381686625155536,,
0.001,170,1803,18.78125,-6.715225897337261,1765,23.71436438541667,10,96,0.3729991069749782,,
0.001,171,1841,18.41,-7.4178766250610355,1804,23.160717169999998,10,100,0.7884634852409362,,
0.001,171,1875,17.58,-7.520436644554138,1839,22.152773170000003,10,104,0.3364352070622974,,
0.001,171,1913,17.68,-7.361846542358398,1876,22.404779719999997,11,108,0.6444586679339409,,
0.001,172,1955,17.82,-7.38905963897705,1916,22.731081430000003,11,112,0.5827057719230652,,
0.001,172,1999,17.98,-7.443753878275554,1960,23.093264099999995,11,116,0.44081066955219617,,
0.001,,2000,,-7.955252091089885,1972,,,,0.57709867755572,11.6,13.882071530818939
0.001,171,2047,18.18,-7.948527177174886,2008,23.537916070000005,11,120,0.4453032836318016,,
0.001,174,2220,19.63,-8.171308676401773,2162,26.697910149999995,12,124,1.0246718362683342,,
0.001,174,2333,20.48,-8.581047121683756,2282,28.53939125999999,13,128,1.0875022997458776,,
0.001,174,2488,21.75,-9.178183257579803,2438,31.048053279999994,14,132,0.9326860577829422,,
0.001,175,2640,22.99,-9.491168635232109,2583,33.51607609999999,15,136,0.7490534292800086,,
0.001,176,2767,23.98,-9.898847897847494,2712,35.58951898,15,140,1.0434244788355298,,
0.001,176,2896,24.77,-10.411299364907402,2835,37.80616424,16,144,1.0757729783654213,,
0.001,,3000,,-10.876340495215523,2941,,,,1.1868624961054004,35.9,61.159696185588835
0.001,173,3037,25.46,-11.233393669128418,2978,40.29962217,17,148,1.0917280960727382,,
0.001,174,3172,23.57,-11.439330437604118,3117,39.737942419999996,18,152,1.1940804316717035,,
0.001,174,3299,23.97,-12.127340044294085,3241,40.43757869,18,156,1.2268224111918746,,
0.001,175,3492,25.03,-12.408358060396635,3424,42.07069542,19,160,1.740414256659838,,
0.001,175,3721,26.44,-13.315148813971158,3643,44.443792859999995,21,164,2.1406856846001188,,
0.001,175,3958,27.93,-14.271497760500226,3870,46.81081507,22,168,2.800020582973957,,
0.001,,4000,,-14.822285683949788,3931,,,,2.7938644856703085,46.4,77.91953415870667
0.001,174,4219,29.66,-15.788557081511527,4119,49.848132920000005,24,172,2.7304056024912633,,
0.001,174,4524,31.83,-16.878103685379028,4411,54.05324561000001,25,176,4.011544906798704,,
0.001,172,4670,32.42,-17.979464954800076,4610,55.027426010000006,27,180,4.307205436910902,,
