rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_ep_length,eval/mean_reward
24.0,4,13.02575275,3247,0,96,,,,,,
22.625,8,23.53482225,479,0,181,0.001,0.010822768586323313,64,-1.1596158842245738,,
22.5,12,28.78383616666667,304,0,270,0.001,0.02966479847038334,152,-1.6925086216493086,,
22.4375,16,31.374418187499998,255,1,359,0.001,0.043561212295158344,241,-2.1209079135547984,,
22.4,20,32.92670995,233,1,448,0.001,0.07154410267653673,330,-2.5042938590049744,,
22.333333333333332,24,33.896621,221,2,536,0.001,0.08963225256990302,418,-2.9097447395324707,,
22.535714285714285,28,35.08447875,217,2,631,0.001,0.11004237593574957,507,-3.263562419197776,,
22.96875,32,36.09815021875001,212,3,735,0.001,0.2063329477722828,612,-3.7771931061377892,,
22.86111111111111,36,36.35582283333335,208,3,823,0.001,0.2605999115515839,705,-4.181974324313077,,
22.75,40,36.528138925,206,4,910,0.001,0.48162560029463336,792,-4.665699612010609,,
,,,,,1000,0.001,0.4173751974105835,882,-5.063825680659368,45.4,82.16699965000153
23.25,44,37.75587025,196,5,1023,,,,,,
24.520833333333332,48,40.08569364583334,195,6,1177,0.001,0.4990349154580723,1039,-5.627174680883234,,
25.846153846153847,52,42.69673521153847,194,6,1344,0.001,0.4762250442057848,1206,-6.42858772277832,,
27.125,56,45.209243464285706,193,7,1519,0.001,0.6061924210888274,1378,-7.190518756707509,,
26.8,60,44.81050701666666,189,8,1608,0.001,0.6369145492261107,1490,-7.601617986505682,,
26.546875,64,44.5184925625,188,8,1699,0.001,1.1227745901454578,1581,-7.935325969349254,,
26.279411764705884,68,44.181768,188,9,1787,0.001,0.8408635705709457,1669,-8.352834961631082,,
26.63888888888889,72,45.0166235,187,10,1918,0.001,0.9626998346427391,1793,-8.717557413824673,,
,,,,,2000,0.001,0.8489154088497162,1877,-9.173426946004232,69.1,136.7697208881378
27.88157894736842,76,47.559345789473674,181,11,2119,0.001,0.7847116401140717,1964,-9.301568486473776,,
30.3,80,52.519551037499994,181,13,2424,0.001,1.2088416846508676,2242,-10.094727555910746,,
31.583333333333332,84,55.02796932142856,177,14,2653,0.001,1.2281559886885625,2509,-11.138684349060059,,
