time/total_timesteps,train/actor_loss,train/learning_rate,time/fps,time/episodes,train/n_updates,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward
117,-1.3595588207244873,0.001,151,4,83,0.03205926104315689,0,33.50756975,29.25,,
145,-1.3219594955444336,0.001,154,8,111,0.016112827828952243,0,18.629337,18.125,,
173,-1.2938403685887654,0.001,153,12,139,0.016030094719358852,1,13.636022833333334,14.416666666666666,,
201,-1.281222899754842,0.001,151,16,167,0.01734535356185266,1,11.1166780625,12.5625,,
229,-1.2902759313583374,0.001,150,20,195,0.014447304553219251,1,9.609382299999998,11.45,,
257,-1.2349965174992878,0.001,148,24,223,0.013576757561947619,1,8.603064458333334,10.708333333333334,,
285,-1.3437795639038086,0.001,147,28,251,0.01339250330680183,1,7.8958390000000005,10.178571428571429,,
313,-1.250474174817403,0.001,146,32,279,0.012929979379155807,2,7.37248959375,9.78125,,
341,-1.2952587207158406,0.001,146,36,307,0.015696945999349867,2,6.9496509444444445,9.472222222222221,,
369,-1.2263013124465942,0.001,146,40,335,0.019380799228591577,2,6.617612650000001,9.225,,
419,-1.3955927689870198,0.001,150,44,374,0.02748823259025812,2,6.126215886363636,9.522727272727273,,
491,-1.290550708770752,0.001,150,48,446,0.02581169368285272,3,5.4732031875,10.229166666666666,,
815,-1.3605712784661188,0.001,204,52,518,0.008114831418626837,3,10.687810730769229,15.673076923076923,,
902,-2.481481337547302,0.001,156,56,853,0.2639258092357999,5,12.675206339285713,16.107142857142858,,
989,-2.9140895930203525,0.001,157,60,940,0.342229944399812,6,14.383936333333333,16.483333333333334,,
1000,-2.9744278734380547,0.001,,,962,0.4031764021651311,,,,22.1,38.89341830015182
1077,-3.2670534524050625,0.001,153,64,1028,0.4848558056083592,7,15.903598390625001,16.828125,,
1165,-3.723156040365046,0.001,153,68,1115,0.5209096704017032,7,17.25056620588235,17.13235294117647,,
1253,-3.9201685905456545,0.001,153,72,1203,0.5161882170609066,8,18.445784208333336,17.40277777777778,,
1341,-4.3191211873834785,0.001,153,76,1292,0.46923748132857407,8,19.508663565789476,17.644736842105264,,
1428,-4.821591424942016,0.001,154,80,1379,0.543216966447376,9,20.4543292,17.85,,
1516,-4.975784908641469,0.001,156,84,1467,0.438146555965597,9,21.32040769047619,18.047619047619047,,
1606,-5.403009154579856,0.001,158,88,1556,0.45785113085399975,10,22.147893795454547,18.25,,
1695,-5.854923768477007,0.001,159,92,1646,0.43592388995669107,10,22.89159817391305,18.42391304347826,,
1761,-7.00351505279541,0.001,159,96,1724,0.5114094376564026,11,22.892915197916665,18.34375,,
1801,-6.816049575805664,0.001,159,100,1764,0.7069471716880799,11,22.19437367,18.01,,
1841,-6.930668449401855,0.001,160,104,1804,0.5711202114820481,11,21.072344279999996,17.24,,
1881,-7.358705043792725,0.001,160,108,1844,0.5980700135231019,11,21.13963027,17.36,,
1921,-6.944873714447022,0.001,161,112,1884,0.6035582274198532,11,21.21075101,17.48,,
1961,-7.0835882186889645,0.001,161,116,1924,0.6511873364448547,12,21.28412891,17.6,,
2000,-7.082306861877441,0.001,,,1964,0.7295748949050903,,,,10.0,5.41946462392807
2001,,,161,120,,,12,21.357540529999998,17.72,,
2041,-7.560416412353516,0.001,161,124,2004,0.7186507999897003,12,21.430358339999998,17.84,,
2081,-7.48318920135498,0.001,161,128,2044,1.2422762393951416,12,21.501816679999997,17.96,,
2121,-7.41201114654541,0.001,161,132,2084,1.3105954110622406,13,21.57127451,18.08,,
2161,-7.2744194030761715,0.001,162,136,2124,1.3570782244205475,13,21.645118209999996,18.2,,
2201,-6.704785633087158,0.001,162,140,2164,1.0221543937921524,13,21.71583153,18.32,,
2241,-6.918343830108642,0.001,163,144,2204,0.8628015697002411,13,21.88557224,18.22,,
2281,-7.276267719268799,0.001,163,148,2244,0.8072964429855347,13,22.169282039999995,17.9,,
2321,-6.821850967407227,0.001,163,152,2284,0.926142455637455,14,19.45719217,15.06,,
2506,-7.426439263099848,0.001,167,156,2427,0.9308681668237199,14,21.11111629,16.04,,
2625,-7.979025159563337,0.001,167,160,2565,1.1034692443650345,15,21.70145664,16.36,,
2737,-8.494816405432564,0.001,167,164,2685,0.9928361002741188,16,22.154713300000004,16.6,,
2856,-8.93803174155099,0.001,167,168,2791,1.1599612328512916,17,22.722184370000004,16.91,,
3000,-9.495736891223538,0.001,,,2968,1.207299916470637,,,,65.0,112.96110173463822
3110,-9.578081315563571,0.001,164,172,3031,1.209267969878893,18,25.687045469999997,18.57,,
3288,-10.239369175650857,0.001,166,176,3174,1.303103922411453,19,27.42258484,19.47,,
3590,-11.542915756637985,0.001,166,180,3492,1.8660000965401933,21,31.663488689999998,21.62,,
3900,-12.503597986130487,0.001,168,184,3787,1.388583284090547,23,36.11659509,23.84,,
4000,-13.119958389637082,0.001,,,3959,1.7542894694001177,,,,62.4,115.33475023508072
4197,-13.546839453957297,0.001,168,188,4084,1.5319229593643775,24,40.24261067,25.91,,
4503,-14.840911687806596,0.001,169,192,4428,2.5044518246370204,26,44.58879711,28.08,,
4848,-16.1902836866157,0.001,172,196,4735,2.471603803163351,28,50.3543592,30.87,,
5000,-16.71768203648654,0.001,,,4908,3.0118079230018044,,,,87.5,172.0315633058548
5198,-17.322673190723766,0.001,169,200,5084,2.9090781645341353,30,57.04390162,33.97,,
5503,-18.484435724657637,0.001,169,204,5390,3.3709947792596595,32,62.84831929999999,36.62,,
5849,-19.830994389273904,0.001,168,208,5736,3.3457373154574426,34,69.40962643,39.68,,
6000,-20.10241464126942,0.001,,,5908,3.1256851928178655,,,,85.7,168.99793314933777
6193,-20.893759000869025,0.001,165,212,6079,3.7772792479571176,37,75.96194169,42.72,,
6540,-22.36800451056902,0.001,165,216,6425,3.3342266493830186,39,82.55516844,45.79,,
6889,-23.098760649215343,0.001,165,220,6773,4.570070905246954,41,89.25414751999999,48.88,,
7000,-23.931918462117512,0.001,,,6952,3.8461977746751574,,,,86.3,174.5114462018013
7240,-24.602484139529142,0.001,161,224,7125,4.965459948236292,44,96.10997969,51.99,,
7590,-25.58150282571482,0.001,161,228,7476,4.81526709434598,46,102.95027319,55.09,,
7940,-26.613501526588617,0.001,162,232,7825,4.5669402206081084,48,109.68423679000001,58.19,,
8000,-26.80877603184093,0.001,,,7913,5.100013732910156,,,,90.8,180.7693278670311
8290,-27.80220751328902,0.001,159,236,8176,4.328097178333107,52,116.49215108,61.29,,
8604,-28.54395172812722,0.001,159,240,8490,5.8827247866268815,54,122.49567479,64.03,,
8950,-29.569579678912497,0.001,158,244,8835,5.75765905685203,56,129.39465854999997,67.09,,
9000,-29.681380835446443,0.001,,,8923,5.5484985099597415,,,,70.7,132.14937044978143
9278,-30.3430037206533,0.001,156,248,9163,6.66012186298565,59,135.45341474,69.97,,
9534,-31.27842849233876,0.001,155,252,9477,6.906393867667004,61,139.98384718000003,72.13,,
9654,-31.958696007728577,0.001,156,256,9599,9.62358821183443,61,138.71020384,71.48,,
9751,-32.144438310102984,0.001,156,260,9701,7.039174297581548,62,138.0924421,71.26,,
9846,-33.007624886252664,0.001,155,264,9795,7.636267371799635,63,137.55246566,71.09,,
9946,-32.24794594446818,0.001,156,268,9893,10.002372131347656,63,136.98691198999998,70.9,,
10000,-32.65430243810018,0.001,,,9969,9.80492862224579,,,,25.0,39.67896810173988
10048,-33.024765748244064,0.001,156,272,9994,12.574733381271363,64,134.08675756,69.38,,
10407,-33.431409402327105,0.001,156,276,10288,11.574009784243323,66,137.90845237999997,71.19,,
10768,-34.45172983805339,0.001,157,280,10651,9.9072929922041,68,139.23555617,71.78,,
11000,-35.07737259431319,0.001,,,10919,9.000427177006548,,,,89.7,178.50945518016815
11123,-35.56761881510417,0.001,155,284,11008,9.220889571007717,71,140.16229769,72.23,,
11488,-36.27433291348544,0.001,155,288,11373,8.830269048722942,73,141.62052685,72.91,,
11868,-37.68853670485476,0.001,156,292,11745,9.46061860887628,76,143.16813334,73.65,,
12000,-37.83297746077828,0.001,,,11933,8.248235965552537,,,,87.8,175.05002174973487
12232,-38.20158157348633,0.001,154,296,12113,8.395988582254766,79,143.65269859999998,73.84,,
12596,-39.381788087927774,0.001,154,300,12478,9.46656860100044,81,143.91783134000002,73.98,,
12933,-40.40364364955736,0.001,153,304,12853,7.775567630062932,84,144.40528327,74.3,,
13000,-40.303258966516566,0.001,,,12906,9.226932557124012,,,,78.1,151.24131172895432
13264,-41.03441162109375,0.001,153,308,13180,9.044466111395094,86,144.13480547,74.15,,
13623,-42.079542989316195,0.001,153,312,13506,9.50555208489135,88,144.52066453999998,74.3,,
13921,-42.54734052930559,0.001,153,316,13841,8.81775947202716,90,143.47623067,73.81,,
14000,-42.61917057743779,0.001,,,13894,10.875891235639465,,,,70.4,134.27828310728074
14245,-43.11313766088241,0.001,152,320,14140,10.467592664254017,93,142.87790821000002,73.56,,
14477,-44.249773465670074,0.001,152,324,14422,15.985791793236366,94,140.17137061000003,72.37,,
14796,-44.08302141272503,0.001,153,328,14676,10.502027553060781,96,139.33950919,72.06,,
15000,-44.75461168642397,0.001,,,14908,11.413524231820736,,,,88.2,169.35173553824424
15123,-44.652506828308105,0.001,152,332,15004,13.148593977093697,98,138.52554062000002,71.83,,
15468,-45.28580338614328,0.001,153,336,15355,13.080795509674969,100,137.76935288,71.78,,
15830,-45.99338133070204,0.001,153,340,15721,12.880367649926079,103,137.60169270999998,72.26,,
16000,-46.41436602852561,0.001,,,15890,13.67082498265409,,,,91.8,153.34959602952003
16187,-46.5324592590332,0.001,153,344,16071,12.686862135981466,105,136.79304365,72.37,,
