time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss,eval/mean_ep_length,eval/mean_reward
274,4,17.67479525,0,26.0,104,,,,,,
187,8,9.146378499999999,0,17.5,140,0.023812571747435465,0.001,55,-0.4334065169095993,,
185,12,7.862146333333333,0,15.0,180,0.01686560586094856,0.001,94,-0.5970073461532592,,
182,16,7.2508871875,1,13.75,220,0.01580422860570252,0.001,134,-0.6522996544837951,,
182,20,6.884070799999999,1,13.0,260,0.013707318250089884,0.001,174,-0.7611273050308227,,
181,24,6.641378458333333,1,12.5,300,0.01391767654567957,0.001,214,-0.8684046626091003,,
180,28,6.4663061428571424,1,12.142857142857142,340,0.017813814524561166,0.001,254,-0.8390898704528809,,
179,32,6.3336635,2,11.875,380,0.012530425563454628,0.001,294,-0.8939194917678833,,
179,36,6.229750694444444,2,11.666666666666666,420,0.011000728746876121,0.001,334,-0.9626226902008057,,
180,40,6.147712725,2,11.5,460,0.015357938455417752,0.001,374,-0.9595353722572326,,
182,44,6.079630863636364,2,11.363636363636363,500,0.014467367879115045,0.001,414,-0.968337333202362,,
183,48,6.024135333333334,2,11.25,540,0.014883433561772108,0.001,454,-1.0574814558029175,,
185,52,5.976576326923077,3,11.153846153846153,580,0.009294708725064993,0.001,494,-1.0395963430404662,,
186,56,5.935351053571429,3,11.071428571428571,620,0.007185575517360121,0.001,534,-1.094540524482727,,
186,60,5.899248216666667,3,11.0,660,0.0135410372633487,0.001,574,-1.1200997591018678,,
186,64,5.869012968750001,3,10.9375,700,0.007331340620294213,0.001,614,-1.2191532373428344,,
186,68,5.843688058823531,3,10.882352941176471,740,0.01074160085991025,0.001,654,-1.1824698209762574,,
187,72,5.82057161111111,4,10.833333333333334,780,0.01214078082703054,0.001,694,-1.1287989139556884,,
187,76,5.799705986842104,4,10.789473684210526,820,0.012210175767540932,0.001,734,-1.2417414665222168,,
187,80,5.783867625,4,10.75,860,0.012285203533247113,0.001,774,-1.242083764076233,,
190,84,7.358338547619047,4,11.285714285714286,948,0.07882191664115949,0.001,850,-2.176813385703347,,
,,,,,1000,0.16433602977882733,0.001,917,-2.3281349702314897,22.4,39.31526032686234
185,88,8.81678831818182,5,11.795454545454545,1038,0.18882442943074487,0.001,939,-2.4553098678588867,,
188,92,10.543725706521741,6,13.51086956521739,1243,0.2485615769194232,0.001,1144,-3.1638304876244585,,
189,96,13.58019778125,7,14.770833333333334,1418,0.3492954829707742,0.001,1309,-4.247841581702232,,
194,100,19.562572810000002,8,17.46,1746,0.553571711590683,0.001,1585,-5.349266680804166,,
,,,,,2000,0.7302208945796054,0.001,1849,-6.34010878853176,86.5,177.43092240095137
186,104,26.40338064,11,20.07,2111,0.7121151579750908,0.001,1939,-6.843723615010579,,
184,108,31.007802579999996,12,22.21,2361,1.167104705291636,0.001,2224,-8.168569873361026,,
187,112,37.00132894,14,24.93,2673,1.3100332226788645,0.001,2510,-9.278279435400869,,
,,,,,3000,1.64896857215369,0.001,2884,-11.084557999955846,95.3,200.5399793624878
180,116,44.79901527,16,28.36,3056,,,,,,
181,120,52.293698830000004,18,31.68,3428,1.9167146540350384,0.001,3258,-12.707254558139377,,
181,124,58.72155801000001,20,34.5,3750,2.3343526273965836,0.001,3580,-14.227514869288393,,
,,,,,4000,2.509204143164109,0.001,3858,-15.305286894039233,91.6,187.5816177368164
178,128,66.06502031000001,23,37.78,4118,2.142261852926396,0.001,3952,-15.71744064574546,,
179,132,73.84870928,25,41.2,4500,2.944470844010717,0.001,4330,-17.285520845529984,,
181,136,81.47338414,26,44.55,4875,2.5772689195970693,0.001,4700,-18.85639488697052,,
,,,,,5000,3.154502726470431,0.001,4895,-19.422868808110554,98.6,212.85232658982278
177,140,89.94639790000001,29,48.15,5275,3.346220388858005,0.001,5094,-20.44582176208496,,
178,144,98.66777540000001,31,51.8,5680,3.0964143515801896,0.001,5501,-22.021005293902228,,
,,,,,6000,3.5309878119798466,0.001,5818,-23.275504571420175,106.9,249.34792160987854
175,148,108.33431985000001,34,55.66,6106,3.632721596845874,0.001,5926,-23.477629908808954,,
177,152,118.43608921,36,59.61,6541,4.194932271581178,0.001,6351,-25.24297336295799,,
177,156,127.70395604000001,39,63.19,6939,4.02685552999514,0.001,6794,-27.15451053272594,,
,,,,,7000,4.461612457814424,0.001,6863,-27.579816201153925,111.8,288.0011424303055
176,160,139.4550256,41,67.35,7395,5.374465293243151,0.001,7202,-28.980509344736735,,
177,164,152.38517219,44,71.91,7891,5.964857662978925,0.001,7682,-30.80335389522084,,
,,,,,8000,6.048111701370182,0.001,7815,-31.445297703598484,139.1,401.2580591380596
175,168,166.75619559999998,47,76.79,8419,8.167402866191434,0.001,8211,-33.18739997979367,,
176,172,181.47304447000002,50,81.78,8958,9.386200890923938,0.001,8749,-36.065384191625256,,
,,,,,9000,10.07868748858459,0.001,8882,-36.40340936006005,135.1,370.4184729993343
175,176,196.08312962000008,54,86.85,9505,10.161974077639373,0.001,9295,-38.248363550158516,,
,,,,,10000,9.232907502320561,0.001,9834,-39.98939718716387,134.9,379.44713252186773
174,180,210.91639852,57,91.87,10047,,,,,,
175,184,224.27000485000005,60,96.33,10581,9.465214933147868,0.001,10369,-42.07883095374474,,
,,,,,11000,9.723544836044312,0.001,10905,-44.382435943141125,134.0,371.53795604109763
174,188,237.56700968000004,63,100.79,11117,,,,,,
175,192,250.42825184999998,66,104.07,11650,9.059094726591182,0.001,11439,-46.135809696081914,,
,,,,,12000,11.136666230802183,0.001,11841,-47.760399946525915,133.4,364.07817628979683
173,196,261.48543879,70,107.66,12184,10.871956835931806,0.001,11975,-47.826140674192516,,
174,200,269.83559011,72,109.74,12720,13.188732957481442,0.001,12509,-49.345596718065664,,
,,,,,13000,10.351933207825153,0.001,12918,-51.25199088497438,136.4,380.7284315049648
173,204,277.5536708,76,111.57,13268,10.381446522824904,0.001,13054,-51.10125418270336,,
174,208,288.02342846,79,114.54,13815,9.493027027102483,0.001,13605,-53.33959678981615,,
,,,,,14000,10.406144106566016,0.001,13873,-53.71695339145945,135.9,372.01409526467324
173,212,296.82734693,82,116.83,14356,9.014638381534153,0.001,14143,-55.01213836669922,,
174,216,303.68395121,85,118.42,14898,12.071140158617938,0.001,14685,-56.22822923802618,,
,,,,,15000,10.760831542258716,0.001,14822,-56.62212200441222,136.0,376.5421730816364
