time/fps,time/episodes,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
3216,4,75,16.243347999999997,18.75,0,,,,,,
745,8,126,13.820448375,15.75,0,0.10671149702234702,0.001,22,-0.9480818013350168,,
328,12,242,26.487969833333338,20.166666666666668,0,0.0223960376937281,0.001,123,-1.745975288477811,,
266,16,329,29.47168275,20.5625,1,0.04888786206191236,0.001,212,-2.281653642654419,,
242,20,417,31.3288097,20.85,1,0.09619458392262459,0.001,299,-2.6413453102111815,,
227,24,489,25.90229675,20.375,2,0.11059463665717179,0.001,375,-2.8084811899397106,,
217,28,561,21.9876245,20.035714285714285,2,0.11493191785282558,0.001,447,-2.675682438744439,,
208,32,631,19.097596062500003,19.71875,3,0.1426069710184546,0.001,517,-2.881565123796463,,
203,36,703,16.835777611111112,19.52777777777778,3,0.190702796396282,0.001,589,-2.749663485421075,,
200,40,774,15.020545025,19.35,3,0.15837051894734888,0.001,660,-2.62745025422838,,
196,44,845,13.53149647727273,19.204545454545453,4,0.15571397356688976,0.001,731,-2.668812221950955,,
192,48,916,12.288090625,19.083333333333332,4,0.24172580242156982,0.001,802,-2.5570219887627497,,
192,52,988,11.229557557692306,19.0,5,0.2505093233452903,0.001,874,-2.494924624760946,,
,,1000,,,,0.1354828281328082,0.001,892,-2.4131435023413763,-1.3175757668912411,17.9
185,56,1059,10.331668500000001,18.910714285714285,5,0.2596419028499547,0.001,945,-2.470454230904579,,
183,60,1131,9.541013600000001,18.85,6,0.2987590150700675,0.001,1017,-2.2965565654966564,,
182,64,1202,8.85598071875,18.78125,6,0.2629990617142004,0.001,1088,-2.331118490960863,,
181,68,1272,8.265188235294119,18.705882352941178,7,0.30456549279830036,0.001,1159,-2.17501400411129,,
180,72,1344,7.722866694444444,18.666666666666668,7,0.28376047644350266,0.001,1230,-2.0268149508370294,,
179,76,1415,7.240020052631578,18.61842105263158,7,0.32938044973545605,0.001,1302,-2.031870034005907,,
178,80,1486,6.8109856,18.575,8,0.25148249086406493,0.001,1372,-1.618061688211229,,
177,84,1558,6.417688345238095,18.547619047619047,8,0.4182852560447322,0.001,1444,-1.8642679585350885,,
177,88,1648,7.220815375,18.727272727272727,9,0.39230262195425375,0.001,1525,-1.9242252366883414,,
180,92,1825,10.312757010869564,19.83695652173913,10,0.49561832276946405,0.001,1664,-2.6106106797854105,,
176,96,1918,11.591865833333335,19.979166666666668,10,0.8407122580842539,0.001,1800,-3.433810905976729,,
,,2000,,,,1.006941529966536,0.001,1887,-4.080798840522766,39.101403784751895,22.2
172,100,2005,12.65758051,20.05,11,,,,,,
173,104,2093,13.554415829999998,20.18,12,0.875683275901753,0.001,1976,-4.590381224950154,,
173,108,2181,14.649673899999998,20.55,12,1.1799367836543493,0.001,2062,-5.198821544647217,,
178,112,2476,18.061708929999998,22.34,13,1.241195762064308,0.001,2294,-6.2091945707798,,
177,116,2818,23.193574950000002,24.89,15,1.4880771103293398,0.001,2637,-7.778223370396813,,
,,3000,,,,1.60279987433127,0.001,2893,-8.697427885872978,165.99027078151704,85.3
167,120,3125,27.55718444,27.08,18,1.4941146430927654,0.001,2979,-9.284984278124432,,
169,124,3467,34.26811689,29.78,20,1.7433417581376576,0.001,3285,-10.695726780664353,,
168,128,3810,41.041741890000004,32.49,22,1.8081887069789844,0.001,3630,-12.009610111063177,,
,,4000,,,,1.710139482874762,0.001,3885,-12.975796591151845,167.90558084249497,85.9
164,132,4151,47.76889786999999,35.2,25,1.9001971122830412,0.001,3971,-13.455490090126215,,
165,136,4465,53.81530436999999,37.62,26,2.1009671950624105,0.001,4283,-14.747543607439313,,
167,140,4813,60.70274354,40.39,28,2.1825719143467386,0.001,4630,-15.826039682735097,,
,,5000,,,,3.0980359380659848,0.001,4886,-16.901935204215672,169.7328026652336,86.1
163,144,5069,65.67199461000001,42.24,30,,,,,,
163,148,5363,71.45130558000001,44.47,32,2.4156471587890804,0.001,5228,-17.885283181833667,,
163,152,5570,75.46992343,45.82,33,3.451601184739007,0.001,5438,-18.639741648798402,,
166,156,5915,82.44636748,48.56,35,2.94362110790165,0.001,5733,-19.75358169023381,,
,,6000,,,,3.2428457549838132,0.001,5819,-19.855913517087004,173.44665771722794,86.3
165,160,6260,89.33506455000001,51.29,37,3.3818371032559593,0.001,6078,-20.716874189155046,,
