time/total_timesteps,train/learning_rate,time/fps,train/n_updates,rollout/ep_rew_mean,train/critic_loss,rollout/ep_len_mean,train/actor_loss,time/time_elapsed,time/episodes,eval/mean_ep_length,eval/mean_reward
137,0.001,116,100,41.15944225,0.03847970600639071,34.25,-1.5400771796703339,1,4,,
165,0.001,127,128,23.6915035,0.0413404426404408,20.625,-1.6251343786716461,1,8,,
193,0.001,136,156,17.863011583333332,0.05326509741800172,16.083333333333332,-1.625611424446106,1,12,,
221,0.001,142,184,14.953556875,0.05109138361045292,13.8125,-1.665288120508194,1,16,,
249,0.001,147,212,13.194366800000001,0.045288720301219394,12.45,-1.7195418775081635,1,20,,
277,0.001,151,240,12.028820875,0.0341428355979068,11.541666666666666,-1.7575497329235077,1,24,,
305,0.001,154,268,11.198508999999998,0.026645329913922718,10.892857142857142,-1.7650983333587646,1,28,,
333,0.001,159,296,10.574411906249999,0.019377303309738636,10.40625,-1.7919833064079285,2,32,,
361,0.001,163,324,10.087096277777777,0.018047474590795382,10.027777777777779,-1.8374606370925903,2,36,,
389,0.001,167,352,9.69698825,0.007469790555270655,9.725,-1.8278257846832275,2,40,,
417,0.001,171,380,9.376722477272727,0.009696759017450469,9.477272727272727,-1.8834879100322723,2,44,,
445,0.001,174,408,9.109180854166667,0.009927342313208751,9.270833333333334,-1.8951724171638489,2,48,,
473,0.001,177,436,8.882192403846155,0.009345667037580694,9.096153846153847,-1.9529755115509033,2,52,,
501,0.001,179,464,8.691908696428571,0.012552218278869987,8.946428571428571,-1.8750276863574982,2,56,,
529,0.001,180,492,8.525414433333333,0.010680363081129534,8.816666666666666,-1.9600098133087158,2,60,,
557,0.001,182,520,8.379366671875001,0.014470693123127733,8.703125,-1.9716652035713196,3,64,,
585,0.001,184,548,8.251049338235294,0.010975764731743507,8.602941176470589,-1.9864006638526917,3,68,,
613,0.001,186,576,8.138250527777778,0.009460819020335163,8.51388888888889,-2.0861706137657166,3,72,,
641,0.001,187,604,8.035876605263159,0.018777751363813877,8.43421052631579,-2.0396588742733,3,76,,
669,0.001,189,632,7.9429961250000005,0.02009740791150502,8.3625,-2.0967401266098022,3,80,,
697,0.001,190,660,7.859814404761905,0.01174696215561458,8.297619047619047,-2.129004657268524,3,84,,
725,0.001,192,688,7.785994522727273,0.0063220471409814695,8.238636363636363,-2.108377069234848,3,88,,
753,0.001,193,716,7.718007793478262,0.017014186031052043,8.184782608695652,-2.127027750015259,3,92,,
781,0.001,194,744,7.654703604166666,0.011645412604723657,8.135416666666666,-2.283913016319275,4,96,,
809,0.001,194,772,7.5969525199999985,0.0165480579515653,8.09,-2.2431185245513916,4,100,,
837,0.001,195,800,6.19892863,0.013207614421844482,7.0,-2.311681568622589,4,104,,
865,0.001,196,828,6.19816758,0.007705984104956899,7.0,-2.2606070041656494,4,108,,
893,0.001,197,856,6.197880629999999,0.047576575273914,7.0,-2.2142438888549805,4,112,,
921,0.001,197,884,6.197187339999999,0.025679929314979484,7.0,-2.330367147922516,4,116,,
949,0.001,198,912,6.198449739999997,0.009827843534627132,7.0,-2.378654181957245,4,120,,
977,0.001,199,940,6.19777465,0.00734643531697137,7.0,-2.299231767654419,4,124,,
1000,0.001,,968,,0.007980126022760357,,-2.4388211369514465,,,7.0,6.214145922660828
1005,,196,,6.1983225,,7.0,,5,128,,
1033,0.001,196,996,6.19939292,0.00665893724986485,7.0,-2.508204698562622,5,132,,
1061,0.001,197,1024,6.199433859999999,0.0079320393103574,7.0,-2.4403575658798218,5,136,,
1096,0.001,198,1052,6.266535139999999,0.012456547601946763,7.07,-2.548021078109741,5,140,,
1129,0.001,198,1089,6.314088879999998,0.02480936364736408,7.12,-2.47746479511261,5,144,,
1331,0.001,221,1131,8.666607729999999,0.025057432047712307,8.86,-2.673497438430786,6,148,,
1848,0.001,207,1689,15.893486809999999,0.17283427886941954,13.75,-4.702987798055013,8,152,,
2000,0.001,,1943,,0.42042127800732854,,-5.532221040418071,,,126.3,183.39368431568147
