train/learning_rate,train/critic_loss,time/episodes,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/actor_loss,time/fps,eval/mean_ep_length,eval/mean_reward
0.001,0.241365936540422,4,21,58.25,71.18456175,233,0,-0.9840858340263366,345,,
0.001,0.10865530073372782,8,541,95.75,140.79911800000002,766,2,-3.074534343636554,262,,
0.001,0.23023717459011123,,808,,,1000,,-4.041662465280561,,134.8,214.26577909886836
0.001,0.3256243733275268,12,1106,113.41666666666667,166.73220408333333,1361,6,-4.934996457747471,217,,
0.001,0.5451241128921853,,1789,,,2000,,-6.746527527653893,,159.1,218.46151257157325
,,16,,127.5,183.10672325000002,2040,10,,196,,
0.001,0.6842401238568758,20,2448,135.6,192.42543285000002,2712,13,-8.517353465048116,201,,
0.001,0.7417515333138365,,2800,,,3000,,-9.524961895412869,,162.7,225.42270147800446
0.001,0.9955714200565844,24,3114,140.25,198.20780608333334,3366,17,-10.404753579033745,190,,
0.001,0.9669695155961173,,3814,,,4000,,-12.350135326385498,,162.5,224.99137530326843
,,28,,145.25,204.24641435714284,4067,21,,184,,
0.001,1.0789653597984996,32,4479,147.78125,207.0794515625,4729,25,-14.140147285899896,186,,
0.001,0.9959087978928319,,4793,,,5000,,-15.017510191186682,,160.1,220.7124079167843
0.001,1.1255361909667652,36,5118,149.77777777777777,209.9980445,5392,29,-15.737100657962618,182,,
0.001,1.0228308338653012,,5823,,,6000,,-17.405741847291285,,170.9,243.47103236317633
,,40,,151.875,214.184953425,6075,33,,179,,
0.001,1.4111832580396106,44,6210,144.22727272727272,202.11756318181816,6346,35,-18.459863874647354,177,,
0.001,1.033029059569041,48,6293,134.1875,186.98674279166667,6441,36,-18.45889609200614,178,,
0.001,1.4001105725765228,52,6407,125.40384615384616,173.80302300000005,6521,36,-18.811606407165527,178,,
0.001,1.29371873040994,56,6485,117.78571428571429,162.3105862142857,6596,36,-19.193897035386826,178,,
0.001,1.814919184554707,60,6661,113.25,153.70453271666668,6795,37,-19.13665632768111,179,,
0.001,1.5966050574412713,,6834,,,7000,,-19.713473950899566,,106.9,113.13745635151864
0.001,1.684544520757415,64,7050,113.375,154.16664953125002,7256,40,-20.16425756974654,180,,
0.001,2.0159766256809233,68,7196,107.29411764705883,145.60931404411764,7296,40,-20.798025131225586,178,,
0.001,2.1508012717733016,72,7380,106.98611111111111,145.32277380555556,7703,41,-20.820455013177334,184,,
0.001,2.459050894230604,,7812,,,8000,,-22.211931381225586,,168.8,295.99466900229453
0.001,2.5260873811492504,76,8160,111.3157894736842,154.2463965263158,8460,46,-23.15881295826124,181,,
0.001,3.4809336241086326,,8842,,,9000,,-25.190620498657225,,156.9,261.48084968328476
,,80,,113.575,159.6543257625,9086,50,,179,,
0.001,3.9373114558783446,,9699,,,10000,,-28.118419005654076,,253.3,371.73324460983275
,,84,,119.6547619047619,169.02666770238096,10051,57,,176,,
0.001,5.654654481782104,88,10519,123.10227272727273,175.30721765909092,10833,61,-30.541928633204048,177,,
0.001,5.692363677003459,,10742,,,11000,,-31.349423272269114,,237.0,352.69300162792206
0.001,5.850410412658345,92,11501,128.0108695652174,181.10210007608697,11777,67,-33.567783797082825,174,,
0.001,5.501080992737332,,11686,,,12000,,-34.09822394258232,,277.4,399.6371000111103
0.001,5.846096710441938,96,12477,133.375,189.33186703125003,12804,73,-35.9364560943803,174,,
0.001,6.7297676826937725,,12713,,,13000,,-36.51157893164683,,208.8,323.03318325281145
0.001,6.023565769861531,100,13283,135.55,193.88721053,13555,79,-38.03032992930895,169,,
0.001,7.8880997593119995,,13811,,,14000,,-39.25930643081665,,170.9,301.80965357422826
0.001,7.1249932982704856,104,13976,140.05,202.64164870000005,14238,86,-39.78751846681158,164,,
0.001,6.619532763957977,108,14688,142.06,206.39766490000002,14972,93,-41.436669866243996,160,,
0.001,6.904207841719988,,14881,,,15000,,-42.139386693636574,,177.9,300.5088786363602
0.001,8.179941358285792,112,15412,142.99,209.3711823,15660,101,-43.60346603393555,154,,
0.001,7.7208934738919455,,15861,,,16000,,-44.68679256170568,,151.5,259.98698192834854
0.001,7.127363384544076,116,16015,142.21,210.50320680000002,16261,107,-45.21986166223303,151,,
0.001,7.13472516552822,120,16610,140.27,209.43862015,16739,111,-46.610835874402845,150,,
0.001,7.222360070380899,,16792,,,17000,,-47.130795849694145,,143.0,256.2006804168224
0.001,8.762347784561989,124,17088,138.62,208.32493695000002,17228,114,-48.08344938816168,150,,
0.001,10.669573481768778,128,17489,136.69,205.90011273,17736,117,-48.89505600602659,150,,
0.001,7.382685726483663,,17795,,,18000,,-49.983069610595706,,142.3,233.7117669701576
0.001,8.719243086708916,132,18078,135.95,206.75875849000005,18324,123,-50.88700984506046,148,,
0.001,8.338431793782446,136,18696,135.31,207.7242755,18923,127,-52.55032353931003,148,,
0.001,7.412861461148543,,18832,,,19000,,-52.58782543855555,,142.4,248.60096989870073
0.001,9.343378323064723,140,19272,134.23,207.73733978,19498,132,-53.58668765215806,146,,
0.001,9.186847325581223,,19862,,,20000,,-54.88785182895945,,152.5,268.23222334384917
,,144,,137.59,215.17134453999998,20105,138,,145,,
0.001,8.255924428742507,148,20446,142.34,224.18732310000004,20675,142,-55.77827688765852,144,,
0.001,8.360585286067082,,20883,,,21000,,-56.65038040356758,,167.5,256.66212630569936
0.001,9.427436908630476,152,21102,147.85,234.03442682000002,21306,149,-56.851016998291016,142,,
0.001,7.170998445517725,156,21687,153.56,244.75157184000003,21952,153,-57.96058704542077,142,,
0.001,8.620248847994311,,21861,,,22000,,-58.520157912681846,,133.6,228.12255018353463
0.001,11.254434987476893,160,22272,157.13,252.95605527000004,22508,159,-59.036200768607,141,,
0.001,9.283275194364052,,22856,,,23000,,-59.39019200573229,,132.6,226.69328556656836
,,164,,158.07,256.05115594,23063,165,,139,,
0.001,8.654386224846045,168,23626,165.83,267.10063890000004,23879,170,-61.13227183024089,140,,
0.001,11.056286311443941,,23788,,,24000,,-61.48827823591821,,163.9,281.77063670158384
0.001,9.793046790657314,172,24245,167.77,271.91917422,24480,177,-62.37005173819406,138,,
0.001,10.00214222818613,,24767,,,25000,,-63.12217503786087,,177.5,304.4228220641613
,,176,,165.81,269.51933317000004,25041,183,,136,,
0.001,8.837101522066915,180,25358,166.49,270.54069065,25735,188,-64.1574689300967,136,,
0.001,9.50975138269445,,25830,,,26000,,-65.11781056722005,,154.3,267.4464457333088
0.001,11.461349878251923,184,26146,163.05,266.87830651,26356,193,-65.40728830408167,135,,
0.001,10.037596650220252,188,26676,160.76,264.40265079,26909,197,-66.16077258135822,136,,
0.001,7.4783725906425795,,26818,,,27000,,-66.51912119690802,,135.5,241.43362756967545
0.001,7.222072475577054,192,27247,156.92,262.04162215,27469,203,-66.85609221785036,135,,
0.001,9.770628793915705,196,27675,150.02,252.41942686000002,27806,206,-67.51449852559104,134,,
0.001,12.150108579202747,,27856,,,28000,,-67.87667325516821,,119.3,217.2094941020012
0.001,9.43361938706899,200,28099,147.86,249.85985518,28341,210,-68.60338592529297,134,,
0.001,8.755199885675324,,28793,,,29000,,-69.32673395091089,,159.9,296.10375903844835
,,204,,148.08,250.60805807,29046,217,,133,,
0.001,8.573746829562717,208,29451,147.33,249.70673012000003,29705,222,-70.59724175752099,133,,
0.001,9.1051694284968,,29877,,,30000,,-70.65620461156813,,122.6,220.11843219995498
0.001,9.342348280960952,212,30000,145.7,247.28051266,30230,227,-70.74473202613092,132,,
0.001,9.422187016123818,216,30492,144.24,245.31725692999996,30685,231,-72.00739603193979,132,,
0.001,8.77904227522553,,30835,,,31000,,-71.81622189381083,,123.2,213.12221059203148
0.001,10.188510331072548,220,30964,144.32,246.24030953000002,31171,236,-72.0856925377479,132,,
0.001,9.536936928586263,224,31465,144.38,247.35316607999997,31666,239,-73.08748889360271,132,,
0.001,11.61626193740151,,31821,,,32000,,-73.27117559259588,,111.0,200.70102795362473
0.001,8.157105358141774,228,31927,143.84,248.53488925,32120,244,-73.68054602281103,131,,
0.001,8.110424758911133,232,32411,142.97,247.80027673,32621,247,-73.82112343080583,131,,
0.001,9.490930866158527,,32821,,,33000,,-74.85769706859924,,138.6,248.04878400564195
0.001,10.329819535179961,236,32960,142.3,246.83229759000005,33153,252,-74.76917201450892,131,,
0.001,9.771632924946871,240,33410,141.23,245.20115318,33621,255,-74.95899852405896,131,,
0.001,11.868021100020606,,33770,,,34000,,-75.31101176777824,,151.3,255.837607139349
0.001,10.657936897745893,244,33933,140.37,243.66717888,34142,260,-75.70359237105758,130,,
0.001,10.065147730681273,248,34392,139.39,242.61147794000001,34614,263,-76.60361358097622,131,,
0.001,9.099440919290675,,34844,,,35000,,-77.42865842931411,,106.1,197.48455080389977
,,252,,137.36,240.08486114,35042,267,,130,,
0.001,10.790007552162546,256,35303,135.75,237.74870485000002,35527,271,-77.58382540843526,131,,
0.001,14.21487688373875,260,35773,134.64,236.46831064000003,35972,274,-78.818227594549,131,,
0.001,10.94658946107935,,35881,,,36000,,-79.07013645878544,,111.6,205.70269652009011
0.001,10.010657041759814,264,36260,134.11,236.08979911000003,36474,278,-78.88521343166545,130,,
0.001,14.185792723217526,268,36712,130.35,232.82636339000004,36914,281,-79.4335754939488,131,,
0.001,10.591003862587181,,36823,,,37000,,-79.66964222301137,,96.6,185.23318774700164
0.001,11.23509576239369,272,37210,129.68,232.02887436000003,37448,285,-79.94383803280917,131,,
0.001,10.976340677320342,276,37663,128.14,229.90112875,37855,288,-80.87282625834148,131,,
0.001,10.663350072063384,,37886,,,38000,,-80.74933211529842,,114.7,219.95214899778367
0.001,13.510194023078848,280,38108,126.04,227.52351463,38339,293,-82.02726152208116,130,,
0.001,11.24394182058481,284,38612,124.76,226.03140422,38832,296,-81.77273580763075,131,,
0.001,11.882324083477048,,38882,,,39000,,-81.94524190123651,,138.8,253.5955529630184
0.001,14.302594419183402,288,39137,123.75,223.89769174999998,39284,301,-81.93404730435076,130,,
0.001,10.908729105160154,292,39513,122.74,221.52267455999998,39743,304,-82.11804646459119,130,,
0.001,10.654345241311479,,39798,,,40000,,-83.22865326763832,,160.1,274.5575604438782
0.001,12.573349822227652,296,40289,127.3,228.61682086000002,40536,311,-83.3488235972286,130,,
0.001,10.942151644650627,,40772,,,41000,,-83.67912480738256,,154.6,261.25980659127237
0.001,10.304707412656985,300,40924,128.33,230.01255324,41174,317,-83.25147387855931,129,,
0.001,11.97209690729777,304,41620,128.3,229.48873344000003,41876,321,-83.96552775065105,130,,
0.001,8.692508304022192,,41908,,,42000,,-84.28164119105185,,145.0,254.96429072022437
0.001,13.368363358450274,308,42197,127.44,227.78879881,42449,326,-84.34889689854214,129,,
0.001,10.194897766520338,,42857,,,43000,,-85.22276231719226,,167.2,280.5292420208454
,,312,,128.77,229.72522958999997,43107,333,,129,,
0.001,10.667493928942765,316,43492,130.37,231.88589371999998,43722,337,-85.976112898006,129,,
0.001,11.328709767534843,,43784,,,44000,,-86.18106673599837,,221.8,322.7240366578102
0.001,9.339795755364044,320,44141,131.85,233.6034764,44356,343,-86.07773859360638,128,,
0.001,12.23139733547787,,44813,,,45000,,-86.67350791157156,,163.3,265.42741258740426
,,324,,133.73,234.30830378999997,45039,350,,128,,
0.001,11.314177922609836,328,45395,135.44,235.76833240000005,45664,354,-87.23876571655273,128,,
0.001,10.251442463958965,,45857,,,46000,,-87.41713591182933,,155.8,232.91292785406114
0.001,13.024416658613417,332,46019,136.17,235.07032243,46238,359,-87.98234435658397,128,,
0.001,11.483724871425764,336,46570,136.66,234.90901149,46819,363,-88.42438249185052,128,,
0.001,10.544225403921946,,46903,,,47000,,-88.86491367734712,,168.8,255.88836379647256
0.001,13.822938402215918,340,47243,138.51,236.77539706999997,47472,370,-89.54676528715751,128,,
0.001,15.55756058124517,,47743,,,48000,,-89.55039489746093,,216.5,328.9502936899662
0.001,13.71743762840345,344,47949,140.57,238.76802241000001,48199,377,-89.7789683666044,127,,
0.001,17.417219968711805,,48108,,,49000,,-89.47477293014526,,727.2,756.8673519968986
0.001,12.932177105530869,,49509,,,50000,,-90.82595334734235,,670.1,749.7246133029461
,,348,,159.86,257.06167547999996,50600,404,,125,,
0.001,13.643782253875289,,50681,,,51000,,-91.02077333317247,,1000.0,1049.2347254931926
0.001,16.714845858679876,352,51726,169.49,265.63541858,51991,429,-93.0731091706649,121,,
0.001,10.623513757497415,,51900,,,52000,,-92.7867053678666,,617.9,695.186688709259
0.001,14.362197483301163,,52900,,,53000,,-93.22356774902343,,379.9,466.4654597878456
0.001,14.845584371089934,,53319,,,54000,,-93.82344467163085,,144.7,210.20007029175758
,,356,,188.83,282.79514715,54410,453,,119,,
0.001,14.696189968892844,,54719,,,55000,,-94.66833971986676,,569.2,664.0381930053234
0.001,13.012547942002614,360,54959,192.91,287.54639507,55263,470,-95.08235944112143,117,,
0.001,17.76097752454695,,55172,,,56000,,-95.00719516076774,,508.3,606.7940572321415
0.001,14.593722899675369,,56172,,,57000,,-95.12709309387208,,1000.0,1058.1716949641705
0.001,13.919292186260224,,57172,,,58000,,-95.64219116210937,,640.1,717.1726858854294
0.001,14.130159132003785,364,58172,219.01,311.96419697,58375,516,-95.86695286560058,113,,
0.001,12.525268484334477,368,58639,219.38,312.58934115999995,58852,519,-96.45184688880795,113,,
0.001,15.100315380096436,,58891,,,59000,,-96.48268902118389,,122.6,229.90717737674714
0.001,10.296533276785665,372,59149,219.44,312.79666875000004,59392,523,-96.40484106718604,113,,
0.001,13.210674725922962,376,59736,221.43,315.46145288,59998,527,-96.92754119873047,113,,
0.001,13.173982589565522,,59907,,,60000,,-96.18006286621093,,139.0,235.92173350453376
0.001,16.733110086862432,380,60388,223.28,317.85241557999996,60667,533,-97.15843005513035,113,,
0.001,15.00708913295827,,60764,,,61000,,-97.10848195502099,,197.3,326.8837098777294
0.001,13.524631195031251,384,61220,226.65,322.19413841000005,61497,540,-97.44860727472823,113,,
0.001,14.418434167192096,,61907,,,62000,,-97.15170633225213,,161.1,285.58039860725404
,,388,,228.74,326.08650416000006,62158,547,,113,,
0.001,17.934855641545475,392,62498,229.88,328.72122337,62731,550,-98.09877230670001,113,,
0.001,13.875111103057861,,62785,,,63000,,-98.0724909040663,,128.3,230.39582988619804
0.001,9.481835963808257,396,63061,227.85,326.52229459,63321,555,-98.49265268113878,113,,
0.001,13.44826661810583,400,63662,227.16,325.72829856,63890,559,-98.76495784037822,114,,
0.001,13.088524839303789,,63799,,,64000,,-98.35670314115636,,168.7,318.60353900194167
0.001,14.630573349939265,404,64240,226.29,325.20044337,64505,565,-97.59939919055348,114,,
0.001,12.80832062328563,,64776,,,65000,,-98.29924962660846,,179.5,322.7539514839649
0.001,12.641885413063896,408,64983,228.03,328.9800922,65252,571,-98.13986650485437,114,,
0.001,15.302303441833047,412,65746,228.8,330.70489338,65987,576,-98.4559086519129,114,,
0.001,12.070468269983927,,65896,,,66000,,-98.3805229695638,,161.6,288.0817580878735
0.001,12.439878430217505,416,66410,229.4,332.17707223,66662,583,-98.32915314038594,114,,
0.001,10.734634374990696,,66776,,,67000,,-98.48765075091019,,183.9,330.2761520862579
0.001,12.583759888549524,420,67109,230.12,333.99298491,67368,589,-98.78293750904224,114,,
0.001,12.91792318855759,,67726,,,68000,,-99.11265252106381,,587.6,681.6456061661244
0.001,11.404956534862519,424,68726,239.28,344.58686758,68967,606,-99.270168258667,113,,
0.001,10.047329006195069,,68876,,,69000,,-99.07613271077474,,171.2,287.53446436524393
0.001,9.796112828935895,,69222,,,70000,,-99.72642638466574,,596.5,693.756198900938
