time/fps,rollout/ep_len_mean,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
3926,24.25,4,0,20.905364499999997,97,,,,,,
150,21.75,8,1,18.475599125,174,70,-0.9073394238948822,0.011403018475643225,0.001,,
156,16.833333333333332,12,1,14.385658666666666,202,98,-0.9899569600820541,0.0033711358638746397,0.001,,
161,14.375,16,1,12.338384625,230,126,-1.053385466337204,0.0017136583836483105,0.001,,
166,12.9,20,1,11.116499049999998,258,154,-1.118261605501175,0.0017198403698525258,0.001,,
170,11.916666666666666,24,1,10.297533041666666,286,182,-1.1309604048728943,0.002164427889510989,0.001,,
241,16.821428571428573,28,1,17.397922214285714,471,222,-1.3227975845336915,0.006193773673945351,0.001,,
,,,,,1000,849,-3.0228430032730103,0.07524032082754928,0.001,159.1,218.45005117654802
186,34.625,32,5,42.593770875000004,1108,,,,,,
191,47.44444444444444,36,8,61.03983261111111,1708,1464,-4.9213002586364745,0.2300842126707236,0.001,,
,,,,,2000,1755,-5.77703250779046,0.3061337588975827,0.001,152.3,211.5851909160614
170,55.0,40,12,72.367196775,2200,1991,-6.533124984839024,0.44526326675445604,0.001,,
178,62.81818181818182,44,15,83.8007191590909,2764,2524,-8.075931955028224,0.38040285646205857,0.001,,
,,,,,3000,2823,-8.829655048174736,0.41921700522876704,0.001,153.2,212.32547857761384
178,71.33333333333333,48,19,95.63225758333333,3424,3152,-9.662178715994191,0.41019084534152994,0.001,,
,,,,,4000,3802,-11.299867147131812,0.36225027956400707,0.001,145.3,198.0218894302845
175,77.78846153846153,52,23,104.72435784615385,4045,,,,,,
180,82.96428571428571,56,25,112.16630217857141,4646,4423,-12.849898362771059,0.5094701616437571,0.001,,
,,,,,5000,4845,-13.880255054783177,0.43047765027356627,0.001,153.9,212.9306732594967
179,88.01666666666667,60,29,119.25928773333332,5281,5017,-14.294053931568945,0.4458748189689115,0.001,,
182,92.328125,64,32,125.32244925,5909,5667,-15.992802582289043,0.4942150840437726,0.001,,
,,,,,6000,5812,-16.27636296781775,0.45677897077182245,0.001,159.8,219.40542741417886
179,96.72058823529412,68,36,131.35888447058824,6577,6316,-17.38542417832363,0.5246683768233897,0.001,,
,,,,,7000,6776,-18.315398020287084,0.49967367741568336,0.001,159.6,219.11805869340895
177,99.75,72,40,135.67445218055556,7182,6929,-18.67216961007369,0.49184034199886073,0.001,,
180,103.14473684210526,76,43,140.33687585526314,7839,7565,-19.837719842007285,0.48100951888592414,0.001,,
,,,,,8000,7742,-20.235350169492573,0.4617229813741425,0.001,159.8,219.4639698445797
178,105.95,80,47,144.25806889999998,8476,8232,-21.105494173835307,0.465782700734731,0.001,,
,,,,,9000,8819,-22.381095241492904,0.6135181357393732,0.001,134.6,190.3821423113346
176,107.66666666666667,84,51,146.9267182738095,9044,,,,,,
178,107.77272727272727,88,53,147.3081311931818,9484,9253,-23.26426128465302,1.0278551370808573,0.001,,
,,,,,10000,9769,-24.275000953674315,0.8560783333522229,0.001,127.0,180.87889034748076
177,108.72826086956522,92,56,148.97854499999997,10003,,,,,,
179,109.72916666666667,96,58,150.63426270833332,10534,10316,-25.158458951493383,0.7410310485684279,0.001,,
,,,,,11000,10830,-26.210467923072077,0.8734788674741022,0.001,124.3,179.84641264081
178,110.46,100,61,151.90389201999997,11046,,,,,,
180,114.74,104,64,158.57145377,11571,11326,-26.917785167694092,0.9649117356679571,0.001,,
,,,,,12000,11861,-28.121859963734945,0.9825870498152803,0.001,110.1,162.66142071485518
179,119.0,108,67,165.16444403000003,12074,,,,,,
180,122.67,112,69,170.85956387000004,12469,12278,-28.713334173526405,0.8370917627833924,0.001,,
181,126.52,116,71,176.82207734,12882,12669,-29.35018640194299,1.1896151318171313,0.001,,
,,,,,13000,12895,-29.579686043479224,1.0465404255823656,0.001,115.2,169.87535026669502
180,130.81,120,73,183.33051156999997,13339,13131,-29.957949774605886,1.0397300911801202,0.001,,
182,135.55,124,75,190.33665782,13841,13600,-30.811165205637614,1.1925925334294638,0.001,,
,,,,,14000,13870,-31.08112362452916,0.8180410060144606,0.001,106.9,163.09913991093634
180,138.3,128,79,194.9214254,14301,14089,-31.6233266529284,1.4219454469888106,0.001,,
181,136.58,132,81,193.53151535,14766,14545,-32.33999165621671,1.1049820683219216,0.001,,
,,,,,15000,14795,-32.911539864918545,1.2657654602376243,0.001,114.0,184.95225363373757
180,135.34,136,84,193.11355989,15242,15031,-34.19451635391986,1.3434602972425398,0.001,,
181,135.51,140,86,195.06858676000004,15751,15526,-35.685836511499744,2.498721946610345,0.001,,
,,,,,16000,15777,-36.40821825871702,2.053102760780148,0.001,153.6,225.88434215188028
181,135.92,144,90,196.35353181,16356,16072,-37.08950587681362,3.1539635211229324,0.001,,
182,135.44,148,93,196.51556813,16968,16729,-38.51570993446442,3.574655839782989,0.001,,
,,,,,17000,16871,-38.81981889966508,4.749179215078622,0.001,144.5,226.78609018921853
181,134.48,152,96,195.58220884,17493,17241,-39.919897927178276,5.076713516756341,0.001,,
181,132.68,156,98,193.05374122999999,17914,17765,-40.89489848961991,4.720675950609772,0.001,,
,,,,,18000,17868,-41.560109065129204,4.59114829231711,0.001,61.3,73.93756325691939
181,129.56,160,100,189.30240272000003,18237,18040,-41.75281613213675,7.903683558240667,0.001,,
181,127.05,164,102,186.31257306000003,18614,18461,-42.56971257527669,6.700219324562284,0.001,,
,,,,,19000,18797,-43.1007510039766,6.420910074931233,0.001,126.1,223.32530506253244
181,125.7,168,105,186.38084887999997,19147,18921,-43.55454881729618,7.047792514485698,0.001,,
,,,,,20000,19843,-45.71731683659681,7.04795645682017,0.001,130.5,173.55348341655917
