train/n_updates,train/actor_loss,rollout/ep_len_mean,time/episodes,time/time_elapsed,time/total_timesteps,time/fps,train/critic_loss,train/learning_rate,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
148,-1.4907392585599744,101.5,4,1,406,340,0.09981189907537899,0.001,129.420154,,
782,-3.3194818832935433,,,,1000,,0.09312475740145414,0.001,,160.1,219.6822902917862
,,130.5,8,7,1044,142,,,174.268140125,,
1388,-5.180336020886898,136.91666666666666,12,11,1643,145,0.27156190035748295,0.001,185.68858191666666,,
1863,-6.544709948044789,,,,2000,,0.3188930108627808,0.001,,152.8,211.8531164109707
2017,-6.980870079684567,139.3125,16,16,2229,131,0.4121419138867747,0.001,190.4863704375,,
2258,-7.927068630854289,118.4,20,18,2368,128,0.603710188107057,0.001,161.98238120000002,,
2298,-8.076672172546386,106.58333333333333,24,18,2558,135,0.5984077289700508,0.001,145.477817875,,
2495,-8.471215883890787,93.10714285714286,28,20,2607,130,0.8520070761442184,0.001,126.54064132142857,,
2802,-9.272934104457047,,,,3000,,0.6417720840518711,0.001,,126.1,183.41272755265237
,,94.625,32,23,3028,128,,,129.3632259375,,
3307,-10.84555396437645,98.05555555555556,36,26,3530,131,0.6601980073610321,0.001,135.33466916666669,,
3806,-12.324060675026715,,,,4000,,0.5535870704011325,0.001,,119.0,175.53017700910567
,,100.525,40,31,4021,128,,,139.813766875,,
4325,-13.723605714193205,103.45454545454545,44,34,4552,130,0.49535439009919313,0.001,144.44068075,,
4820,-14.89061450958252,,,,5000,,0.4246619906505393,0.001,,158.0,217.5851325213909
4981,-15.264451026916504,109.08333333333333,48,40,5236,128,0.3840336407656255,0.001,151.6979070625,,
5621,-16.804729306420615,112.82692307692308,52,45,5867,130,0.35716922141913043,0.001,156.71851017307694,,
5768,-17.238509539011364,,,,6000,,0.3592822192883005,0.001,,81.7,120.607412225008
6127,-18.049467741553464,113.28571428571429,56,49,6344,128,0.5250037749534222,0.001,157.94088644642858,,
6734,-19.2833721289474,116.43333333333334,60,53,6986,131,0.5167802320270056,0.001,165.4356985666667,,
6887,-19.747864371851872,,,,7000,,0.4314673333580977,0.001,,145.9,228.61448981165887
7354,-20.882549210598594,118.75,64,59,7600,128,0.5197190594320235,0.001,170.219939203125,,
7703,-21.65754812057704,117.32352941176471,68,61,7978,129,0.8887263722207448,0.001,169.35661502941176,,
7879,-21.99518218907443,,,,8000,,0.6661090457981284,0.001,,141.5,264.89452375769616
8088,-22.771467208862305,113.84722222222223,72,65,8197,125,0.6622380862633387,0.001,165.09483309722222,,
8301,-23.121320030905984,110.80263157894737,76,66,8421,125,1.1345936733743418,0.001,161.05570890789474,,
8382,-23.483083724975586,106.3375,80,67,8507,126,2.627191036939621,0.001,154.0804028875,,
8527,-23.324261872664742,104.36904761904762,84,68,8767,128,2.4162133750708206,0.001,150.60055519047617,,
8820,-24.074895356830798,,,,9000,,2.1443579583183716,0.001,,194.4,365.09816097021104
9230,-25.10187163719764,108.18181818181819,88,75,9520,126,2.6944767212234257,0.001,158.91990186363637,,
9782,-26.60822549757067,,,,10000,,2.3946603311030246,0.001,,166.7,333.4240971148014
9947,-26.982676459521784,111.07608695652173,92,82,10219,124,3.0478937443458674,0.001,166.93114926086957,,
10584,-28.728924625798275,113.21875,96,86,10869,125,3.868060279760929,0.001,173.4026236458333,,
10770,-29.107228453441333,,,,11000,,4.150962564893948,0.001,,188.5,362.31870856285093
11304,-30.804530318065357,115.89,100,93,11589,124,3.8663316651057174,0.001,179.90127847,,
11876,-32.265186966106455,,,,12000,,5.22120748059724,0.001,,173.8,342.2032279253006
12057,-32.82522782219781,119.44,104,99,12350,123,4.773249125612375,0.001,189.29433093999995,,
12700,-34.95382063729422,119.4,108,103,12984,124,6.345730023418399,0.001,193.36066893,,
12885,-35.37920334028161,,,,13000,,6.2197794089446194,0.001,,144.5,302.06267246007917
13347,-36.812569325764976,119.45,112,109,13588,123,6.8404555147057335,0.001,197.51927103000003,,
13815,-38.18601580700243,,,,14000,,7.201048107750444,0.001,,169.7,333.42592920660974
13983,-38.59976895650228,118.83,116,115,14112,122,8.199708783910388,0.001,199.62025451999997,,
14334,-39.659930298293844,121.83,120,118,14551,123,6.8336398091869075,0.001,206.81682846,,
14846,-41.195294427090005,,,,15000,,8.100079610699513,0.001,,122.7,265.3612261533737
,,125.15,124,122,15073,122,,,215.50614139,,
15376,-42.76817411534927,130.05,128,126,15612,123,8.091801655643126,0.001,226.44601927,,
15791,-44.38089269750259,129.27,132,128,15955,123,9.363026644872582,0.001,225.77714085000002,,
15856,-44.749788573293976,,,,16000,,7.4095492674754215,0.001,,127.8,271.9162437796593
16204,-45.57343141087946,128.49,136,132,16379,123,11.956252962913153,0.001,225.62792806,,
16526,-46.37321931665594,126.92,140,134,16713,123,12.656488047249015,0.001,222.73417338000002,,
16849,-47.762893199920654,,,,17000,,15.983339487891836,0.001,,141.4,271.84695116877555
16995,-47.9914102423681,126.54,144,139,17206,123,12.621878836252918,0.001,223.91374864999997,,
17414,-49.18478482834836,123.63,148,142,17599,123,13.085438818373579,0.001,220.40939193000003,,
17775,-50.395764253577404,120.92,152,144,17959,124,13.816503901870883,0.001,215.96679808999994,,
17860,-50.484965390937276,,,,18000,,16.16342729400186,0.001,,66.6,67.95548688769341
18092,-50.56157793317522,119.27,156,147,18271,123,16.019217481215794,0.001,212.46977140999996,,
18421,-52.196759248391174,116.62,160,149,18648,124,15.218591680893532,0.001,206.43040283,,
18730,-53.18822352091471,113.1,164,151,18910,124,13.795371784354156,0.001,199.42341065,,
18890,-53.11018371582031,,,,19000,,19.30634891232358,0.001,,158.9,310.7678375661373
19148,-53.70958849848533,113.68,168,156,19346,124,18.1974141208493,0.001,199.95460694999994,,
19574,-54.81975780549597,115.8,172,158,19777,124,18.68134746866778,0.001,202.77188655999998,,
19899,-55.682549114885,,,,20000,,18.29138915355389,0.001,,118.4,228.90086899399756
20018,-55.84812927246094,118.3,176,162,20251,124,18.231921450430605,0.001,208.1602678200001,,
20561,-56.74601196520256,122.96,180,166,20803,124,23.31583205560096,0.001,218.77168412000003,,
20846,-57.45537223278637,,,,21000,,17.59639030443111,0.001,,140.5,313.34794945716857
21144,-58.391568998011145,125.84,184,171,21351,124,23.436083792186366,0.001,226.21156701999996,,
21705,-60.073618858091294,124.23,188,175,21943,124,20.22676912689209,0.001,224.73551317999997,,
21844,-59.99728033883231,,,,22000,,19.546201030127435,0.001,,143.6,300.83949489593505
22284,-61.21364369392395,123.25,192,180,22544,124,22.047241325676442,0.001,222.91862592,,
22862,-63.060727964128766,,,,23000,,21.838637026718686,0.001,,172.0,337.648008286953
,,122.69,196,186,23138,124,,,222.15154604000003,,
23437,-64.53791071573893,120.99,200,190,23688,124,21.496069791581895,0.001,219.40518558,,
23759,-64.87088744219612,,,,24000,,25.128858304023744,0.001,,175.2,342.82600127458574
24105,-66.17736315727234,120.21,204,196,24371,124,29.521740409731866,0.001,218.22729456000005,,
24812,-68.14790074721627,,,,25000,,23.987341987050097,0.001,,174.0,338.1103338599205
,,120.9,208,203,25074,123,,,219.00446491,,
25493,-70.31371324140947,121.8,212,207,25768,124,25.635460823611485,0.001,219.67671253999998,,
25851,-71.32982258220295,,,,26000,,31.92299194912334,0.001,,170.8,337.00601746439935
