time/fps,time/time_elapsed,train/n_updates,train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/learning_rate,eval/mean_reward,eval/mean_ep_length
84,1,83,-1.3595588207244873,29.25,0.032059259180511744,117,4,33.50756975,0.001,,
93,1,111,-1.3219594955444336,18.125,0.016112818914864744,145,8,18.629337,0.001,,
101,1,139,-1.2938403685887654,14.416666666666666,0.01603009644895792,173,12,13.636022833333334,0.001,,
107,1,167,-1.281222979227702,12.5625,0.01734536207680191,201,16,11.1166780625,0.001,,
113,2,195,-1.2902758518854778,11.45,0.014447308810693877,229,20,9.609382299999998,0.001,,
117,2,223,-1.2349964380264282,10.708333333333334,0.013576758825885398,257,24,8.603064458333334,0.001,,
120,2,251,-1.3437794049580891,10.178571428571429,0.013392488871301924,285,28,7.8958390000000005,0.001,,
125,2,279,-1.2504743337631226,9.78125,0.012929985166660376,313,32,7.37248959375,0.001,,
128,2,307,-1.2952587604522705,9.472222222222221,0.015696908147739514,341,36,6.949650972222222,0.001,,
132,2,335,-1.226301113764445,9.225,0.019380779205156223,369,40,6.617612675000001,0.001,,
140,2,374,-1.395593033896552,9.522727272727273,0.027484889866577253,419,44,6.1262180909090915,0.001,,
147,3,446,-1.291439453760783,10.229166666666666,0.02590364993860324,491,48,5.473205041666667,0.001,,
189,3,518,-1.3585231701533,14.076923076923077,0.00813249139011734,732,52,7.988381384615385,0.001,,
163,4,770,-2.0416738986968994,14.625,0.17029021893228805,819,56,10.168593892857144,0.001,,
166,5,857,-2.591565804048018,15.1,0.32629096355627885,906,60,12.044431883333333,0.001,,
169,5,945,-2.890860232439908,15.53125,0.37822801213372836,994,64,13.710316109375,0.001,,
,,967,-3.16222281889482,,0.4152864573354071,1000,,,0.001,38.89435044527054,22.1
167,6,1058,-3.7241008381048837,16.073529411764707,0.4978311083589991,1093,68,15.436658117647061,0.001,,
168,6,1088,-3.9175445437431335,15.583333333333334,0.6751806735992432,1122,72,14.927798805555556,0.001,,
168,6,1116,-3.7448464035987854,15.131578947368421,0.4191214974437441,1150,76,14.452988131578946,0.001,,
169,6,1148,-3.9282034635543823,14.775,0.5220251902937889,1182,80,14.10529765,0.001,,
170,7,1182,-3.8226481914520263,14.5,0.3287748085955779,1218,84,13.860678952380951,0.001,,
171,7,1221,-3.8014122009277345,14.295454545454545,0.43325217962265017,1258,88,13.720583840909088,0.001,,
171,7,1260,-3.886977958679199,14.08695652173913,0.5112180054187775,1296,92,13.559037739130432,0.001,,
172,7,1298,-4.376736354827881,13.916666666666666,0.4233230285346508,1336,96,13.442380604166667,0.001,,
174,7,1340,-4.307900428771973,13.87,0.4035615054043857,1387,100,13.560609029999998,0.001,,
181,8,1460,-4.761605545326516,14.33,0.5668010846884163,1550,104,15.040695399999997,0.001,,
182,9,1666,-5.649231243133545,15.75,0.6729629079500834,1720,108,18.08918152,0.001,,
184,9,1765,-6.146463504204383,16.4,0.6308472007513046,1813,112,19.58978723,0.001,,
191,10,1865,-6.437686189015706,17.76,0.972918693096407,1977,116,22.463537509999995,0.001,,
,,1950,-6.638230523397756,,0.9126510332612431,2000,,,0.001,152.61791231632233,79.1
188,12,2206,-7.88093623449636,20.87,1.3623893558979034,2316,120,28.822235100000004,0.001,,
190,13,2540,-9.448084694998604,23.95,1.5220071802656334,2652,124,35.13144886,0.001,,
191,15,2869,-10.735056189603585,26.97,1.4375798178966654,2982,128,41.23670442,0.001,,
,,2955,-11.103665329689203,,1.8945237567951514,3000,,,0.001,162.32119183540345,84.5
185,17,3202,-12.251691954476494,29.96,1.9833902170260747,3309,132,47.2560887,0.001,,
185,19,3515,-13.42629806995392,32.71,1.9883693102747202,3612,136,52.674195950000005,0.001,,
187,20,3812,-14.540782323697718,35.52,2.550023767683241,3921,140,58.253985549999996,0.001,,
,,3967,-15.143372694651285,,2.7394558354599834,4000,,,0.001,127.11272801160813,71.1
184,22,4119,-15.64724884963617,38.01,2.1672261440899314,4220,144,63.65767378,0.001,,
183,24,4446,-16.755661897881087,40.18,2.786717485549838,4509,148,69.08853387,0.001,,
184,25,4701,-17.875852006854434,40.4,2.3087088971426994,4772,152,72.33190152,0.001,,
,,4952,-18.64636812210083,,3.190372393280268,5000,,,0.001,153.75194862484932,81.8
183,27,,,42.42,,5061,156,76.12238701999999,,,
184,29,5284,-19.692171939583712,44.91,3.2094872727113612,5397,160,80.92255834000001,0.001,,
184,31,5626,-20.58673806623979,47.42,2.990250039374691,5736,164,85.80955549000001,0.001,,
,,5963,-21.616047859191895,,3.642334379869349,6000,,,0.001,162.93452222347258,84.8
183,33,,,49.83,,6076,168,90.56825533,,,
184,34,6306,-22.69063457222872,52.97,3.3529401227485303,6419,172,96.94069774999998,0.001,,
183,36,6647,-24.09927949451265,55.49,3.1103816249791314,6699,176,102.03531638999999,0.001,,
185,37,6799,-24.853094024658205,56.98,4.3264826419306734,6880,180,105.08672404999999,0.001,,
,,6932,-25.052495527267457,,5.093445483642288,7000,,,0.001,148.9450635075569,78.4
183,39,7096,-25.425069631532182,59.94,4.683433152908503,7212,184,111.40906842999999,0.001,,
,,7971,-29.244116056533088,,6.53030927882475,8000,,,0.001,163.3924896121025,83.6
184,44,8057,-29.440786272980446,69.16,6.237716181333675,8174,188,124.18730812000001,0.001,,
184,46,8412,-31.383555257043174,71.99,6.460977273828843,8495,192,130.13221214,0.001,,
185,47,8671,-32.63571829795838,74.09,8.036681923270226,8745,196,134.48417796,0.001,,
186,48,8883,-34.17694074457342,76.01,7.077112971411811,8988,200,138.44507385,0.001,,
,,8961,-34.7695255279541,,8.109319145862873,9000,,,0.001,144.2880421578884,75.2
185,50,9187,-35.76989323384053,77.53,9.79479437192281,9303,204,141.71973746,0.001,,
186,51,9541,-38.41543397036466,79.37,13.992298879406668,9657,208,145.58904685,0.001,,
