rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
26.0,3479,0,104,4,17.67479525,,,,,,
17.5,473,0,140,8,9.146378499999999,55,-0.4334065243601799,0.023812573817041185,0.001,,
15.0,376,0,180,12,7.862146333333333,94,-0.5970073223114014,0.01686560660600662,0.001,,
13.75,330,0,220,16,7.2508871875,134,-0.6522996068000794,0.015804228326305746,0.001,,
13.0,305,0,260,20,6.884070799999999,174,-0.7611273407936097,0.013707310333848,0.001,,
12.5,285,1,300,24,6.641378458333333,214,-0.8684047102928162,0.013917671283707023,0.001,,
12.142857142857142,273,1,340,28,6.4663061428571424,254,-0.8390899538993836,0.017813706956803798,0.001,,
11.875,265,1,380,32,6.3336635,294,-0.8937521815299988,0.012552274391055107,0.001,,
11.666666666666666,259,1,420,36,6.229750694444444,334,-0.9620200634002686,0.011030659871175885,0.001,,
11.5,252,1,460,40,6.147712725,374,-0.9596800804138184,0.015227458160370588,0.001,,
11.363636363636363,247,2,500,44,6.079630863636364,414,-0.9654156923294067,0.014994034357368947,0.001,,
11.25,244,2,540,48,6.024135333333334,454,-1.05355064868927,0.014180790074169636,0.001,,
11.153846153846153,242,2,580,52,5.976576307692308,494,-1.0393214225769043,0.009512430196627975,0.001,,
11.071428571428571,240,2,620,56,5.935351196428571,534,-1.0950379252433777,0.0073705201502889395,0.001,,
11.0,238,2,660,60,5.899248683333332,574,-1.1191016912460328,0.013968841591849922,0.001,,
10.9375,236,2,700,64,5.869013921875,614,-1.2173965215682983,0.00690273279324174,0.001,,
10.882352941176471,235,3,740,68,5.8436900147058815,654,-1.185250997543335,0.010721915145404637,0.001,,
10.833333333333334,234,3,780,72,5.820574958333334,694,-1.1333324670791627,0.01070534884929657,0.001,,
10.789473684210526,233,3,820,76,5.7997132763157895,734,-1.2422497987747192,0.012060506828129291,0.001,,
10.75,231,3,860,80,5.784261262500001,774,-1.2425561428070069,0.011257572704926134,0.001,,
11.285714285714286,232,4,948,84,7.358725202380954,850,-2.1705850037661465,0.079382437704639,0.001,,
,,,1000,,,917,-2.3330291618000376,0.16266088881953197,0.001,46.62414175271988,27.7
12.045454545454545,223,4,1060,88,8.567729295454546,945,-2.570152163505554,0.17796182233308042,0.001,,
14.717391304347826,218,6,1354,92,12.463536358695654,1250,-3.5759290998632256,0.23816355470229278,0.001,,
14.395833333333334,214,6,1382,96,12.189483052083332,1299,-3.918654282887777,0.2645233614104135,0.001,,
15.05,224,6,1505,100,13.833300229999997,1345,-4.108905613422394,0.3496411392092705,0.001,,
16.85,218,8,1789,104,18.59066006,1664,-5.370243582614632,0.42346715095431303,0.001,,
,,,2000,,,1875,-6.183540802735549,0.4315979407643372,0.001,95.32521881461143,51.5
18.62,209,9,2002,108,22.543253930000002,,,,,,
20.43,209,10,2223,112,26.435013350000006,2087,-7.061209449061641,0.4002863366018843,0.001,,
22.68,210,11,2488,116,31.13967621,2340,-8.082585280282157,0.5735509683904441,0.001,,
25.44,211,13,2804,120,37.14653171,2648,-9.3359672965073,0.8526840368058624,0.001,,
,,,3000,,,2897,-10.426832036274236,1.1630826020022718,0.001,155.81745792031288,79.2
28.32,204,15,3132,124,43.40310033000001,2970,-10.749554711419183,1.1729853757440227,0.001,,
31.22,204,16,3462,128,49.74158208,3310,-12.07440329706946,1.6722902548174525,0.001,,
33.73,205,18,3753,132,55.04594396,3591,-13.140853274952281,1.8300807218660007,0.001,,
,,,4000,,,3885,-14.372536803736832,2.2833957929502833,0.001,159.92085359096527,80.7
36.26,199,20,4046,136,60.431617720000006,,,,,,
38.52,199,21,4312,140,65.10851432999999,4172,-15.43638698032924,2.8664827549803085,0.001,,
41.06,200,22,4606,144,70.58070572,4469,-16.502770991552445,2.2992060230058784,0.001,,
43.68,202,24,4908,148,76.21837194999999,4746,-17.66453626078944,2.4808657638362197,0.001,,
,,,5000,,,4901,-17.96098451053395,3.656624832878942,0.001,168.83998115062712,85.7
46.38,199,26,5218,152,81.98741343999998,5057,-18.58831400190081,3.2834769240447454,0.001,,
49.32,200,27,5552,156,88.36003249999997,5391,-19.65809608641125,3.728353064200457,0.001,,
52.36,200,29,5896,160,95.01877121,5734,-20.87710109976835,3.6167204109735267,0.001,,
,,,6000,,,5906,-21.36803112473599,4.131586511467779,0.001,169.0539934337139,85.9
55.41,198,31,6241,164,101.55939717,6078,-22.035693862221457,3.894281374997106,0.001,,
58.47,198,33,6587,168,108.22122886999999,6424,-23.061105381358754,3.6477712968300127,0.001,,
61.55,198,34,6935,172,114.90215619,6772,-24.43483131582087,4.263172153768869,0.001,,
,,,7000,,,6859,-24.515443225239597,4.080752291898618,0.001,170.29497310519218,86.1
64.59,196,37,7279,176,121.40830289000002,7117,-25.232075713401617,4.137293489866479,0.001,,
67.6,197,38,7620,180,127.85451542999999,7459,-26.38503819420224,3.757025224321029,0.001,,
70.14,198,40,7962,184,133.04864016,7799,-27.514690887096318,3.85014654869257,0.001,,
,,,8000,,,7886,-27.64158535003662,4.451061974996808,0.001,168.94041393399237,86.0
72.45,196,42,8305,188,138.39542806999998,8143,-28.331286896106807,3.8812784594158796,0.001,,
72.95,197,43,8649,192,141.18043195,8487,-29.566871007283527,4.0035728328368245,0.001,,
76.08,197,45,8990,196,147.54629622000002,8829,-30.382790747142973,4.313605261700494,0.001,,
,,,9000,,,8914,-30.661278613778048,4.288962681153241,0.001,166.05703455209732,85.2
78.26,196,47,9331,200,152.12378907999997,9169,-30.929826827276322,4.689185564658221,0.001,,
78.85,196,49,9674,204,153.32461841,9514,-32.154884870662244,4.209711383941562,0.001,,
,,,10000,,,9852,-32.867779266002564,4.616892039074617,0.001,168.9134488940239,85.8
80.12,194,51,10014,208,155.98439575000003,,,,,,
82.51,197,53,10474,212,160.15579646,10196,-33.419611553813134,3.8616201822147813,0.001,,
80.76,194,54,10564,216,156.30202034,10451,-33.56398344039917,12.285568153156953,0.001,,
81.03,195,55,10907,220,156.7634505,10747,-34.93542604668196,6.255314536478328,0.001,,
,,,11000,,,10918,-35.12868395718661,5.714196809406938,0.001,168.07946944236755,85.9
81.23,194,57,11255,224,157.10559648999998,11092,-35.87915732643821,5.325271661254181,0.001,,
81.32,194,59,11594,228,157.12636749,11433,-36.33300590515137,5.472267392135802,0.001,,
81.82,195,61,11935,232,158.21792428999998,11773,-36.915880839029946,6.41078979344595,0.001,,
,,,12000,,,11859,-37.14110254686932,5.551089121851811,0.001,167.26895761489868,86.0
82.25,193,63,12271,236,159.11286843999997,12111,-37.366248061017295,5.545349802912735,0.001,,
83.05,193,65,12617,240,160.95206026000002,12454,-38.243825247121414,4.436639383259942,0.001,,
83.56,193,66,12962,244,161.95038562,12798,-38.79796715669854,4.47083554688622,0.001,,
,,,13000,,,12886,-38.84178898551247,6.2418446215716274,0.001,166.67223030924796,85.9
83.98,192,69,13306,248,162.77686682999996,13145,-39.026896650140934,5.2675829909064555,0.001,,
84.35,192,70,13653,252,163.58074950999998,13489,-39.83147696561591,5.959010795615185,0.001,,
,,,14000,,,13838,-39.873269687999375,5.229666209768975,0.001,169.30867372155188,86.6
84.49,191,73,14001,256,163.81434982,,,,,,
84.5,192,74,14346,260,163.68076676,14184,-40.63697451636905,4.46634132172688,0.001,,
84.44,192,76,14685,264,163.58326203000001,14521,-41.17990811665853,7.072407826071694,0.001,,
,,,15000,,,14891,-41.31036807329227,5.707417559929383,0.001,156.2619282901287,78.5
84.59,191,78,15046,268,163.82831388,,,,,,
84.27,191,80,15362,272,163.22033907000002,15207,-41.909510001158104,7.227730233458024,0.001,,
83.95,192,81,15674,276,162.62216411,15520,-41.96242024348332,4.549933311266777,0.001,,
,,,16000,,,15843,-42.949779882663634,3.7036859029676856,0.001,197.9471340894699,90.9
83.9,191,83,16010,280,162.8576599,,,,,,
83.91,191,85,16353,284,163.25655847,16189,-43.33218719845726,6.408466361550724,0.001,,
85.01,192,87,16806,288,165.79695477999996,16619,-44.14163166543712,4.943456115261201,0.001,,
,,,17000,,,16830,-44.51083198547363,7.0898893404006955,0.001,255.87573407888414,136.2
86.52,190,90,17301,292,168.75888846,17137,-44.72250865055965,4.99751972922912,0.001,,
88.52,191,92,17842,296,172.37417076000003,17592,-45.11425887213813,6.135694914764458,0.001,,
,,,18000,,,17923,-45.64629579201723,5.71610195090057,0.001,288.964608502388,168.2
90.73,189,97,18404,300,175.82228809999998,18239,-46.08874958439877,5.935403104675443,0.001,,
91.62,189,99,18836,304,177.42795719000003,18672,-46.59795820448134,6.536734002359798,0.001,,
,,,19000,,,18852,-46.98508461661961,5.397120097409124,0.001,188.75373224020004,95.0
92.56,189,101,19270,308,179.31340756000006,19102,-47.21054258800688,6.192780856575284,0.001,,
91.7,189,103,19644,312,178.93122527000003,19474,-47.234157805747174,7.017018247157969,0.001,,
,,,20000,,,19849,-48.19953893578571,5.715368760529385,0.001,199.6311986207962,93.6
94.55,188,106,20019,316,185.70646756999994,,,,,,
94.95,188,107,20402,320,187.14868244000002,20230,-48.07504544939314,4.606514107320726,0.001,,
95.38,189,109,20793,324,188.91004834999995,20618,-48.340779207190685,6.127084734513588,0.001,,
,,,21000,,,20911,-48.33891034126282,5.079265510913023,0.001,216.98658539056777,99.5
95.96,188,112,21190,328,191.04214412999994,21011,-49.13831871032715,6.472294661998749,0.001,,
96.45,188,114,21580,332,192.64623296000005,21408,-48.634222666422524,5.482564303749486,0.001,,
97.13,189,116,21984,336,195.1287448500001,21804,-48.83396713256836,6.735144612789154,0.001,,
,,,22000,,,21908,-48.87429053966816,7.381617485330655,0.001,213.90948211550713,98.4
97.76,188,118,22393,340,197.50559800000002,22213,-49.81715261019193,6.166664774601276,0.001,,
98.7,189,120,22832,344,201.39602047999998,22640,-49.528907775878906,6.366510274275294,0.001,,
