train/learning_rate,train/actor_loss,time/total_timesteps,train/n_updates,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/fps,eval/mean_ep_length,eval/mean_reward
0.001,-0.1572727994993329,132,20,4,7.97079625,0,0.3968782678246498,33.0,409,,
0.001,0.14442657434654607,405,248,8,-10.32952425,1,0.03552601404268952,50.625,239,,
0.001,0.15797201515824505,672,517,12,-9.647945083333333,3,0.028608909821999606,56.0,211,,
0.001,0.22561292309370456,940,785,16,-9.1840476875,4,0.031791828239142006,58.75,201,,
0.001,0.20403095983954914,1000,852,,,,0.019426913598357742,,,66.7,-8.480355585918005
0.001,0.2585916452561364,1207,1053,20,-9.01004205,6,0.0507070662509372,60.35,181,,
0.001,0.3910677062676233,1475,1320,24,-8.885522458333334,8,0.04192994915838562,61.458333333333336,179,,
0.001,0.42050475714837804,1742,1588,28,-8.757596714285715,9,0.04894588516552502,62.214285714285715,177,,
0.001,0.5873724515690948,2000,1855,,,,0.04606881062152671,,,66.7,-8.48070913365009
,,2010,,32,-8.71717790625,11,,62.8125,168,,
0.001,0.7382650993990175,2278,2123,36,-8.67708338888889,13,0.046550186670649404,63.27777777777778,168,,
0.001,0.9115085087039254,2546,2391,40,-8.6917341,15,0.05029268732377842,63.65,169,,
0.001,1.050239341728615,2814,2659,44,-8.647680068181819,16,0.055351657014506964,63.95454545454545,170,,
0.001,1.1497571468353271,3000,2860,,,,0.04399858751514955,,,66.7,-8.480780049749228
0.001,1.0874421474608509,3081,2926,48,-8.577651770833334,18,0.045732992334347786,64.1875,166,,
0.001,1.3165282677201664,3349,3194,52,-8.559135673076925,20,0.045801959528740666,64.40384615384616,162,,
0.001,1.4584443323752458,3617,3462,56,-8.517523392857143,22,0.041510145124326,64.58928571428571,163,,
0.001,1.5383331074434168,3885,3730,60,-8.551008266666667,23,0.04131285643288449,64.75,164,,
0.001,1.6714961774208967,4000,3864,,,,0.04145251837239337,,,66.7,-8.480797115755195
0.001,1.6994100668851067,4153,3998,64,-8.551953515625,25,0.045468448980975504,64.890625,162,,
0.001,1.9003069762027625,4419,4265,68,-8.504019779411763,26,0.0492980805310336,64.98529411764706,163,,
0.001,2.0032014811740204,4687,4532,72,-8.497793111111111,28,0.05246034903980013,65.09722222222223,164,,
0.001,2.19626747860628,4954,4800,76,-8.517293157894734,29,0.0393915718504742,65.1842105263158,165,,
0.001,2.2369219100836553,5000,4866,,,,0.03463111538439989,,,66.7,-8.480821560114782
0.001,2.2123905926039726,5222,5067,80,-8.539876625,31,0.03258866031390073,65.275,163,,
0.001,2.3190752231713496,5463,5335,84,-8.41747029761905,33,0.05138565135647112,65.03571428571429,163,,
0.001,0.526105277861158,5643,5502,88,-7.489160181818182,34,0.09867109568353663,64.125,164,,
0.001,-0.3390928389132023,5847,5707,92,-5.4557433695652175,35,0.2976616041040888,63.55434782608695,165,,
0.001,-0.7642236191492814,6000,5862,,,,0.3213897102440779,,,50.2,38.558877849578856
0.001,-0.7978131837885956,6059,5920,96,-3.4969660208333337,36,0.20330546565096955,63.114583333333336,164,,
0.001,-1.1522253717367466,6261,6122,100,-1.7938571500000002,38,0.3804135100514281,62.61,164,,
0.001,-1.5970722849552448,6467,6328,104,-0.5009183500000002,39,0.23390524698278078,63.35,165,,
0.001,-1.9813876450061798,6661,6526,108,2.06529165,40,0.23036080272868276,62.56,165,,
0.001,-2.421404623068296,6866,6727,112,4.0259060700000004,41,0.2284556544333134,61.94,165,,
0.001,-2.754826408166152,7000,6881,,,,0.17724623545160834,,,50.2,38.558876579999925
0.001,-2.8175837993621826,7070,6931,116,5.945794910000002,42,0.15989207334816455,61.3,164,,
0.001,-3.158524477923358,7276,7137,120,7.883147150000001,44,0.1514972066161809,60.69,164,,
0.001,-3.4906989380165383,7479,7340,124,9.80000734,45,0.14061895701682792,60.04,165,,
0.001,-3.767730025144724,7685,7545,128,11.736345739999997,46,0.12603532023868472,59.43,165,,
0.001,-4.074870328903199,7888,7747,132,13.62471791,47,0.13137900829315186,58.78,165,,
0.001,-4.169835615158081,8000,7901,,,,0.11698097721034405,,,50.2,38.5588763654232
0.001,-4.301685039813702,8093,7953,136,15.576672929999999,49,0.10664129142577831,58.15,164,,
0.001,-4.3985219185168924,8302,8159,140,17.54169233,50,0.11368945016051238,57.56,165,,
0.001,-4.668416518431443,8504,8368,144,19.41253248,51,0.11315765847953466,56.9,165,,
0.001,-4.821389004036233,8710,8570,148,21.356962239999998,52,0.10943391005385597,56.29,165,,
0.001,-5.081946501365075,8914,8775,152,23.286391300000005,54,0.1330593447559155,55.65,164,,
0.001,-4.926544427871704,9000,8879,,,,0.11361295540096625,,,50.2,38.55887510478497
0.001,-5.1041619044083815,9119,8980,156,25.21513727,55,0.11583641741205664,55.02,163,,
0.001,-5.320094779685691,9326,9188,160,27.184569959999997,57,0.12217497742838329,54.41,163,,
0.001,-5.446311206817627,9527,9391,164,29.09603896,58,0.10469310832958595,53.74,163,,
0.001,-5.573030531406403,9730,9590,168,30.964856519999998,59,0.12052818993106484,53.11,162,,
0.001,-5.484957714875539,9929,9791,172,32.80889924,61,0.12669845092661527,52.42,162,,
0.001,-5.68929366712217,10000,9894,,,,0.19044538376466283,,,50.2,38.558873769640925
0.001,-5.781134040267379,10140,10000,176,34.869933339999996,63,0.224735368181158,51.86,160,,
0.001,-5.930139945103572,10344,10205,180,36.85982366,64,0.13139275948588663,51.22,161,,
0.001,-6.025779540722187,10549,10409,184,38.714681559999995,65,0.13684603170706675,50.86,161,,
0.001,-5.946350345611572,10747,10611,188,39.73677034999999,66,0.1469539298730738,51.04,161,,
0.001,-6.292823094588059,10951,10815,192,39.771127019999994,67,0.15711773817355817,51.04,161,,
0.001,-6.285639743010203,11000,10863,,,,0.13484698378791413,,,50.2,38.55887323319912
0.001,-6.294779739379883,11159,11021,196,39.704912809999996,69,0.13815780818462373,51.0,160,,
0.001,-6.4140375682285855,11369,11231,200,39.77662499,71,0.1342287166044116,51.08,160,,
0.001,-6.467587250929612,11574,11438,204,39.75898239,72,0.17379923823934335,51.07,159,,
0.001,-6.630372683207194,11773,11635,208,39.81442985999999,73,0.158340757750735,51.12,160,,
0.001,-6.548628660348745,11975,11836,212,39.773767369999995,74,0.18589242299397787,51.09,160,,
0.001,-6.533453044891357,12000,11887,,,,0.225182432754367,,,50.2,38.55887236595154
0.001,-6.5005011558532715,12178,12037,216,39.710595149999996,76,0.174176607131958,51.08,160,,
0.001,-6.574207581006563,12382,12241,220,39.69264635,77,0.18859185894521382,51.06,160,,
0.001,-6.893294334411621,12587,12447,224,39.730608479999994,78,0.14316789653836465,51.08,160,,
0.001,-7.022002073434683,12787,12650,228,39.639597949999995,79,0.16489959625052472,51.02,160,,
0.001,-6.9648944282531735,12991,12853,232,39.68513116,80,0.205370378260519,51.03,161,,
0.001,-6.922464923858643,13000,12903,,,,0.19614421218633651,,,50.2,38.55887203812599
0.001,-7.012817660967509,13188,13051,236,39.49819076,81,0.17288710192466775,50.95,160,,
0.001,-6.9715786552429195,13387,13250,240,39.3723242,83,0.1521706885099411,50.85,161,,
0.001,-7.258870821732741,13588,13449,244,39.36395051,84,0.19370143129848516,50.84,161,,
0.001,-7.095471420288086,13798,13657,248,39.41951033,85,0.23147465347074994,50.88,161,,
0.001,-7.292239685058593,14000,13863,,,,0.1843120124118001,,,50.2,38.558871385455134
,,14005,,252,39.45028721,86,,50.91,161,,
0.001,-7.166825428009033,14205,14067,256,39.33991341000001,87,0.270852457074558,50.86,161,,
0.001,-7.245419062100924,14405,14268,260,39.25531336000001,89,0.18597047675687534,50.79,161,,
