time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss,eval/mean_ep_length,eval/mean_reward
0,68,4,2.9931985,17.0,2720,,,,,,
2,420,8,16.125033625,52.5,185,0.001,-0.8380662160260337,254,0.04539664188885818,,
4,693,12,8.503556916666666,57.75,152,0.001,-0.6709433355752159,525,0.006803971338633667,,
,1000,,,,,0.001,-1.5454952946076026,888,0.025787189073276286,50.2,38.552308794856074
8,1038,16,18.7842360625,64.875,127,,,,,,
9,1235,20,21.814301249999996,61.75,124,0.001,-1.9891889599653392,1096,0.04452449040344128,,
12,1534,24,22.262055708333335,63.916666666666664,125,0.001,-2.284600856863422,1384,0.10469981740562269,,
13,1641,28,21.809345750000006,58.607142857142854,123,0.001,-2.3596593856811525,1512,0.10264216145050936,,
,2000,,,,,0.001,-2.835027734438578,1775,0.1497257257412587,159.5,76.55797592008021
18,2259,32,26.883534500000003,70.59375,119,0.001,-3.0373016623563545,1946,0.14471251051328335,,
25,2978,36,50.725246194444445,82.72222222222223,116,0.001,-4.84283291060349,2698,0.40954932018920975,,
,3000,,,,,0.001,-5.500236792034573,2879,0.6575355839745775,193.1,57.78980138140032
33,3580,40,66.24601265000001,89.5,107,0.001,-6.707600025281514,3358,0.913791870519723,,
,4000,,,,,0.001,-8.437453688236705,3807,1.4527080700847141,262.9,280.2204006870743
41,4189,44,78.31020670454546,95.20454545454545,101,0.001,-8.951798017208393,3911,1.3827849549169724,,
,5000,,,,,0.001,-10.088751980167652,4681,1.2533836785236352,845.0,833.6265231422382
,6000,,,,,0.001,-11.818131381988525,5681,0.9484507120847702,618.4,659.4812661280623
74,6016,48,113.08558208333334,125.33333333333333,80,,,,,,
82,6858,52,121.29038642307691,131.8846153846154,83,0.001,-14.474850708583617,6555,1.3651010731481157,,
,7000,,,,,0.001,-15.723084634350192,6883,1.5790081211636144,272.1,244.5806106332224
90,7437,56,124.73931917857144,132.80357142857142,81,0.001,-16.399981827571473,7162,1.9296035098618474,,
,8000,,,,,0.001,-16.833329623395745,7338,1.5717907459898428,210.1,214.91722714204806
,9000,,,,,0.001,-18.634423850239187,8168,1.8773222208893212,247.8,348.30685219410805
105,9267,60,148.45226373333335,154.45,87,,,,,,
116,9838,64,155.60378198437502,153.71875,84,0.001,-21.761600049336753,9588,2.540509315331777,,
,10000,,,,,0.001,-23.456194551023717,9885,3.671255459524181,196.5,333.61551934629676
124,10475,68,164.1393873676471,154.0441176470588,84,0.001,-24.632412498061722,10196,3.594896910963832,,
,11000,,,,,0.001,-27.307261872291566,10871,3.266486568003893,210.2,386.5685137450695
132,11178,72,173.33421583333333,155.25,84,,,,,,
140,11966,76,183.97923490789472,157.44736842105263,85,0.001,-29.953891605801054,11653,3.395798382179513,,
,12000,,,,,0.001,-30.790383276538314,11867,3.50319356116179,181.9,364.7395662665367
150,12763,80,194.70748596250002,159.5375,85,0.001,-32.58641876158167,12495,3.692810558299629,,
,13000,,,,,0.001,-33.89375764496472,12861,3.707628775369092,243.7,320.18430736733137
159,13471,84,194.69221958333333,160.36904761904762,84,0.001,-34.93366899904998,13256,4.024791794572855,,
,14000,,,,,0.001,-36.33111327035086,13855,4.849631199776877,198.9,375.2213095275336
167,14143,88,202.33706823863633,160.7159090909091,84,,,,,,
,15000,,,,,0.001,-39.173610340465196,14832,5.028797422701887,238.1,480.658241045475
178,15133,92,214.1991412608696,164.4891304347826,84,,,,,,
,16000,,,,,0.001,-42.34307373487032,15685,5.209978323804134,263.8,429.3752618101891
188,16039,96,226.09935621875002,167.07291666666666,84,,,,,,
,17000,,,,,0.001,-44.82000969451608,16876,5.703708494000319,251.7,473.2577662890777
201,17267,100,239.61016304000003,172.67,85,,,,,,
,18000,,,,,0.001,-47.27151760101319,17720,6.1031244400158595,199.6,458.2771892130375
210,18035,104,257.50519522999997,179.67,85,,,,,,
217,18856,108,275.31354645,184.36,86,0.001,-50.07768668750725,18582,6.8423220025430815,,
,19000,,,,,0.001,-50.36016670314745,18757,6.7959803853716165,200.2,432.74571546912193
225,19409,112,284.49107970999995,187.16,86,0.001,-51.44512478898211,19176,8.195601784601443,,
,20000,,,,,0.001,-53.27661465926909,19750,8.539303837093057,181.2,409.07903799414635
232,20020,116,297.26787691,189.82,86,,,,,,
