time/time_elapsed,rollout/ep_rew_mean,time/fps,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,train/critic_loss,train/n_updates,train/learning_rate,eval/mean_ep_length,eval/mean_reward
0,3.3508335,3249,4,23.0,92,,,,,,
0,-1.4611272499999999,273,8,19.625,157,0.5981320947408676,0.27720235362648965,50,0.001,,
0,-2.9161571666666664,225,12,18.166666666666668,218,0.7327680720223321,0.07914999456090085,108,0.001,,
4,29.93139025,204,16,54.8125,877,-0.7245152659423939,0.0324858874233754,634,0.001,,
,,,,,1000,-1.5473950656255087,0.07093782313414757,785,0.001,294.1,438.78344309893436
10,57.75620369999999,161,20,86.05,1721,-2.7192706362060877,0.1997342427747081,1383,0.001,,
,,,,,2000,-3.1580978875021333,0.2693146029805265,1834,0.001,189.2,76.29623154835426
16,63.47191887499999,154,24,105.875,2541,-3.466280563590453,0.29206635211546395,2244,0.001,,
,,,,,3000,-3.938234505745081,0.3321404220858732,2873,0.001,189.2,76.29618547387653
21,67.04892371428572,153,28,119.60714285714286,3349,-3.9665843115912542,0.26796579992559355,3070,0.001,,
,,,,,4000,-4.617272501190503,0.1924778566074868,3843,0.001,189.2,76.29616760373465
26,68.57906668749999,153,32,128.6875,4118,,,,,,
31,71.28842008333332,158,36,137.41666666666666,4947,-4.893534583350022,0.19291715787173552,4667,0.001,,
,,,,,5000,-4.970554260497398,0.20224309601682297,4855,0.001,189.2,76.29614058763836
37,73.55997937499998,155,40,144.5,5780,-5.281269314072349,0.19414227852089838,5517,0.001,,
,,,,,6000,-5.5737787060353945,0.19823036875043595,5863,0.001,189.2,76.29612602137495
42,74.22605577272726,153,44,149.02272727272728,6557,-5.736505410381567,0.22798653524891238,6240,0.001,,
,,,,,7000,-5.958909339215382,0.22886562109532127,6834,0.001,189.2,76.29611946782097
49,74.11855962499999,148,48,152.0625,7299,-6.043180376291275,0.24738216927895942,7026,0.001,,
,,,,,8000,-6.577885868027806,0.23026430209671014,7857,0.001,189.2,76.29611612518201
55,75.47865792307691,147,52,156.1346153846154,8119,,,,,,
59,76.18951975,149,56,159.19642857142858,8915,-6.911495789614591,0.2714012508365241,8645,0.001,,
,,,,,9000,-6.8608646875017145,0.2446807293911998,8823,0.001,189.2,76.29612321194728
64,77.79526643333334,148,60,159.9,9594,-9.273086016518729,0.8566992056201881,9307,0.001,,
,,,,,10000,-11.300466701388359,0.5822950231982028,9786,0.001,166.5,312.1518638730049
69,87.214277765625,146,64,159.328125,10197,-11.753925117286476,0.5677008163687345,9934,0.001,,
72,101.06522047058824,148,68,159.7941176470588,10866,-13.233133331674043,0.5153254867811513,10585,0.001,,
,,,,,11000,-13.690100147849636,0.5568693327525306,10774,0.001,208.3,396.6635619312525
78,115.01241698611109,147,72,161.01388888888889,11593,-15.068758231837576,0.6021655999669214,11288,0.001,,
,,,,,12000,-16.25358192572433,0.5614231809806288,11856,0.001,248.2,435.3572811961174
84,128.6867537236842,146,76,162.93421052631578,12383,-16.626449935913087,0.6279843157506084,12107,0.001,,
,,,,,13000,-18.40273384989044,0.6912014637988038,12803,0.001,184.4,374.95622807145116
90,140.3393349625,145,80,163.6375,13091,,,,,,
95,150.6081048452381,144,84,163.85714285714286,13764,-20.05725263413929,0.8322737649792716,13496,0.001,,
,,,,,14000,-20.646752130417596,0.8350752483875978,13840,0.001,168.4,369.92605357170106
100,160.07140069318183,143,88,164.125,14443,-21.63818028461502,0.8146703408425113,14192,0.001,,
,,,,,15000,-22.656173035338686,0.8076429959854793,14749,0.001,190.5,379.3422953903675
105,170.08333702173914,143,92,165.69565217391303,15244,-23.158741919548955,0.8961601119015098,14930,0.001,,
110,179.1829853541667,144,96,166.52083333333334,15986,-24.561828523523666,0.9097152355818721,15705,0.001,,
,,,,,16000,-24.85757458335475,1.0138537041724673,15894,0.001,187.8,384.55270064473154
116,187.19150647000004,144,100,167.37,16737,-25.914750166765348,1.0517775209869926,16475,0.001,,
,,,,,17000,-26.404037364693576,1.0519471701822782,16816,0.001,252.7,459.6835958778858
121,203.00781246999998,143,104,174.18,17510,-27.346592851118608,1.049499090964144,17236,0.001,,
,,,,,18000,-28.00492466327756,1.2057852776244629,17764,0.001,206.4,423.26505811810495
127,218.75148997999997,143,108,180.91,18248,-28.504196790185304,1.0932410778385577,17966,0.001,,
,,,,,19000,-29.923774130800936,1.247231425448535,18778,0.001,195.3,409.3781285703182
133,236.37585544000004,143,112,188.37,19055,,,,,,
137,246.93379475999996,144,116,189.47,19824,-31.284760218794627,1.5041176963496852,19564,0.001,,
,,,,,20000,-31.39931295031593,1.544471834387098,19732,0.001,161.9,355.4767427355051
142,255.93736558,144,120,188.57,20578,-31.893252312382565,1.7832680012606368,20276,0.001,,
,,,,,21000,-32.16749820709229,1.8270888646044323,20828,0.001,208.3,324.3836860563373
147,264.19691184,144,124,187.92,21333,-32.54316326390917,2.42250304859738,21043,0.001,,
149,263.11846076,144,128,182.7,21619,-32.36672174362909,3.0539576468013583,21460,0.001,,
151,260.98658172,144,132,177.72,21890,-33.29240590875799,3.700249236021469,21731,0.001,,
,,,,,22000,-33.79171483656939,2.9682815956032793,21867,0.001,90.2,70.19425172302871
153,259.56017352,145,136,172.83,22230,-33.42648637559679,3.7196824052831627,22047,0.001,,
155,258.8511028799999,145,140,168.07,22587,-33.48248087565104,3.3185845481024847,22408,0.001,,
156,257.37468573999996,145,144,163.55,22912,-33.63626228494847,3.319755230812316,22726,0.001,,
,,,,,23000,-33.52408307663938,3.319375807934619,22820,0.001,96.9,39.8918540265935
159,255.47211847,146,148,160.23,23322,-33.692366150190246,4.486385389319006,23106,0.001,,
,,,,,24000,-33.87332502422911,3.7818301003030004,23664,0.001,349.4,704.2216287374497
166,263.92727941,144,152,160.16,24135,-33.51663682924821,4.359674220117147,23962,0.001,,
170,268.00057330999994,145,156,158.97,24812,-33.941896456424324,3.9804774199690773,24607,0.001,,
,,,,,25000,-34.26270997935328,4.13217937535253,24836,0.001,95.1,13.953359431674471
173,264.43208892999996,145,160,156.21,25215,-33.420120568111024,4.741758606744849,25038,0.001,,
175,255.37471193000002,145,164,154.22,25619,-33.74159444764603,4.818649759126264,25416,0.001,,
,,,,,26000,-33.99989703122307,5.265088009483674,25869,0.001,145.9,37.45427310872183
179,245.42954941999997,145,168,152.04,26070,,,,,,
181,233.67511709,145,172,149.09,26502,-34.94536407038851,5.774041909091878,26276,0.001,,
,,,,,27000,-36.158438066892984,7.527153341076042,26886,0.001,129.2,139.63096776340973
185,223.35167270000002,145,176,147.1,27093,,,,,,
187,212.61681311999996,145,180,142.85,27376,-38.33988363092596,7.429102594202215,27262,0.001,,
188,198.25410782,145,184,137.0,27464,-38.342577362060545,12.126988592601958,27351,0.001,,
188,184.19904993999998,146,188,131.62,27605,-38.007275867462155,9.440539180496593,27493,0.001,,
189,168.34074894000005,146,192,124.38,27682,-38.265626695421005,12.42854336688393,27571,0.001,,
189,152.50942696,146,196,117.65,27751,-38.22883224487305,7.111405274447272,27641,0.001,,
190,137.05610946,146,200,110.89,27826,-37.35122553507487,9.164090181651869,27715,0.001,,
190,120.95190292000001,146,204,103.96,27906,-38.03847713470459,15.229593873023987,27794,0.001,,
190,105.33767923,146,208,97.39,27987,-38.64726371765137,14.118821740150452,27875,0.001,,
,,,,,28000,-38.39480819702148,11.181321501731873,27895,0.001,69.0,101.5966075099539
193,93.65431597999999,146,212,93.25,28380,-38.832395600109564,11.062908963459295,28186,0.001,,
195,83.08531511,147,216,89.01,28725,-38.692516781034925,10.411367302849179,28563,0.001,,
,,,,,29000,-40.46569737848246,10.412726296568817,28881,0.001,108.6,53.30972777386196
197,69.38142956,146,220,84.44,29022,,,,,,
200,60.07572658,147,224,81.52,29485,-41.56183442073082,9.629452513225043,29306,0.001,,
202,54.94786011,147,228,82.68,29887,-40.59834952581497,10.413122367858886,29675,0.001,,
,,,,,30000,-39.934216817220054,10.544003732999165,29795,0.001,161.7,150.1733781435527
207,58.80543002,146,232,84.78,30368,-39.87714538574219,9.91168466189229,30201,0.001,,
209,60.962589949999995,146,236,86.0,30830,-40.359932296130125,9.454946785557027,30622,0.001,,
,,,,,31000,-40.10552672265281,8.96903678061257,30880,0.001,96.4,76.05869140950963
213,61.52241126,146,240,86.85,31272,-39.921289617365055,9.166639403863387,31053,0.001,,
215,65.09235943,146,244,87.36,31648,-39.77667583889431,9.35189314948188,31412,0.001,,
218,67.37756527999998,146,248,86.34,31956,-39.11728886996998,8.697770679084053,31823,0.001,,
,,,,,32000,-39.55986222766695,8.815110764852385,31864,0.001,54.0,14.12239170094981
220,56.18956957,146,252,81.08,32243,-38.831999868716835,9.164026010711238,32070,0.001,,
222,53.18099457,146,256,78.35,32647,-38.5590084499783,9.13720690674252,32484,0.001,,
,,,,,33000,-37.86001631792854,7.684600135859321,32871,0.001,66.4,81.51706224010559
225,55.888898950000005,146,260,78.22,33037,,,,,,
227,59.309296599999996,146,264,77.54,33373,-38.08269624710083,8.41117658494394,33204,0.001,,
230,63.876425250000004,146,268,78.23,33893,-37.57496984742528,8.720436548928491,33730,0.001,,
,,,,,34000,-37.175753239222935,8.278407486391739,33801,0.001,146.0,186.94886530181975
235,66.44342198999999,147,272,80.47,34549,-37.642708819845446,8.603488491427514,34233,0.001,,
,,,,,35000,-36.36871742248535,8.245895426682752,34646,0.001,144.1,21.46664094236912
241,70.74255595,146,276,83.01,35394,-36.91256886983971,8.251124865558731,35144,0.001,,
,,,,,36000,-36.7693088479238,7.9811393267487825,35880,0.001,124.3,168.138627267594
246,77.59387735,146,280,87.23,36099,,,,,,
250,92.02186760000001,147,284,94.25,36889,-35.76317924177143,8.151443823009519,36652,0.001,,
,,,,,37000,-35.89809958140055,8.394606781005859,36797,0.001,158.2,280.7531271197833
255,102.35330363000001,146,288,98.54,37459,-35.55187920601137,8.328179601700075,37200,0.001,,
257,110.39401617999998,147,292,102.13,37895,-35.41506073691628,8.054587768785881,37634,0.001,,
,,,,,38000,-35.362381858825685,7.582161614389131,37902,0.001,123.7,216.7910966705531
262,124.56574298999996,146,296,108.33,38584,-35.7430066278536,8.783611294341414,38321,0.001,,
,,,,,39000,-35.40141637397535,8.334713711883083,38842,0.001,100.8,30.62879647076479
