time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,eval/mean_reward,eval/mean_ep_length
4,4.299454,27.75,111,0,2410,,,,,,
8,44.95606325,110.5,884,2,307,0.026100032962858677,-1.094648338854313,0.001,586,,
,,,1000,,,0.02505320826338397,-1.3357241398521833,0.001,811,75.18906491061207,188.0
12,69.57725058333334,151.16666666666666,1814,8,205,0.07518803855357525,-2.176786776099886,0.001,1574,,
,,,2000,,,0.09228621529203332,-2.2586706460240378,0.001,1741,76.29640962062695,189.2
16,73.7711105625,163.4375,2615,13,193,0.118741000124084,-2.748672524636442,0.001,2344,,
,,,3000,,,0.31831088712346467,-3.8763811199377614,0.001,2824,143.94495940604247,157.8
20,105.89828915000001,169.75,3395,18,187,0.46576802694194375,-4.90003714674995,0.001,3145,,
,,,4000,,,0.5110601197928191,-6.80413601398468,0.001,3817,286.6814947485924,166.2
24,135.72289070833332,168.75,4050,22,180,,,,,,
28,155.68977410714288,166.85714285714286,4672,25,184,0.3894058792320497,-8.816646093275489,0.001,4450,,
,,,5000,,,0.31101883162151683,-10.068796305222945,0.001,4910,258.8431579647586,251.0
32,162.39297040625002,167.15625,5349,29,179,0.5464329207248061,-10.542443037033081,0.001,5047,,
,,,6000,,,0.38391266913896194,-12.487039544609155,0.001,5817,293.6452505111694,174.2
36,177.65564336111115,168.5,6066,34,174,,,,,,
40,179.90750285,165.7,6628,37,175,0.41496649120940643,-14.499154835531156,0.001,6463,,
,,,7000,,,0.5150244565571056,-14.630002986683564,0.001,6875,147.7932394867399,214.8
44,168.34921961363636,166.61363636363637,7331,41,175,0.4476535897977246,-15.009503738552917,0.001,7078,,
48,154.17816614583333,165.41666666666666,7940,45,176,0.5842448810913733,-15.726851667676653,0.001,7750,,
,,,8000,,,0.7601840338136396,-16.074059321962554,0.001,7867,-43.85211391922785,75.2
52,137.89727246153848,158.76923076923077,8256,47,175,0.8895305210954687,-15.927449139681729,0.001,8117,,
56,127.09120928571429,153.67857142857142,8606,48,176,0.7928751126882878,-15.764674734562002,0.001,8435,,
,,,9000,,,0.8925840544613289,-15.933495563619276,0.001,8921,199.8781243811449,311.8
60,127.18997625,157.95,9477,55,170,1.1526789179126036,-16.291274362397424,0.001,9333,,
64,124.526391359375,153.515625,9825,57,171,1.4802867818360377,-17.390718868800572,0.001,9645,,
,,,10000,,,2.244713205997258,-18.27163969145881,0.001,9923,53.807953278906645,116.5
68,122.94590622058823,150.47058823529412,10232,60,169,2.838009338679276,-18.11055025458336,0.001,10050,,
72,131.24216630555554,151.34722222222223,10897,63,172,2.5359720098666654,-19.401332072722607,0.001,10628,,
