time/episodes,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,time/fps,train/actor_loss,train/critic_loss,train/learning_rate,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
4,117,29.25,3,83,37,-1.3595588207244873,0.032059259180511744,0.001,33.50756975,,
8,145,18.125,3,111,44,-1.3219594955444336,0.016112818914864744,0.001,18.629337,,
12,173,14.416666666666666,3,139,49,-1.2938403685887654,0.01603009644895792,0.001,13.636022833333334,,
16,201,12.5625,3,167,54,-1.281222979227702,0.01734536207680191,0.001,11.1166780625,,
20,229,11.45,3,195,59,-1.2902758518854778,0.014447308810693877,0.001,9.609382299999998,,
24,257,10.708333333333334,4,223,63,-1.2349964380264282,0.013576758825885398,0.001,8.603064458333334,,
28,285,10.178571428571429,4,251,67,-1.3437794049580891,0.013392488871301924,0.001,7.8958390000000005,,
32,313,9.78125,4,279,70,-1.2504743337631226,0.012929985166660376,0.001,7.37248959375,,
36,341,9.472222222222221,4,307,74,-1.2952587604522705,0.015696908147739514,0.001,6.949650972222222,,
40,369,9.225,4,335,77,-1.226301113764445,0.019380779205156223,0.001,6.617612675000001,,
44,419,9.522727272727273,5,374,83,-1.395593033896552,0.027484889866577253,0.001,6.1262180909090915,,
48,491,10.229166666666666,5,446,90,-1.291439453760783,0.02590364993860324,0.001,5.473205041666667,,
52,732,14.076923076923077,6,518,120,-1.3585231701533,0.00813249139011734,0.001,7.988381384615385,,
56,819,14.625,7,770,109,-2.0416738986968994,0.17029021893228805,0.001,10.168593892857144,,
60,906,15.1,8,857,113,-2.591565804048018,0.32629096355627885,0.001,12.044431883333333,,
64,994,15.53125,8,945,115,-2.890860232439908,0.37822801213372836,0.001,13.710316109375,,
,1000,,,967,,-3.16222281889482,0.4152864573354071,0.001,,38.89435044527054,22.1
68,1093,16.073529411764707,9,1058,113,-3.7241008381048837,0.4978311083589991,0.001,15.436658117647061,,
72,1122,15.583333333333334,9,1088,113,-3.9175445437431335,0.6751806735992432,0.001,14.927798805555556,,
76,1150,15.131578947368421,9,1116,115,-3.7448464035987854,0.4191214974437441,0.001,14.452988131578946,,
80,1182,14.775,10,1148,115,-3.9282034635543823,0.5220251902937889,0.001,14.10529765,,
84,1218,14.5,10,1182,116,-3.8226481914520263,0.3287748085955779,0.001,13.860678952380951,,
88,1258,14.295454545454545,10,1221,117,-3.8014122009277345,0.43325217962265017,0.001,13.720583840909088,,
92,1296,14.08695652173913,10,1260,118,-3.886977958679199,0.5112180054187775,0.001,13.559037739130432,,
96,1336,13.916666666666666,11,1298,119,-4.376736354827881,0.4233230285346508,0.001,13.442380604166667,,
100,1387,13.87,11,1340,121,-4.307900428771973,0.4035615054043857,0.001,13.560609029999998,,
104,1550,14.33,12,1460,126,-4.761605545326516,0.5668010846884163,0.001,15.040695399999997,,
108,1720,15.75,13,1666,127,-5.649231243133545,0.6729629079500834,0.001,18.08918152,,
112,1813,16.4,14,1765,129,-6.146463504204383,0.6308472007513046,0.001,19.58978723,,
116,1977,17.76,14,1865,134,-6.437686189015706,0.972918693096407,0.001,22.463537509999995,,
,2000,,,1950,,-6.638230523397756,0.9126510332612431,0.001,,152.61791231632233,79.1
120,2316,20.87,17,2206,132,-7.88093623449636,1.3623893558979034,0.001,28.822235100000004,,
124,2652,23.95,19,2540,136,-9.448084694998604,1.5220071802656334,0.001,35.13144886,,
128,2982,26.97,21,2869,139,-10.735056189603585,1.4375798178966654,0.001,41.23670442,,
,3000,,,2955,,-11.103665329689203,1.8945237567951514,0.001,,162.32119183540345,84.5
132,3309,29.96,24,3202,136,-12.251691954476494,1.9833902170260747,0.001,47.2560887,,
136,3612,32.71,26,3515,138,-13.42629806995392,1.9883693102747202,0.001,52.674195950000005,,
140,3921,35.52,27,3812,140,-14.540782323697718,2.550023767683241,0.001,58.253985549999996,,
,4000,,,3967,,-15.143372694651285,2.7394558354599834,0.001,,127.11272801160813,71.1
144,4220,38.01,30,4119,138,-15.64724884963617,2.1672261440899314,0.001,63.65767378,,
148,4509,40.18,32,4446,139,-16.755661897881087,2.786717485549838,0.001,69.08853387,,
152,4772,40.4,34,4701,140,-17.875852006854434,2.3087088971426994,0.001,72.33190152,,
,5000,,,4952,,-18.64636812210083,3.190372393280268,0.001,,153.75194862484932,81.8
156,5061,42.42,36,,139,,,,76.12238701999999,,
160,5397,44.91,38,5284,140,-19.692171939583712,3.2094872727113612,0.001,80.92255834000001,,
164,5736,47.42,40,5626,141,-20.58673806623979,2.990250039374691,0.001,85.80955549000001,,
,6000,,,5963,,-21.616047859191895,3.642334379869349,0.001,,162.93452222347258,84.8
168,6076,49.83,43,,139,,,,90.56825533,,
172,6419,52.97,45,6306,140,-22.69063457222872,3.3529401227485303,0.001,96.94069774999998,,
176,6699,55.49,47,6647,140,-24.09927949451265,3.1103816249791314,0.001,102.03531638999999,,
180,6880,56.98,48,6799,141,-24.853094024658205,4.3264826419306734,0.001,105.08672404999999,,
,7000,,,6932,,-25.052495527267457,5.093445483642288,0.001,,148.9450635075569,78.4
184,7212,59.94,51,7096,140,-25.425069631532182,4.683433152908503,0.001,111.40906842999999,,
,8000,,,7971,,-29.244116056533088,6.53030927882475,0.001,,163.3924896121025,83.6
188,8174,69.16,58,8057,139,-29.440786272980446,6.237716181333675,0.001,124.18730812000001,,
