time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
2842,121,0,40.2772425,30.25,4,,,,,,
520,149,0,23.110426,18.625,8,0.04385730358106749,0.001,-1.5530434250831604,52,,
421,177,0,17.37584325,14.75,12,0.034786268536533625,0.001,-1.573898822069168,80,,
359,205,0,14.497509125,12.8125,16,0.039955127984285355,0.001,-1.6102610230445862,108,,
331,233,0,12.77477005,11.65,20,0.041898246322359355,0.001,-1.6153247654438019,136,,
303,261,0,11.631054083333334,10.875,24,0.03765315083520753,0.001,-1.6616676449775696,164,,
267,334,1,14.328873000000002,11.928571428571429,28,0.057495074265676994,0.001,-1.9520744979381561,222,,
238,424,1,17.475951156249998,13.25,32,0.06362395482542722,0.001,-2.421362356706099,313,,
223,512,2,19.843875777777775,14.222222222222221,36,0.0909022418782115,0.001,-2.8681482618505303,400,,
210,600,2,21.7244293,15.0,40,0.14523845436898145,0.001,-3.192696072838523,488,,
201,686,3,23.200074295454545,15.590909090909092,44,0.1594351902604103,0.001,-3.5478347648273814,574,,
195,774,3,24.490948729166664,16.125,48,0.19024155356667258,0.001,-3.9041581370613794,662,,
193,861,4,25.56797071153846,16.557692307692307,52,0.1713887986473062,0.001,-4.258835359053179,749,,
191,947,4,26.453211071428573,16.910714285714285,56,0.20821411738341505,0.001,-4.567570556293834,835,,
,1000,,,,,0.18248396282168952,0.001,-4.887247302315452,900,22.1,38.892970287799834
181,1036,5,27.291962316666666,17.266666666666666,60,0.1678374595940113,0.001,-4.880575266751376,923,,
178,1134,6,28.11836015625,17.71875,64,0.23145075935509898,0.001,-5.833309459686279,1035,,
180,1197,6,26.46260314705882,17.602941176470587,68,0.6120965894725587,0.001,-5.815051131778294,1089,,
180,1268,7,24.923941375000002,17.61111111111111,72,0.3929385584261682,0.001,-6.193449020385742,1160,,
180,1340,7,23.530921197368425,17.63157894736842,76,0.6730233314964507,0.001,-6.640356964535183,1232,,
179,1412,7,22.2889717625,17.65,80,0.7407750731541051,0.001,-6.6921874152289496,1304,,
179,1484,8,21.15921436904762,17.666666666666668,84,0.6382078991995918,0.001,-6.8839395840962725,1376,,
180,1555,8,20.139718647727275,17.670454545454547,88,0.7593922093510628,0.001,-7.278346008724636,1447,,
180,1626,9,19.21699422826087,17.67391304347826,92,1.0590804169575374,0.001,-7.448721249898274,1518,,
180,1698,9,18.353719302083334,17.6875,96,0.7963103809290462,0.001,-7.360104295942518,1590,,
180,1770,9,17.55819185,17.7,100,0.9449697815709643,0.001,-7.297834025488959,1662,,
180,1841,10,15.89333262,17.2,104,0.786152638056699,0.001,-7.739942669868469,1733,,
180,1913,10,15.600192139999999,17.64,108,0.974114254117012,0.001,-7.614704291025798,1805,,
180,1983,11,15.32180356,18.06,112,1.4605299374636482,0.001,-7.459698412153456,1876,,
,2000,,,,,1.3558071956915014,0.001,-7.471901893615723,1893,17.9,-1.3299116231501102
178,2054,11,15.028366570000001,18.49,116,1.266887765791681,0.001,-7.550210581885444,1946,,
178,2125,11,14.73429615,18.92,120,1.5319129281184252,0.001,-7.711938977241516,2017,,
178,2197,12,14.436935099999998,19.36,124,1.159327314959632,0.001,-7.65731143951416,2089,,
178,2268,12,13.163373960000001,19.34,128,0.8334444090723991,0.001,-7.499558554755317,2160,,
178,2339,13,11.532509439999998,19.15,132,1.0731408248345058,0.001,-7.982853518591987,2232,,
179,2410,13,9.9214432,18.98,136,1.01640784740448,0.001,-7.561278767055935,2302,,
178,2482,13,8.311405270000002,18.82,140,1.5164581073655024,0.001,-7.869385189480251,2374,,
178,2554,14,6.74219563,18.68,144,1.5006933493746653,0.001,-7.325725078582764,2446,,
178,2625,14,5.14231071,18.51,148,1.1628408059477806,0.001,-7.850434422492981,2517,,
178,2696,15,3.54732535,18.35,152,1.3523988094594743,0.001,-7.397613737318251,2588,,
179,2768,15,1.9756351000000003,18.21,156,2.2595748785469265,0.001,-7.620944764879015,2660,,
179,2840,15,0.36176087999999995,18.04,160,1.0340078920125961,0.001,-7.823862340715197,2732,,
179,2912,16,-1.3149545300000003,17.78,164,1.5936731075247128,0.001,-7.341812557644314,2804,,
179,2985,16,-1.35330007,17.88,168,1.4844492579761304,0.001,-7.199855433570014,2877,,
,3000,,,,,1.702508270740509,0.001,-7.455663204193115,2895,22.1,31.862927413461147
178,3066,17,-0.54331617,17.98,172,0.9618987176153395,0.001,-7.010797765519884,2953,,
178,3150,17,0.30664617000000005,18.1,176,2.737401627831989,0.001,-7.296690569983588,3037,,
178,3229,18,0.7330359799999999,18.17,180,2.53474480509758,0.001,-7.795897388458252,3116,,
177,3314,18,1.94175925,18.3,184,1.977481717413122,0.001,-7.497316577217796,3203,,
177,3400,19,3.4969287900000006,18.45,188,2.6393611458214847,0.001,-7.523784464055842,3288,,
177,3487,19,5.06606043,18.61,192,1.9363910095258192,0.001,-8.136014548215,3376,,
177,3575,20,6.65752386,18.77,196,2.2584199962161837,0.001,-8.504825973510743,3463,,
177,3660,20,8.21033841,18.9,200,2.223583791937147,0.001,-8.574103260040284,3549,,
177,3747,21,9.784078189999999,19.06,204,1.8183629472147336,0.001,-8.838292121887207,3635,,
177,3834,21,11.355836779999999,19.21,208,1.4604680036956614,0.001,-9.021281415765936,3722,,
177,3920,22,12.893058099999998,19.37,212,1.9917220558438982,0.001,-9.500274484807795,3808,,
,4000,,,,,1.4778755578127774,0.001,-9.341163591905074,3895,21.6,37.7082555770874
176,4007,22,14.475822739999998,19.53,216,,,,,,
176,4092,23,16.02967604,19.67,220,1.7507417187804268,0.001,-9.396522188186646,3981,,
176,4178,23,17.5836257,19.81,224,1.6614554849537937,0.001,-10.200979406183416,4067,,
176,4265,24,19.160362640000002,19.97,228,1.5426373446271533,0.001,-9.219822072982788,4153,,
176,4353,24,20.747739759999998,20.14,232,1.450823299586773,0.001,-10.288356694308193,4241,,
177,4478,25,22.99282248,20.68,236,1.1136058121919632,0.001,-11.20849895477295,4330,,
176,4680,26,26.794746290000003,21.98,240,1.9664484726828197,0.001,-11.816735644673193,4559,,
177,4943,27,31.806104290000004,23.89,244,2.4015869591385126,0.001,-12.435918599367142,4771,,
,5000,,,,,2.9083201114724324,0.001,-12.526903803755598,4853,78.1,152.5043380200863
173,5235,30,37.38392036,26.1,248,2.0347328160120095,0.001,-13.544548470633371,5076,,
175,5563,31,43.930636320000005,28.67,252,2.2526852670072137,0.001,-15.12930570646774,5387,,
176,5906,33,50.84110682000001,31.38,256,2.5145333942978882,0.001,-16.08462154033572,5730,,
,6000,,,,,2.405571532950682,0.001,-16.380014873686292,5901,86.0,169.8646426677704
173,6247,35,57.724100740000004,34.07,260,2.802802789912504,0.001,-16.989797546750022,6071,,
173,6571,37,64.20202257,36.59,264,3.1026055715804874,0.001,-18.330006532890852,6415,,
174,6917,39,71.11972023,39.32,268,3.336281938456941,0.001,-19.452629488567972,6741,,
,7000,,,,,3.175173969645249,0.001,-19.918498072130927,6884,63.7,116.07790977954865
171,7190,41,75.5638002,41.24,272,3.0590307356706306,0.001,-20.367593591863457,7015,,
171,7437,43,79.42267145,42.87,276,3.365556667435844,0.001,-21.494084393536603,7296,,
172,7688,44,83.80683871,44.59,280,4.542665361274373,0.001,-22.777219772338867,7511,,
,8000,,,,,4.972244109915591,0.001,-23.106587210366893,7859,86.2,175.80295024514197
170,8035,47,89.61251374999998,47.21,284,,,,,,
171,8378,48,95.13442205999999,49.78,288,4.363323940094127,0.001,-23.98718887151674,8202,,
