rollout/ep_len_mean,time/time_elapsed,train/learning_rate,time/episodes,train/critic_loss,rollout/ep_rew_mean,train/n_updates,train/actor_loss,time/total_timesteps,time/fps,eval/mean_reward,eval/mean_ep_length
29.25,1,0.001,4,0.032059259180511744,33.50756975,83,-1.3595588207244873,117,86,,
18.125,1,0.001,8,0.016112818914864744,18.629337,111,-1.3219594955444336,145,95,,
14.416666666666666,1,0.001,12,0.01603009644895792,13.636022833333334,139,-1.2938403685887654,173,103,,
12.5625,1,0.001,16,0.01734536207680191,11.1166780625,167,-1.281222979227702,201,109,,
11.45,1,0.001,20,0.014447308810693877,9.609382299999998,195,-1.2902758518854778,229,115,,
10.708333333333334,2,0.001,24,0.013576758825885398,8.603064458333334,223,-1.2349964380264282,257,119,,
10.178571428571429,2,0.001,28,0.013392488871301924,7.8958390000000005,251,-1.3437794049580891,285,122,,
9.78125,2,0.001,32,0.012929985166660376,7.37248959375,279,-1.2504743337631226,313,125,,
9.472222222222221,2,0.001,36,0.015696908147739514,6.949650972222222,307,-1.2952587604522705,341,127,,
9.225,2,0.001,40,0.019380779205156223,6.617612675000001,335,-1.226301113764445,369,131,,
9.522727272727273,3,0.001,44,0.027484889866577253,6.1262180909090915,374,-1.395593033896552,419,138,,
10.229166666666666,3,0.001,48,0.02590364993860324,5.473205041666667,446,-1.291439453760783,491,144,,
14.076923076923077,3,0.001,52,0.00813249139011734,7.988381384615385,518,-1.3585231701533,732,187,,
14.625,5,0.001,56,0.17029021893228805,10.168593892857144,770,-2.0416738986968994,819,155,,
15.1,5,0.001,60,0.32629096355627885,12.044431883333333,857,-2.591565804048018,906,158,,
15.53125,6,0.001,64,0.37822801213372836,13.710316109375,945,-2.890860232439908,994,159,,
,,0.001,,0.4152864573354071,,967,-3.16222281889482,1000,,38.89435044527054,22.1
16.073529411764707,7,0.001,68,0.4978311083589991,15.436658117647061,1058,-3.7241008381048837,1093,155,,
15.583333333333334,7,0.001,72,0.6751806735992432,14.927798805555556,1088,-3.9175445437431335,1122,156,,
15.131578947368421,7,0.001,76,0.4191214974437441,14.452988131578946,1116,-3.7448464035987854,1150,157,,
14.775,7,0.001,80,0.5220251902937889,14.10529765,1148,-3.9282034635543823,1182,158,,
14.5,7,0.001,84,0.3287748085955779,13.860678952380951,1182,-3.8226481914520263,1218,159,,
14.295454545454545,7,0.001,88,0.43325217962265017,13.720583840909088,1221,-3.8014122009277345,1258,159,,
14.08695652173913,8,0.001,92,0.5112180054187775,13.559037739130432,1260,-3.886977958679199,1296,160,,
13.916666666666666,8,0.001,96,0.4233230285346508,13.442380604166667,1298,-4.376736354827881,1336,160,,
13.87,8,0.001,100,0.4035615054043857,13.560609029999998,1340,-4.307900428771973,1387,162,,
14.33,9,0.001,104,0.5668010846884163,15.040695399999997,1460,-4.761605545326516,1550,168,,
15.75,10,0.001,108,0.6729629079500834,18.08918152,1666,-5.649231243133545,1720,166,,
16.4,10,0.001,112,0.6308472007513046,19.58978723,1765,-6.146463504204383,1813,167,,
17.76,11,0.001,116,0.972918693096407,22.463537509999995,1865,-6.437686189015706,1977,173,,
,,0.001,,0.9126510332612431,,1950,-6.638230523397756,2000,,152.61791231632233,79.1
20.87,13,0.001,120,1.3623893558979034,28.822235100000004,2206,-7.88093623449636,2316,165,,
23.95,15,0.001,124,1.5220071802656334,35.13144886,2540,-9.448084694998604,2652,167,,
26.97,17,0.001,128,1.4375798178966654,41.23670442,2869,-10.735056189603585,2982,169,,
,,0.001,,1.8945237567951514,,2955,-11.103665329689203,3000,,162.32119183540345,84.5
29.96,20,0.001,132,1.9833902170260747,47.2560887,3202,-12.251691954476494,3309,162,,
32.71,22,0.001,136,1.9883693102747202,52.674195950000005,3515,-13.42629806995392,3612,163,,
35.52,23,0.001,140,2.550023767683241,58.253985549999996,3812,-14.540782323697718,3921,163,,
,,0.001,,2.7394558354599834,,3967,-15.143372694651285,4000,,127.11272801160813,71.1
38.01,26,0.001,144,2.1672261440899314,63.65767378,4119,-15.64724884963617,4220,161,,
40.18,28,0.001,148,2.786717485549838,69.08853387,4446,-16.755661897881087,4509,160,,
40.4,29,0.001,152,2.3087088971426994,72.33190152,4701,-17.875852006854434,4772,161,,
,,0.001,,3.190372393280268,,4952,-18.64636812210083,5000,,153.75194862484932,81.8
42.42,31,,156,,76.12238701999999,,,5061,159,,
44.91,33,0.001,160,3.2094872727113612,80.92255834000001,5284,-19.692171939583712,5397,159,,
47.42,35,0.001,164,2.990250039374691,85.80955549000001,5626,-20.58673806623979,5736,160,,
,,0.001,,3.642334379869349,,5963,-21.616047859191895,6000,,162.93452222347258,84.8
49.83,38,,168,,90.56825533,,,6076,157,,
52.97,40,0.001,172,3.3529401227485303,96.94069774999998,6306,-22.69063457222872,6419,158,,
55.49,42,0.001,176,3.1103816249791314,102.03531638999999,6647,-24.09927949451265,6699,158,,
56.98,43,0.001,180,4.3264826419306734,105.08672404999999,6799,-24.853094024658205,6880,159,,
,,0.001,,5.093445483642288,,6932,-25.052495527267457,7000,,148.9450635075569,78.4
59.94,45,0.001,184,4.683433152908503,111.40906842999999,7096,-25.425069631532182,7212,158,,
,,0.001,,6.612431631088257,,7961,-29.106287982012773,8000,,152.02536890506744,79.4
69.01,51,0.001,188,6.108924768057214,123.80999669,8044,-29.11997890472412,8159,158,,
72.07,53,0.001,192,6.2687378497350785,130.17147111999998,8390,-30.897063527788436,8503,159,,
75.06,55,0.001,196,7.307860442570278,136.38107185,8733,-32.15539950416202,8842,159,,
,,0.001,,5.995110077328152,,8945,-32.88883746754039,9000,,161.9144373714924,82.6
77.48,57,0.001,200,7.846941128755227,141.40167337,9023,-32.926675111819534,9135,158,,
78.46,59,0.001,204,7.891219247942385,143.5525657,9289,-33.969796222189196,9396,159,,
80.01,60,0.001,208,9.829704639315604,146.69215956,9616,-35.43054900169373,9721,159,,
,,0.001,,10.55025174974025,,9938,-37.098468347029254,10000,,151.26377665400506,78.3
82.31,63,,212,,151.38406813999998,,,10044,159,,
83.72,64,0.001,216,12.272151840360541,154.19416356000002,10246,-38.62853240966797,10349,159,,
83.39,66,0.001,220,15.08270503972706,153.56189970999998,10552,-39.961108458669564,10655,160,,
83.07,68,0.001,224,14.757759608720479,152.92886461999998,10856,-41.20794858430561,10959,161,,
,,0.001,,14.318561390826577,,10932,-40.92761160198011,11000,,146.58033524751664,76.0
83.04,70,0.001,228,17.412479544794838,153.09070599,11170,-41.618427720180776,11286,160,,
83.26,72,0.001,232,14.516504844922698,153.78821602,11521,-42.43854436007413,11635,160,,
83.69,74,0.001,236,14.189763578501614,155.03517232000002,11869,-43.8553429516879,11981,161,,
,,0.001,,14.767707813487334,,11954,-43.59374813700831,12000,,72.4319887638092,42.9
83.64,76,0.001,240,17.133876637978986,155.17948653999997,12171,-44.17623155767267,12285,160,,
84.15,78,0.001,244,16.4419821487076,156.62688194999998,12524,-45.41039596904408,12635,161,,
84.75,80,0.001,248,14.662586472755255,158.09665800000002,12872,-45.839287425196446,12984,161,,
,,0.001,,14.486668376361623,,12957,-46.16343916030157,13000,,172.71828206777573,87.0
85.59,82,0.001,252,13.175407991852872,160.25687683,13217,-46.10415072773778,13331,161,,
86.17,84,0.001,256,13.22836045013077,161.75848225,13564,-47.09938231381503,13678,161,,
,,0.001,,13.565315887845795,,13912,-47.256227406588465,14000,,170.12344167232513,86.3
86.29,87,,260,,162.24724251,,,14026,160,,
86.38,89,0.001,264,13.267957303715848,162.72035042,14260,-47.80528155240145,14374,160,,
86.46,91,0.001,268,12.048528068367093,163.07150672,14608,-48.50470109419389,14722,161,,
,,0.001,,11.186391928109778,,14953,-48.636093977021005,15000,,167.41707679629326,85.7
86.47,94,,272,,163.17005935,,,15066,160,,
87.13,96,0.001,276,11.139065517776315,164.59862071,15298,-49.88054050098766,15412,160,,
88.77,98,0.001,280,12.773526984591816,167.96699947000002,15644,-50.140405166980834,15757,160,,
,,0.001,,14.838103668599189,,15894,-50.037487506866455,16000,,151.94732309579848,79.9
88.74,100,0.001,284,11.468213981389999,167.61082319000002,15974,-50.53144407272339,16086,159,,
82.49,102,0.001,288,12.666703779486161,160.91479847,16301,-50.79843521118164,16408,159,,
82.3,104,0.001,292,13.331260982013884,160.42816547,16626,-51.38030515398298,16733,160,,
,,0.001,,10.959316320057157,,16949,-51.33443783491086,17000,,153.26805755496025,80.0
82.13,107,,296,,159.97109141999996,,,17055,159,,
82.48,108,0.001,300,10.981526680108978,160.67471688999998,17271,-51.583783777748664,17383,159,,
83.32,110,0.001,304,13.199090225943204,162.50339429000002,17617,-51.86433712271757,17728,159,,
,,0.001,,11.6418407767318,,17965,-52.09146029450173,18000,,170.2199209868908,85.5
83.52,113,,308,,163.00893770000002,,,18073,159,,
83.88,115,0.001,312,9.657872147612519,163.82141279,18315,-52.39955105251736,18432,159,,
84.34,117,0.001,316,10.691710203886032,165.20546287999997,18668,-52.9868596683849,18783,160,,
,,0.001,,10.437813181768764,,18934,-52.83385953036222,19000,,183.4503649353981,89.8
84.8,120,0.001,320,11.249056139211545,166.55555231999998,19021,-52.55493820545285,19135,159,,
85.32,122,0.001,324,9.873398401651038,167.83380097999998,19370,-53.73730632237026,19491,159,,
85.67,124,0.001,328,10.526414754655626,168.63923764,19733,-53.39540490044488,19853,159,,
,,0.001,,9.332297731231858,,19917,-53.72557339138455,20000,,181.07652921676635,95.0
85.87,126,0.001,332,11.325879973749961,168.87443438999998,20105,-53.80100465857464,20222,159,,
85.76,128,0.001,336,10.178582543550535,168.21646581000002,20451,-54.226245436557505,20557,159,,
86.19,130,0.001,340,9.949870554955451,168.42407430000003,20794,-54.89020322716755,20904,160,,
,,0.001,,8.204545917182132,,20964,-55.247907638549805,21000,,143.53345302343368,83.6
86.25,133,0.001,344,12.622386466755586,167.8226203,21135,-55.1823863074893,21260,159,,
86.47,135,0.001,348,9.986511692087701,167.01828129999996,21510,-55.79277509324094,21631,160,,
,,0.001,,8.250808267489724,,21877,-56.5408933059029,22000,,166.17151291146874,91.6
86.69,138,,352,,166.5654492,,,22000,159,,
86.5,140,0.001,356,10.71005959312121,165.57268817,22211,-57.50581216812134,22328,159,,
86.8,142,0.001,360,8.825323538113667,165.79994888000002,22582,-57.465032293441446,22706,159,,
,,0.001,,12.53781924645106,,22961,-58.65606681505839,23000,,187.30578464269638,97.2
87.15,145,,364,,166.43014001,,,23089,158,,
87.43,147,0.001,368,13.165316652465652,167.18850836000001,23343,-58.389396837022566,23465,159,,
87.74,149,0.001,372,10.817209969396176,167.86306603,23718,-59.26099039160687,23840,159,,
,,0.001,,10.781085485997407,,23905,-59.28544326450514,24000,,186.41724985837936,93.9
87.95,152,0.001,376,10.575524665497161,168.55755344000002,24089,-59.11472769843208,24207,158,,
88.21,154,0.001,380,11.634252317573713,169.2650463,24458,-59.928830851679265,24578,159,,
88.59,156,0.001,384,10.8640037552341,170.29074035000002,24826,-60.066063176030696,24945,159,,
,,0.001,,11.282953057600105,,24918,-60.00560528299083,25000,,186.84509686231613,93.2
89.1,159,0.001,388,8.812372192423394,171.58557008,25197,-60.49233976323554,25318,158,,
90.43,162,0.001,392,10.773891499872958,173.55858804,25655,-60.15933765064586,25776,158,,
,,0.001,,11.25427945116733,,25938,-61.006025760731795,26000,,187.40372315049171,93.9
90.96,165,0.001,396,9.761094406895015,174.84699747,26030,-60.192346987516984,26151,158,,
,,0.001,,10.409572489718174,,26406,-61.583324919355675,27000,,999.7495238363742,1000.0
100.5,176,,400,,184.09396188,,,27433,155,,
101.43,183,0.001,404,20.019092802907906,181.14814557000003,27806,-63.070900256817154,27871,151,,
,,0.001,,18.39156530521534,,27952,-64.12540859646268,28000,,60.544767588377,69.6
100.63,185,0.001,408,12.318968796730042,176.57882809999998,28022,-64.21389683314732,28136,151,,
,,0.001,,19.264234469188906,,28232,-64.27826684521091,29000,,1013.100973045826,1000.0
,,0.001,,17.680738517284393,,29232,-67.3983360748291,30000,,891.9707943439483,765.5
,,0.001,,17.082998252443417,,29999,-69.67880254999464,31000,,1030.2682136178016,1000.0
125.94,223,,412,,199.99099834,,,31026,138,,
,,0.001,,13.425829356431962,,30999,-72.79801050567627,32000,,1036.0564267933369,1000.0
