rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
18.75,0,4,16.243347999999997,75,3802,,,,,,
15.75,0,8,13.820448375,126,863,0.001,0.10671075501225212,22,-0.9480819801489512,,
20.166666666666668,0,12,26.487968750000004,242,339,0.001,0.02239220030605793,123,-1.7459727417338977,,
20.5625,1,16,29.471682124999997,329,280,0.001,0.04883256410671906,212,-2.281641873446378,,
20.85,1,20,31.328804849999994,417,255,0.001,0.09634845987671897,299,-2.641957426071167,,
20.375,2,24,25.89944433333333,489,241,0.001,0.11078047504027684,375,-2.8064476119147406,,
20.035714285714285,2,28,21.98517928571428,561,231,0.001,0.1159050330105755,447,-2.670141246583727,,
19.71875,2,32,19.095599125,631,224,0.001,0.13992020356304505,517,-2.792287677526474,,
19.52777777777778,3,36,16.833617222222223,703,219,0.001,0.19055719321800602,589,-2.76855821079678,,
19.35,3,40,15.01852835,774,213,0.001,0.1558448974700535,660,-2.625302341249254,,
19.204545454545453,4,44,13.529699909090908,845,210,0.001,0.15333724125391907,731,-2.6589536666870117,,
19.083333333333332,4,48,12.28654570833333,916,208,0.001,0.23932955289880434,802,-2.5466544363233776,,
19.0,4,52,11.228391826923074,988,207,0.001,0.24406425768716467,874,-2.48336042298211,,
,,,,1000,,0.001,0.13374660909175873,892,-2.411478863822089,-1.3157225608825684,17.9
18.910714285714285,5,56,10.33069542857143,1059,200,0.001,0.2576778000768493,945,-2.463791072368622,,
18.85,5,60,9.54018855,1131,199,0.001,0.29260092394219506,1017,-2.2863096396128335,,
18.78125,6,64,8.8552576875,1202,198,0.001,0.25618329337414575,1088,-2.3284577793545194,,
18.705882352941178,6,68,8.264531249999997,1272,198,0.001,0.2944917924263898,1159,-2.1759570240974426,,
18.666666666666668,6,72,7.722193652777779,1344,198,0.001,0.2805044878688123,1230,-2.018183297581143,,
18.61842105263158,7,76,7.239411618421054,1415,197,0.001,0.32717514741751885,1302,-2.02651309967041,,
18.575,7,80,6.81042855,1486,196,0.001,0.24386634015374714,1372,-1.6203664143880208,,
18.547619047619047,7,84,6.416961107142858,1558,195,0.001,0.41058057981232804,1444,-1.8663831816779242,,
18.511363636363637,8,88,6.070477079545455,1629,194,0.001,0.23137435068686804,1515,-1.7351761791441176,,
18.47826086956522,8,92,5.750339293478263,1700,193,0.001,0.32607660617898493,1586,-1.8355284267001681,,
18.447916666666668,9,96,5.450939062500001,1771,192,0.001,0.38148095327265125,1657,-1.7553054839372635,,
18.43,9,100,5.1811684200000006,1843,192,0.001,0.2996298273404439,1729,-1.2582759592268202,,
19.2,10,104,7.27767952,1995,192,0.001,0.4511240344980489,1874,-2.4708696603775024,,
,,,,2000,,0.001,0.59265465259552,1899,-2.3690933883190155,39.6349112033844,22.5
19.67,11,108,8.547212359999998,2093,188,0.001,0.7961034536361694,1972,-3.259717812904945,,
19.43,11,112,8.09352548,2185,186,0.001,1.0085361216749464,2066,-3.9074295217340644,,
19.46,12,116,8.145150840000001,2275,185,0.001,0.7902639934962447,2157,-4.408166191794655,,
19.52,12,120,8.252253009999999,2369,184,0.001,1.223827812982642,2248,-4.841282884279887,,
19.68,13,124,9.85186838,2457,183,0.001,1.470381723208861,2339,-5.27234038439664,,
19.86,13,128,11.50215577,2547,182,0.001,1.334808610379696,2429,-5.379583716392517,,
20.37,14,132,13.687049620000003,2668,182,0.001,1.5301494361073882,2551,-6.103294460861771,,
21.15,15,136,16.50184139,2818,181,0.001,1.637861879098983,2699,-7.107500982284546,,
21.32,16,140,18.103618880000003,2906,181,0.001,1.5068971446969293,2788,-7.299962693994695,,
21.51,16,144,19.75469612,2996,181,0.001,1.2254883036726998,2874,-8.09217357635498,,
,,,,3000,,0.001,1.3289316697762563,2900,-7.845476774068979,50.39410926103592,28.1
21.72,17,148,21.44112493,3088,177,0.001,1.550893444390524,2971,-8.51026725769043,,
23.65,18,152,26.32252216,3353,180,0.001,1.8361776851945453,3170,-9.032692149281502,,
25.44,20,156,30.90380659,3603,179,0.001,1.6519660262957863,3422,-10.138544414354408,,
27.67,21,160,36.42754578,3898,179,0.001,2.767624973319471,3716,-11.566038578748703,,
,,,,4000,,0.001,2.517554466237967,3889,-12.136133903680845,110.71122202277184,62.7
30.1,24,164,42.37613015000001,4212,175,0.001,2.8446628087904395,4033,-12.801104778196754,,
32.56,25,168,48.41320305,4528,175,0.001,2.4845566359059563,4345,-14.166964331338573,,
35.23,27,172,54.99579238000001,4867,176,0.001,2.938574976949807,4684,-15.235658554803758,,
,,,,5000,,0.001,3.3948791362773414,4858,-15.782937331633134,160.73660740852355,84.5
37.8,30,176,61.25899338999999,5195,172,0.001,3.6234906603550088,5030,-16.225227269259367,,
40.47,31,180,67.81268163,5533,174,0.001,3.9433432300406768,5351,-17.02688752151117,,
43.16,33,184,74.45771878000001,5874,175,0.001,3.6879261461801307,5693,-17.95836874496105,,
,,,,6000,,0.001,4.429221016604726,5860,-18.661078755448504,162.7838038921356,84.9
45.87,36,188,81.08326107,6216,172,0.001,4.711602667282367,6034,-18.90159914710305,,
48.59,38,192,87.85195945000001,6559,172,0.001,4.612062320989721,6377,-19.947441600617907,,
51.3,40,196,94.52344914000001,6901,172,0.001,5.043742349568535,6719,-20.736382983979723,,
,,,,7000,,0.001,4.09564501458201,6892,-21.047251267866656,164.55562423467637,85.1
54.02,42,200,101.20555679999998,7245,169,0.001,4.295470934538614,7062,-21.651946749005997,,
55.87,44,204,104.92090199,7582,169,0.001,4.285831936570101,7402,-22.480674566224565,,
58.32,46,208,109.85275511,7925,169,0.001,4.657680159391359,7743,-23.11231111925702,,
,,,,8000,,0.001,4.6347616314888,7829,-23.276424496672874,163.82148196697236,85.1
60.83,49,212,114.84877590999999,8268,167,0.001,5.1188614742700445,8087,-23.94136655053427,,
63.34,51,216,119.74606550999997,8609,168,0.001,4.909928326045765,8427,-24.44264470963251,,
