train/critic_loss,rollout/ep_len_mean,train/actor_loss,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/n_updates,train/learning_rate,time/episodes,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
0.45278771221637726,35.25,-0.1102736834436655,9.154447000000001,141,130,21,0.001,4,1,,
0.029911188964786777,87.5,-0.08102802375591743,13.775723875000002,700,195,395,0.001,8,3,,
0.026097834757011797,,-0.40636921894771083,,1000,,611,0.001,,,77.21034443462558,189.8
0.08939420025368842,134.58333333333334,-1.7833065825204055,67.47664058333334,1615,153,1316,0.001,12,10,,
0.18050935444022928,,-2.273463991710118,,2000,,1853,0.001,,,-12.890415482246317,69.2
,125.6875,,52.59073575,2011,140,,,16,14,,
0.13449477296376575,114.35,-1.7227729068082922,39.5173918,2287,143,2129,0.001,20,15,,
0.1788349759535513,106.75,-1.2382845895630972,30.924071625000007,2562,145,2404,0.001,24,17,,
0.177619148855624,101.42857142857143,-0.94224532299182,24.554436357142865,2840,146,2681,0.001,28,19,,
0.2167034537895866,,-0.6119076139958841,,3000,,2888,0.001,,,-12.890607129374985,69.2
0.1871037363358166,97.34375,-0.5632736630299512,20.06392203125,3115,144,2957,0.001,32,21,,
0.20771898045926027,94.22222222222223,-0.2862062535115651,16.399441250000002,3392,144,3235,0.001,36,23,,
0.1738254580114569,91.675,-0.011006378568708897,13.624100975000001,3667,145,3509,0.001,40,25,,
0.21020741037586155,89.61363636363636,0.18290109192842946,11.244856659090908,3943,147,3784,0.001,44,26,,
0.20126516850931303,,0.20468942932784556,,4000,,3854,0.001,,,-12.890639751648996,69.2
0.23902132038189017,87.89583333333333,0.37908775753834667,9.26652579166667,4219,144,4061,0.001,48,29,,
0.2297601376970609,86.42307692307692,0.5708468347130453,7.656919923076925,4494,145,4337,0.001,52,30,,
0.23018658884625504,85.17857142857143,0.7956769692046302,6.25693367857143,4770,145,4612,0.001,56,32,,
0.22950932880242667,,0.9967419070856912,,5000,,4888,0.001,,,-12.89065272968728,69.2
,84.1,,5.0704829500000015,5046,144,,,60,35,,
0.20829117309082956,83.140625,1.1397282481193542,4.0685688437500005,5321,145,5163,0.001,64,36,,
0.2035299945568693,82.33823529411765,1.23848778535338,2.982150661764707,5599,147,5441,0.001,68,38,,
0.20422890156075574,81.61111111111111,1.5369426485370188,2.121263916666668,5876,147,5717,0.001,72,39,,
0.23825219165587772,,1.6197781937462943,,6000,,5856,0.001,,,-12.890658449754119,69.2
0.2456704305813593,80.94736842105263,1.631386167862836,1.3826181710526326,6152,146,5993,0.001,76,42,,
0.20591162944185562,80.325,1.794711640902928,0.7509634125000005,6426,146,6270,0.001,80,43,,
0.2325892727289881,79.77380952380952,2.0151695558003015,0.13478695238095287,6701,148,6542,0.001,84,45,,
0.20856237400855338,79.29545454545455,2.1295621292931695,-0.4245202613636362,6978,149,6819,0.001,88,46,,
0.25312177506940703,,2.1422221660614014,,7000,,6889,0.001,,,-12.89066194933839,69.2
0.22058193180440128,78.84782608695652,2.1983462537036225,-0.9083152934782607,7254,147,7095,0.001,92,49,,
0.2440219573676586,78.44791666666667,2.357125605855669,-1.4273070208333334,7531,147,7373,0.001,96,51,,
0.2249927370660547,78.07,2.428352440104765,-1.8731514500000004,7807,148,7649,0.001,100,52,,
0.2651599988989208,,2.4487337521144323,,8000,,7856,0.001,,,-12.890663814963773,69.2
0.25802184641361237,79.42,2.587479226729449,-2.7150703800000002,8083,146,7925,0.001,104,55,,
0.2787846221008163,76.58,2.4689377967049095,-3.9182964100000004,8358,146,8201,0.001,108,56,,
0.2591286278937174,70.19,2.7142875262669155,-11.41147468,8634,147,8476,0.001,112,58,,
0.24659908854443094,68.99,2.825996467045375,-12.232718,8910,147,8752,0.001,116,60,,
0.2872069013723429,,2.7527895178113666,,9000,,8890,0.001,,,-12.890663701365701,69.2
0.2247759697692735,69.0,2.860387543269566,-12.224110340000003,9187,147,9029,0.001,120,62,,
0.26801752150058744,69.02,2.9397994313921245,-12.25771344,9464,148,9306,0.001,124,63,,
0.25993959424751145,68.55,2.7732340335845946,-12.249299630000003,9695,148,9583,0.001,128,65,,
0.28728726765383844,66.75,2.9050335450605913,-12.45381994,9790,148,9677,0.001,132,66,,
0.20284203936656317,64.81,2.176197280486425,-12.527473829999998,9873,148,9772,0.001,136,66,,
0.2055028428634008,62.54,1.0718269050121307,-12.477262999999999,9921,148,9820,0.001,140,66,,
0.2024192220220963,60.26,1.2645370761553447,-12.3785618,9969,148,9868,0.001,144,67,,
0.18913263703385988,,1.0834388434886932,,10000,,9904,0.001,,,-10.07003023684083,12.0
0.18143586814403534,57.98,1.3790955742200215,-12.283961559999998,10017,148,9916,0.001,148,67,,
0.2086267607907454,55.71,1.33633953332901,-12.220673659999997,10065,148,9964,0.001,152,67,,
0.2201309675971667,53.43,0.7149127523104349,-12.147084150000001,10113,148,10012,0.001,156,68,,
0.18225927092134953,51.15,0.6680148045221964,-12.092876180000001,10161,148,10060,0.001,160,68,,
0.17538646856943765,48.88,0.6619042555491129,-12.055105609999998,10209,148,10108,0.001,164,68,,
0.1123299157867829,46.58,0.7015132556358973,-11.883972679999998,10257,148,10156,0.001,168,68,,
0.10994455342491467,44.29,0.7232426206270853,-11.78643848,10305,148,10204,0.001,172,69,,
0.09507785799602668,42.01,0.7096246232589086,-11.713169650000003,10353,149,10252,0.001,176,69,,
0.10114330829431613,39.75,0.6828256795803705,-11.66493185,10401,149,10300,0.001,180,69,,
0.10221841682990392,37.48,0.6735598941644033,-11.580948740000002,10449,149,10348,0.001,184,69,,
0.0671632948021094,35.19,0.6975825528303782,-11.49652867,10497,149,10396,0.001,188,70,,
0.06689931421230237,32.91,0.7692954440911611,-11.43748093,10545,149,10444,0.001,192,70,,
0.0660933144390583,30.62,0.8635453184445699,-11.30787204,10593,149,10492,0.001,196,70,,
0.05694167005519072,28.34,0.8297395209471384,-11.20771045,10641,149,10540,0.001,200,71,,
0.05432623904198408,26.06,0.9611590206623077,-11.136904200000002,10689,149,10588,0.001,204,71,,
0.057965945762892566,23.79,0.962052563826243,-11.07589132,10737,150,10636,0.001,208,71,,
0.05074263612429301,21.51,0.9430126249790192,-10.979520450000003,10785,150,10684,0.001,212,71,,
0.049690685545404754,19.23,1.0102247993151348,-10.878014460000001,10833,150,10732,0.001,216,72,,
0.05992251603553692,16.94,0.852759470542272,-10.779558820000002,10881,150,10780,0.001,220,72,,
0.05314098050196966,14.65,1.0033229788144429,-10.667673610000001,10929,150,10828,0.001,224,72,,
0.04848095588386059,12.82,1.040250798066457,-10.53236263,10977,150,10876,0.001,228,72,,
0.0637515988200903,,1.1874129970868428,,11000,,10900,0.001,,,-10.070026579676778,12.0
0.056802715795735516,12.35,1.041254311800003,-10.27735731,11025,150,10924,0.001,232,73,,
0.05555165062348048,12.0,1.2128271361192067,-10.09236664,11073,150,10972,0.001,236,73,,
0.06852710184951623,12.0,1.1595245003700256,-10.09101807,11121,150,11020,0.001,240,73,,
0.053916738368570805,12.0,1.271905203660329,-10.09120542,11169,150,11068,0.001,244,74,,
0.053901090597112976,12.0,1.3768781224886577,-10.091881849999998,11217,150,11116,0.001,248,74,,
0.06351776172717412,12.0,1.377732276916504,-10.09330735,11265,150,11164,0.001,252,74,,
0.05388023518025875,12.0,1.3499542077382405,-10.09421328,11313,151,11212,0.001,256,74,,
0.07060425945868094,12.0,1.454859773317973,-10.08979164,11361,151,11260,0.001,260,75,,
0.05868335720151663,12.0,1.5567256609598796,-10.095226169999998,11409,151,11308,0.001,264,75,,
