train/critic_loss,train/learning_rate,time/total_timesteps,time/fps,train/actor_loss,rollout/ep_len_mean,train/n_updates,time/episodes,time/time_elapsed,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
0.3622376203536987,0.001,132,218,-0.14001018851995467,33.0,20,4,0,7.705037,,
0.1227885507620298,0.001,225,250,0.2827140564719836,28.125,83,8,0,-7.640967999999999,,
0.023941334031188664,0.001,495,239,0.164847158758408,41.25,340,12,2,-7.6228826666666665,,
0.04748338651325967,0.001,978,230,-0.9296296753666617,61.125,847,16,4,8.9334893125,,
0.04701284423123959,0.001,1000,,-0.9859486249360171,,890,,,,33.44403822124004,44.1
0.09472797403604233,0.001,2000,,-2.828645696401053,,1860,,,,293.32279994150156,391.9
,,2246,196,,112.3,,20,11,59.5339701,,
0.4118685823173151,0.001,2880,190,-5.315842921580743,120.0,2703,24,15,80.86083487500001,,
0.6840532521406809,0.001,3000,,-5.619674629635281,,2828,,,,-31.44389260483149,85.4
0.4974897124937602,0.001,3320,191,-5.90799703817258,118.57142857142857,3091,28,17,76.79885428571428,,
0.6040236746010027,0.001,3791,194,-6.8444155642860816,118.46875,3582,32,19,65.56227646875,,
0.6370197453759086,0.001,4000,,-7.03083659561587,,3845,,,,71.48282457452152,176.7
0.7219562585796079,0.001,4668,192,-7.717756963545276,129.66666666666666,4406,36,24,74.07417702777778,,
0.6468428125271218,0.001,5000,,-8.231723929560461,,4753,,,,276.7129764233716,186.2
0.8417938233162305,0.001,5394,189,-9.307309013605117,134.85,5089,40,28,84.72876039999998,,
0.9085502300999666,0.001,6000,,-10.488205708955464,,5841,,,,199.10915033575148,134.2
,,6054,184,,137.5909090909091,,44,32,91.90892538636363,,
0.8743425631209424,0.001,6490,186,-12.054262964349045,135.20833333333334,6287,48,34,101.99229841666666,,
1.0399077935753582,0.001,6982,188,-14.08666068536264,134.26923076923077,6818,52,37,111.54013053846153,,
1.00809772234214,0.001,7000,,-14.26199950669941,,6894,,,,197.76799696087838,98.9
1.4281299504495801,0.001,7354,187,-15.26802144731794,131.32142857142858,7181,56,39,116.73851978571429,,
1.6214401174117536,0.001,7733,188,-15.905097372391644,128.88333333333333,7526,60,40,116.82866105000001,,
2.002438425450098,0.001,8000,,-17.06106722129966,,7854,,,,259.5045423098374,148.5
1.6096653509558292,0.001,8176,186,-17.233949343363445,127.75,7968,64,43,123.01710365624999,,
1.3943323576173117,0.001,8824,189,-18.947685450315475,129.76470588235293,8555,68,46,132.68070638235292,,
1.89574095549122,0.001,9000,,-19.883852723356966,,8891,,,,285.32247948050497,133.5
1.8898626469277047,0.001,9421,188,-21.127025784672917,130.84722222222223,9164,72,50,142.6171910972222,,
2.079876705564024,0.001,10000,,-22.76329591895352,,9744,,,,380.60851958943533,202.0
2.100282138484156,0.001,10231,186,-23.744968234983265,134.6184210526316,9978,76,54,156.08501790789472,,
3.214669056814544,0.001,11000,,-26.61029221759579,,10848,,,,374.1567791508511,202.1
,,11029,184,,137.8625,,80,59,164.2891297625,,
4.3068922001382575,0.001,11763,188,-28.308634573953192,140.03571428571428,11381,84,62,167.9742698452381,,
4.335599102671185,0.001,12000,,-29.57766263861405,,11864,,,,406.80034441482275,239.8
4.411264147195551,0.001,12463,184,-30.77866556909349,141.625,12249,88,67,176.7651245340909,,
4.654289772113164,0.001,13000,,-32.47708330154419,,12784,,,,419.500482037745,247.9
4.907705059658722,0.001,13396,184,-33.300992463764395,145.6086956521739,13051,92,72,187.7920035978261,,
5.540240117219779,0.001,14000,,-35.326034604586084,,13737,,,,282.7061154109921,167.0
5.547653905807003,0.001,14138,180,-35.54264146538191,147.27083333333334,13923,96,78,191.52514157291668,,
6.839775351149526,0.001,14847,182,-37.516294724870434,148.47,14594,100,81,197.95495741,,
