train/n_updates,time/fps,rollout/ep_len_mean,time/episodes,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean,train/critic_loss,train/actor_loss,time/time_elapsed,eval/mean_ep_length,eval/mean_reward
21,188,38.0,4,0.001,152,9.56700525,0.45879459381103516,-0.11081414182553999,0,,
327,255,79.125,8,0.001,633,-5.787591624999998,0.043778542581606995,0.4987175343388861,2,,
888,,,,0.001,1000,,0.06802561103507097,-1.1814672856829886,,189.9,77.11073309079511
1249,166,129.0,12,0.001,1548,54.50240158333333,0.12363915715832263,-1.6050572631259759,9,,
1852,,,,0.001,2000,,0.15711392332953447,-2.1748217460021233,,189.8,77.17294035121158
2050,154,144.875,16,0.001,2318,60.6911688125,0.1871420391694163,-2.36513359498496,14,,
2634,154,139.55,20,0.001,2791,54.910415350000015,0.1519983371391016,-3.545943302266738,18,,
2905,,,,0.001,3000,,0.10190750313374926,-2.726663126665003,,68.4,-10.149931007274427
,153,127.625,24,,3063,44.170351125,,,19,,
3179,155,119.17857142857143,28,0.001,3337,36.39994782142857,0.11372126775848515,-2.430225768510033,21,,
3452,157,112.78125,32,0.001,3609,30.73110615625,0.13130062500781872,-2.17359218527289,22,,
3727,158,107.88888888888889,36,0.001,3884,26.140618222222226,0.15870667270251682,-2.075595079149519,24,,
3862,,,,0.001,4000,,0.16831827775311115,-1.8894967997775358,,68.4,-10.149961084345705
3998,155,103.875,40,0.001,4155,22.668202450000003,0.1819122853162496,-1.694318343911852,26,,
4270,157,100.63636363636364,44,0.001,4428,19.73176413636364,0.1964057355242617,-1.4680789411067963,28,,
4545,159,97.97916666666667,48,0.001,4703,17.21062722916667,0.2112624291330576,-1.3177417919916266,29,,
4818,160,95.65384615384616,52,0.001,4974,15.215716153846158,0.19969888875151381,-1.1075603094171076,30,,
4885,,,,0.001,5000,,0.17490926540609616,-1.0685339253960233,,68.4,-10.150003125524382
5091,159,93.71428571428571,56,0.001,5248,13.442611571428573,0.19061224009184277,-0.6972444359870518,32,,
5364,160,92.01666666666667,60,0.001,5521,11.964607300000003,0.17693512437536435,-0.405282738563769,34,,
5636,161,90.515625,64,0.001,5793,10.697096265625003,0.16066278144717216,-0.17366793097051628,35,,
5910,,,,0.001,6000,,0.15958834899698987,0.08035830309724107,,68.4,-10.150018254190218
,160,89.23529411764706,68,,6068,9.383761705882355,,,37,,
6183,161,88.06944444444444,72,0.001,6341,8.35865916666667,0.1636479934129645,0.45575433103915525,39,,
6457,162,87.03947368421052,76,0.001,6615,7.406921000000002,0.15391733431640794,0.7857290980789591,40,,
6730,163,86.075,80,0.001,6886,6.600934087500003,0.14919056710513198,1.0356787096928148,42,,
6865,,,,0.001,7000,,0.15261792720240705,1.1097878620905035,,68.4,-10.15002361694933
7001,162,85.22619047619048,84,0.001,7159,5.8080482738095265,0.1730143901878509,1.2526948662365185,44,,
7275,163,84.4659090909091,88,0.001,7433,5.125027306818184,0.15613383529842764,1.485005813486436,45,,
7547,164,83.75,92,0.001,7705,4.518642163043481,0.13404169097981034,1.6032259025994469,46,,
7821,165,83.10416666666667,96,0.001,7978,3.9136933333333346,0.18006422975357028,1.9639603215105392,48,,
7889,,,,0.001,8000,,0.16423089265385094,1.949918410357307,,68.4,-10.150026321722544
8094,163,82.52,100,0.001,8252,3.346044650000002,0.1674018684117233,2.1453523320310257,50,,
8368,164,83.73,104,0.001,8525,2.584280880000001,0.14849549279931715,2.321039641604704,51,,
8640,165,81.63,108,0.001,8796,3.081317150000001,0.16483285283560262,2.598283893921796,53,,
8843,,,,0.001,9000,,0.1798759003115051,2.4987352595609775,,68.4,-10.150027995396522
8912,164,75.22,112,0.001,9070,-4.325139590000001,0.18168572703565378,2.5657903296606883,55,,
9186,164,70.25,116,0.001,9343,-7.881624290000001,0.15573688848491976,2.7470654599806843,56,,
9460,165,68.26,120,0.001,9617,-9.55065983,0.1508684854252615,2.990415825162615,58,,
9735,165,68.29,124,0.001,9892,-9.589766110000001,0.1594305595626002,3.1001593856250538,59,,
9871,,,,0.001,10000,,0.1466587641659905,3.0893745983348175,,68.4,-10.150029142506536
